Date,fee_to_reward30emaUSD
2019/02/10,1.918
2019/02/11,1.945
2019/02/12,1.966
2019/02/13,2.007
2019/02/14,2.039
2019/02/15,2.098
2019/02/16,2.13
2019/02/17,2.163
2019/02/18,2.247
2019/02/19,2.324
2019/02/20,2.385
2019/02/21,2.438
2019/02/22,2.478
2019/02/23,2.492
2019/02/24,2.542
2019/02/25,2.616
2019/02/26,2.684
2019/02/27,2.726
2019/02/28,2.796
2019/03/01,2.8
2019/03/02,2.78
2019/03/03,2.749
2019/03/04,2.762
2019/03/05,2.773
2019/03/06,2.778
2019/03/07,2.781
2019/03/08,2.782
2019/03/09,2.765
2019/03/10,2.725
2019/03/11,2.707
2019/03/12,2.69
2019/03/13,2.672
2019/03/14,2.643
2019/03/15,2.619
2019/03/16,2.571
2019/03/17,2.529
2019/03/18,2.549
2019/03/19,2.574
2019/03/20,2.579
2019/03/21,2.651
2019/03/22,2.682
2019/03/23,2.664
2019/03/24,2.646
2019/03/25,2.669
2019/03/26,2.696
2019/03/27,2.736
2019/03/28,2.751
2019/03/29,2.789
2019/03/30,2.779
2019/03/31,2.771
2019/04/01,2.803
2019/04/02,2.869
2019/04/03,2.971
2019/04/04,2.999
2019/04/05,2.98
2019/04/06,2.941
2019/04/07,2.907
2019/04/08,2.917
2019/04/09,2.904
2019/04/10,2.999
2019/04/11,3.473
2019/04/12,3.837
2019/04/13,4.056
2019/04/14,4.231
2019/04/15,4.464
2019/04/16,4.793
2019/04/17,5.148
2019/04/18,5.543
2019/04/19,5.581
2019/04/20,5.352
2019/04/21,5.145
2019/04/22,4.973
2019/04/23,4.82
2019/04/24,4.672
2019/04/25,4.513
2019/04/26,4.401
2019/04/27,4.235
2019/04/28,4.086
2019/04/29,3.959
2019/04/30,3.851
2019/05/01,3.752
2019/05/02,3.687
2019/05/03,3.616
2019/05/04,3.521
2019/05/05,3.437
2019/05/06,3.392
2019/05/07,3.382
2019/05/08,3.341
2019/05/09,3.297
2019/05/10,3.274
2019/05/11,3.224
2019/05/12,3.177
2019/05/13,3.172
2019/05/14,3.199
2019/05/15,3.279
2019/05/16,3.457
2019/05/17,3.552
2019/05/18,3.569
2019/05/19,3.551
2019/05/20,3.573
2019/05/21,3.55
2019/05/22,3.6
2019/05/23,3.611
2019/05/24,3.64
2019/05/25,3.601
2019/05/26,3.528
2019/05/27,3.57
2019/05/28,3.604
2019/05/29,3.642
2019/05/30,3.713
2019/05/31,3.743
2019/06/01,3.763
2019/06/02,3.708
2019/06/03,3.704
2019/06/04,3.702
2019/06/05,3.69
2019/06/06,3.668
2019/06/07,3.633
2019/06/08,3.715
2019/06/09,3.633
2019/06/10,3.723
2019/06/11,3.745
2019/06/12,3.676
2019/06/13,3.613
2019/06/14,3.604
2019/06/15,3.654
2019/06/16,3.59
2019/06/17,3.67
2019/06/18,3.643
