Date,size3ema
2019/03/01,22141
2019/03/02,19300
2019/03/03,17318
2019/03/04,18561
2019/03/05,18650
2019/03/06,18188
2019/03/07,17652
2019/03/08,18226
2019/03/09,17887
2019/03/10,16466
2019/03/11,16763
2019/03/12,17219
2019/03/13,18177
2019/03/14,18331
2019/03/15,18127
2019/03/16,17198
2019/03/17,16265
2019/03/18,17823
2019/03/19,19496
2019/03/20,19588
2019/03/21,19907
2019/03/22,19864
2019/03/23,18610
2019/03/24,17774
2019/03/25,18898
2019/03/26,19646
2019/03/27,19920
2019/03/28,19820
2019/03/29,20385
2019/03/30,20550
2019/03/31,20252
2019/04/01,20372
2019/04/02,21718
2019/04/03,22431
2019/04/04,22112
2019/04/05,20686
2019/04/06,18850
2019/04/07,18241
2019/04/08,19233
2019/04/09,19426
2019/04/10,21015
2019/04/11,22568
2019/04/12,21455
2019/04/13,19528
2019/04/14,18265
2019/04/15,19875
2019/04/16,21282
2019/04/17,21078
2019/04/18,21145
2019/04/19,20978
2019/04/20,20573
2019/04/21,20721
2019/04/22,20922
2019/04/23,21446
2019/04/24,20727
2019/04/25,20430
2019/04/26,20225
2019/04/27,18321
2019/04/28,18139
2019/04/29,18677
2019/04/30,19784
2019/05/01,19985
2019/05/02,22020
2019/05/03,21993
2019/05/04,20228
2019/05/05,19667
2019/05/06,22248
2019/05/07,25129
2019/05/08,24844
2019/05/09,23849
2019/05/10,23372
2019/05/11,23018
2019/05/12,22276
2019/05/13,22639
2019/05/14,23425
2019/05/15,24406
2019/05/16,25478
2019/05/17,25584
2019/05/18,24308
2019/05/19,23104
2019/05/20,24027
2019/05/21,23988
2019/05/22,24811
2019/05/23,25120
2019/05/24,25380
2019/05/25,24218
2019/05/26,23026
2019/05/27,24886
2019/05/28,25269
2019/05/29,25670
2019/05/30,25690
2019/05/31,24543
2019/06/01,24865
2019/06/02,24593
2019/06/03,24964
2019/06/04,25131
2019/06/05,24270
2019/06/06,23829
2019/06/07,23261
2019/06/08,25753
2019/06/09,23071
2019/06/10,25389
2019/06/11,26239
2019/06/12,25442
2019/06/13,23805
2019/06/14,23750
2019/06/15,24984
2019/06/16,24247
2019/06/17,25485
2019/06/18,24983
2019/06/19,25887
2019/06/20,27019
2019/06/21,24997
2019/06/22,23465
2019/06/23,22904
2019/06/24,23582
2019/06/25,25271
2019/06/26,26253
2019/06/27,25808
2019/06/28,27214
2019/06/29,24195
2019/06/30,22419
2019/07/01,25029
2019/07/02,25574
2019/07/03,24324
2019/07/04,23501
2019/07/05,24218
2019/07/06,25390
2019/07/07,25517
2019/07/08,28250
2019/07/09,25855
2019/07/10,24136
2019/07/11,26068
2019/07/12,24219
2019/07/13,20993
2019/07/14,20096
2019/07/15,28363
2019/07/16,29254
2019/07/17,27384
2019/07/18,26407
2019/07/19,25221
2019/07/20,21489
2019/07/21,18881
2019/07/22,18950
2019/07/23,19063
2019/07/24,22636
2019/07/25,25239
2019/07/26,22342
2019/07/27,20048
2019/07/28,18661
2019/07/29,19398
2019/07/30,19963
2019/07/31,20207
2019/08/01,22953
2019/08/02,22703
2019/08/03,22550
2019/08/04,20293
2019/08/05,20812
2019/08/06,21138
2019/08/07,21464
2019/08/08,21307
2019/08/09,21250
2019/08/10,19684
2019/08/11,18339
2019/08/12,19257
2019/08/13,19895
2019/08/14,20882
2019/08/15,20934
2019/08/16,21049
2019/08/17,19883
2019/08/18,19175
2019/08/19,20232
2019/08/20,20693
2019/08/21,20961
2019/08/22,21227
2019/08/23,21173
2019/08/24,20583
2019/08/25,21540
2019/08/26,22901
2019/08/27,22525
2019/08/28,22034
2019/08/29,21679
2019/08/30,21373
2019/08/31,20630
2019/09/01,20382
2019/09/02,21218
2019/09/03,21425
2019/09/04,21054
2019/09/05,21383
2019/09/06,21702
2019/09/07,20608
2019/09/08,19908
2019/09/09,20651
2019/09/10,20205
2019/09/11,20003
2019/09/12,20159
2019/09/13,19057
2019/09/14,18425
2019/09/15,18358
2019/09/16,13271
2019/09/17,6636
2019/09/18,3318
2019/09/19,1659
2019/09/20,829.444
2019/09/21,414.722
2019/09/22,207.361
2019/09/23,103.68
2019/09/24,51.84
2019/09/25,25.92
2019/09/26,12.96
2019/09/27,6.48
2019/09/28,3.24
2019/09/29,1.62
2019/09/30,0.81
2019/10/01,0.405
2019/10/02,0.203
2019/10/03,0.101
2019/10/04,0.051
2019/10/05,0.025
2019/10/06,0.013
2019/10/07,0.006
2019/10/08,0.003
2019/10/09,0.002
2019/10/10,0.001
2019/10/11,0
2019/10/12,0
2019/10/13,0
2019/10/14,0
2019/10/15,0
2019/10/16,0
2019/10/17,0
2019/10/18,0
2019/10/19,0
2019/10/20,0
2019/10/21,0
2019/10/22,0
2019/10/23,0
2019/10/24,0
2019/10/25,0
