Date,activeaddresses
2018/01/21,766046
2018/01/22,714327
2018/01/23,668522
2018/01/24,644383
2018/01/25,501160
2018/01/26,679986
2018/01/27,579343
2018/01/28,610004
2018/01/29,667393
2018/01/30,634047
2018/01/31,627446
2018/02/01,728235
2018/02/02,711743
2018/02/03,555413
2018/02/04,541808
2018/02/05,610048
2018/02/06,628446
2018/02/07,559546
2018/02/08,437209
2018/02/09,528592
2018/02/10,573347
2018/02/11,498346
2018/02/12,573143
2018/02/13,487542
2018/02/14,502873
2018/02/15,515736
2018/02/16,447532
2018/02/17,456287
2018/02/18,463284
2018/02/19,525287
2018/02/20,581054
2018/02/21,527494
2018/02/22,486338
2018/02/23,448903
2018/02/24,389155
2018/02/25,396915
2018/02/26,482766
2018/02/27,447365
2018/02/28,468469
2018/03/01,435586
2018/03/02,442011
2018/03/03,384914
2018/03/04,353263
2018/03/05,441828
2018/03/06,444079
2018/03/07,541105
2018/03/08,422784
2018/03/09,407424
2018/03/10,371126
2018/03/11,336745
2018/03/12,394384
2018/03/13,401903
2018/03/14,439849
2018/03/15,411487
2018/03/16,384412
2018/03/17,348158
2018/03/18,391701
2018/03/19,430961
2018/03/20,385926
2018/03/21,413028
2018/03/22,383655
2018/03/23,456480
2018/03/24,402590
2018/03/25,310950
2018/03/26,385311
2018/03/27,357878
2018/03/28,336102
2018/03/29,365197
2018/03/30,384077
2018/03/31,334519
2018/04/01,311214
2018/04/02,350493
2018/04/03,384101
2018/04/04,363220
2018/04/05,423165
2018/04/06,393115
2018/04/07,339908
2018/04/08,372564
2018/04/09,397067
2018/04/10,359442
2018/04/11,369904
2018/04/12,422863
2018/04/13,432249
2018/04/14,365205
2018/04/15,375743
2018/04/16,391698
2018/04/17,417257
2018/04/18,400478
2018/04/19,437043
2018/04/20,460954
2018/04/21,469119
2018/04/22,482688
2018/04/23,516219
2018/04/24,522218
2018/04/25,466659
2018/04/26,457837
2018/04/27,433141
2018/04/28,432689
2018/04/29,411350
2018/04/30,458484
2018/05/01,414816
2018/05/02,467780
2018/05/03,509876
2018/05/04,748534
2018/05/05,494998
2018/05/06,467903
2018/05/07,502292
2018/05/08,521832
2018/05/09,537547
2018/05/10,535339
2018/05/11,518935
2018/05/12,538561
2018/05/13,511621
2018/05/14,532882
2018/05/15,520266
2018/05/16,544518
2018/05/17,571922
2018/05/18,564670
2018/05/19,605898
2018/05/20,531824
2018/05/21,520474
2018/05/22,552814
2018/05/23,563562
2018/05/24,549090
2018/05/25,522164
2018/05/26,518520
2018/05/27,543140
2018/05/28,595235
2018/05/29,550236
2018/05/30,546016
2018/05/31,538630
2018/06/01,484365
2018/06/02,514127
2018/06/03,546885
2018/06/04,516648
