Date,median_transaction_fee30trxUSD
2018/07/20,1.749
2018/07/21,1.597
2018/07/22,1.433
2018/07/23,1.27
2018/07/24,1.105
2018/07/25,0.939
2018/07/26,0.774
2018/07/27,0.608
2018/07/28,0.444
2018/07/29,0.282
2018/07/30,0.124
2018/07/31,-0.029
2018/08/01,-0.178
2018/08/02,-0.322
2018/08/03,-0.459
2018/08/04,-0.591
2018/08/05,-0.718
2018/08/06,-0.839
2018/08/07,-0.944
2018/08/08,-0.99
2018/08/09,-0.992
2018/08/10,-0.98
2018/08/11,-0.978
2018/08/12,-0.987
2018/08/13,-1.005
2018/08/14,-1.03
2018/08/15,-1.058
2018/08/16,-1.091
2018/08/17,-1.11
2018/08/18,-1.134
2018/08/19,-1.167
2018/08/20,-1.206
2018/08/21,-1.249
2018/08/22,-1.294
2018/08/23,-1.341
2018/08/24,-1.388
2018/08/25,-1.437
2018/08/26,-1.488
2018/08/27,-1.538
2018/08/28,-1.588
2018/08/29,-1.634
2018/08/30,-1.677
2018/08/31,-1.718
2018/09/01,-1.758
2018/09/02,-1.798
2018/09/03,-1.836
2018/09/04,-1.872
2018/09/05,-1.906
2018/09/06,-1.937
2018/09/07,-1.965
2018/09/08,-1.991
2018/09/09,-2.014
2018/09/10,-2.035
2018/09/11,-2.054
2018/09/12,-2.07
2018/09/13,-2.081
2018/09/14,-2.09
2018/09/15,-2.095
2018/09/16,-2.098
2018/09/17,-2.099
2018/09/18,-2.096
2018/09/19,-2.085
2018/09/20,-2.069
2018/09/21,-2.044
2018/09/22,-2.017
2018/09/23,-1.991
2018/09/24,-1.959
2018/09/25,-1.924
2018/09/26,-1.883
2018/09/27,-1.837
2018/09/28,-1.785
2018/09/29,-1.725
2018/09/30,-1.662
2018/10/01,-1.594
2018/10/02,-1.522
2018/10/03,-1.457
2018/10/04,-1.399
2018/10/05,-1.35
2018/10/06,-1.315
2018/10/07,-1.289
2018/10/08,-1.264
2018/10/09,-1.243
2018/10/10,-1.22
2018/10/11,-1.198
2018/10/12,-1.178
2018/10/13,-1.166
2018/10/14,-1.162
2018/10/15,-1.154
2018/10/16,-1.15
2018/10/17,-1.148
2018/10/18,-1.148
2018/10/19,-1.146
2018/10/20,-1.143
2018/10/21,-1.141
2018/10/22,-1.14
2018/10/23,-1.137
2018/10/24,-1.127
2018/10/25,-1.108
2018/10/26,-1.086
2018/10/27,-1.067
2018/10/28,-1.051
2018/10/29,-1.034
2018/10/30,-1.016
2018/10/31,-0.999
2018/11/01,-0.983
2018/11/02,-0.96
2018/11/03,-0.936
2018/11/04,-0.91
2018/11/05,-0.873
2018/11/06,-0.828
2018/11/07,-0.777
2018/11/08,-0.723
2018/11/09,-0.671
2018/11/10,-0.63
2018/11/11,-0.603
2018/11/12,-0.581
2018/11/13,-0.562
2018/11/14,-0.54
2018/11/15,-0.513
2018/11/16,-0.488
2018/11/17,-0.472
2018/11/18,-0.462
2018/11/19,-0.454
2018/11/20,-0.447
2018/11/21,-0.446
2018/11/22,-0.45
2018/11/23,-0.461
2018/11/24,-0.478
2018/11/25,-0.498
2018/11/26,-0.521
