Date,price7rsiUSD
2017/11/19,81.669
2017/11/20,83.788
2017/11/21,85.142
2017/11/22,85.661
2017/11/23,92.189
2017/11/24,94.905
2017/11/25,96.543
2017/11/26,88.528
2017/11/27,90.288
2017/11/28,86.119
2017/11/29,86.253
2017/11/30,57.412
2017/12/01,61.122
2017/12/02,67.792
2017/12/03,69.834
2017/12/04,66.217
2017/12/05,64.659
2017/12/06,48.646
2017/12/07,41.419
2017/12/08,55.761
2017/12/09,66.167
2017/12/10,50.429
2017/12/11,57.598
2017/12/12,77.259
2017/12/13,85.697
2017/12/14,87.899
2017/12/15,75.965
2017/12/16,78.163
2017/12/17,80.211
2017/12/18,81.735
2017/12/19,87.365
2017/12/20,79.05
2017/12/21,80.063
2017/12/22,49.805
2017/12/23,56.905
2017/12/24,46.164
2017/12/25,54.352
2017/12/26,58.182
2017/12/27,58.969
2017/12/28,50.409
2017/12/29,55.73
2017/12/30,48.945
2017/12/31,52.353
2018/01/01,58.058
2018/01/02,71.463
2018/01/03,74.943
2018/01/04,79.877
2018/01/05,81.788
2018/01/06,82.854
2018/01/07,87.341
2018/01/08,89.957
2018/01/09,91.719
2018/01/10,93.793
2018/01/11,73.751
2018/01/12,74.486
2018/01/13,81.069
2018/01/14,79.844
2018/01/15,75.979
2018/01/16,46.49
2018/01/17,32.92
2018/01/18,42.719
2018/01/19,43.186
2018/01/20,51.15
2018/01/21,47.198
2018/01/22,41.539
2018/01/23,37.59
2018/01/24,42.153
2018/01/25,49.841
2018/01/26,46.959
2018/01/27,51.679
2018/01/28,64.226
2018/01/29,64.41
2018/01/30,55.251
2018/01/31,48.863
2018/02/01,50.762
2018/02/02,30.072
2018/02/03,34.659
2018/02/04,30.403
2018/02/05,21.937
2018/02/06,17.684
2018/02/07,35.571
2018/02/08,37.668
2018/02/09,40.195
2018/02/10,45.813
2018/02/11,40.547
2018/02/12,45.646
2018/02/13,44.193
2018/02/14,50.732
2018/02/15,58.026
2018/02/16,58.364
2018/02/17,63.149
2018/02/18,57.87
2018/02/19,57.017
2018/02/20,56.472
2018/02/21,39.508
2018/02/22,33.202
2018/02/23,37.741
2018/02/24,37.379
2018/02/25,36.463
2018/02/26,44.65
2018/02/27,50.928
2018/02/28,47.794
2018/03/01,46.274
2018/03/02,45.106
2018/03/03,44.198
2018/03/04,40.732
2018/03/05,46.011
2018/03/06,33.124
2018/03/07,20.944
2018/03/08,15.382
2018/03/09,11.143
2018/03/10,27.782
2018/03/11,24.652
2018/03/12,30.026
2018/03/13,26.601
2018/03/14,21.648
2018/03/15,15.785
2018/03/16,19.018
2018/03/17,16.638
2018/03/18,11.262
2018/03/19,22.863
2018/03/20,24.662
2018/03/21,34.009
2018/03/22,30.368
2018/03/23,26.42
2018/03/24,32.128
