Date,transactionvalue3rocUSD
2018/02/16,-21.133
2018/02/17,-9.599
2018/02/18,-21.239
2018/02/19,-23.362
2018/02/20,-10.011
2018/02/21,-14.36
2018/02/22,39.798
2018/02/23,-22.785
2018/02/24,-24.713
2018/02/25,-62.983
2018/02/26,-20.927
2018/02/27,-41.394
2018/02/28,-17.105
2018/03/01,-25.085
2018/03/02,-7.913
2018/03/03,-29.73
2018/03/04,-33.634
2018/03/05,0.188
2018/03/06,71.648
2018/03/07,38.683
2018/03/08,-0.836
2018/03/09,-16.137
2018/03/10,-29.539
2018/03/11,-30.075
2018/03/12,-17.72
2018/03/13,93.912
2018/03/14,51.364
2018/03/15,9.621
2018/03/16,-52.388
2018/03/17,-35.87
2018/03/18,22.975
2018/03/19,38.262
2018/03/20,28.97
2018/03/21,-31.764
2018/03/22,-23.245
2018/03/23,-0.537
2018/03/24,-27.648
2018/03/25,-28.191
2018/03/26,-0.393
2018/03/27,87.721
2018/03/28,94.79
2018/03/29,17.477
2018/03/30,-28.345
2018/03/31,-46.073
2018/04/01,-51.373
2018/04/02,-34.346
2018/04/03,0.706
2018/04/04,9.971
2018/04/05,-24.003
2018/04/06,-27.275
2018/04/07,-35.352
2018/04/08,17.478
2018/04/09,36.397
2018/04/10,41.177
2018/04/11,23.502
2018/04/12,42.592
2018/04/13,72.042
2018/04/14,-22.315
2018/04/15,-33.32
2018/04/16,-29.914
2018/04/17,25.541
2018/04/18,30.358
2018/04/19,12.444
2018/04/20,53.216
2018/04/21,7.518
2018/04/22,-13.477
2018/04/23,61.049
2018/04/24,66.762
2018/04/25,94.049
2018/04/26,-34.553
2018/04/27,-20.216
2018/04/28,-22.928
2018/04/29,-6.83
2018/04/30,-3.572
2018/05/01,10.794
2018/05/02,53.246
2018/05/03,42.011
2018/05/04,16.566
2018/05/05,-22.597
2018/05/06,-30.19
2018/05/07,37.415
2018/05/08,8.432
2018/05/09,13.452
2018/05/10,-31.861
2018/05/11,-3.712
2018/05/12,-31.201
2018/05/13,-42.243
2018/05/14,4.68
2018/05/15,34.156
2018/05/16,33
2018/05/17,-26.54
2018/05/18,-26.035
2018/05/19,-31.224
2018/05/20,-18.713
2018/05/21,7.792
2018/05/22,83.106
