Date,price7varUSD
2018/11/06,31.489
2018/11/07,53.479
2018/11/08,48.393
2018/11/09,37.351
2018/11/10,20.023
2018/11/11,9.519
2018/11/12,7.309
2018/11/13,9.206
2018/11/14,26.837
2018/11/15,135.299
2018/11/16,206.274
2018/11/17,246.653
2018/11/18,225.984
2018/11/19,228.67
2018/11/20,282.43
2018/11/21,314.741
2018/11/22,363.937
2018/11/23,396.539
2018/11/24,343.707
2018/11/25,209.875
2018/11/26,105.671
2018/11/27,102.039
2018/11/28,71.164
2018/11/29,32.915
2018/11/30,24.6
2018/12/01,15.676
2018/12/02,14.361
2018/12/03,15.155
2018/12/04,8.39
2018/12/05,15.416
2018/12/06,33.201
2018/12/07,94.79
2018/12/08,106.744
2018/12/09,81.618
2018/12/10,63.89
2018/12/11,39.269
2018/12/12,13.018
2018/12/13,3.786
2018/12/14,5.793
2018/12/15,10.087
2018/12/16,7.075
2018/12/17,5.003
2018/12/18,11.357
2018/12/19,40.597
2018/12/20,78.756
2018/12/21,112.585
2018/12/22,100.257
2018/12/23,146.361
2018/12/24,257.194
2018/12/25,200.139
2018/12/26,162.059
2018/12/27,120.945
2018/12/28,95.901
2018/12/29,57.146
2018/12/30,59.849
2018/12/31,32.637
2019/01/01,33.562
2019/01/02,65.201
2019/01/03,72.993
2019/01/04,48.52
2019/01/05,71.534
2019/01/06,68.358
2019/01/07,46.258
2019/01/08,8.853
2019/01/09,6.558
2019/01/10,43.642
2019/01/11,115.412
2019/01/12,143.079
2019/01/13,163.498
2019/01/14,144.779
2019/01/15,98.093
2019/01/16,22.987
2019/01/17,6.027
2019/01/18,4.989
2019/01/19,3.388
2019/01/20,3.677
2019/01/21,7.632
2019/01/22,4.932
2019/01/23,4.959
2019/01/24,5.818
2019/01/25,5.986
2019/01/26,2.457
2019/01/27,1.042
2019/01/28,13.701
2019/01/29,24.437
2019/01/30,24.289
2019/01/31,21.823
2019/02/01,17.711
2019/02/02,8.711
2019/02/03,0.843
2019/02/04,0.822
2019/02/05,0.29
2019/02/06,2.171
2019/02/07,2.393
2019/02/08,4.281
2019/02/09,22.693
2019/02/10,35.06
2019/02/11,47.695
2019/02/12,50.944
2019/02/13,38.323
2019/02/14,15.393
2019/02/15,2.041
2019/02/16,1.798
2019/02/17,2.792
2019/02/18,45.125
2019/02/19,95.94
2019/02/20,116.787
2019/02/21,115.641
2019/02/22,93.789
2019/02/23,56.679
2019/02/24,14.261
2019/02/25,19.821
2019/02/26,32.516
2019/02/27,42.478
2019/02/28,48.613
2019/03/01,49.563
2019/03/02,39.553
2019/03/03,3.373
2019/03/04,11.189
2019/03/05,11.088
2019/03/06,11.793
2019/03/07,12.869
2019/03/08,12.969
2019/03/09,14.066
2019/03/10,14.02
2019/03/11,4.857
2019/03/12,2.771
2019/03/13,3.859
2019/03/14,3.52
2019/03/15,2.796
2019/03/16,8.512
2019/03/17,10.817
2019/03/18,11.593
2019/03/19,10.795
2019/03/20,7.721
2019/03/21,2.934
2019/03/22,1.929
2019/03/23,0.812
2019/03/24,0.791
2019/03/25,1.189
2019/03/26,1.949
2019/03/27,1.721
2019/03/28,2.055
2019/03/29,3.905
2019/03/30,8.201
2019/03/31,9.26
2019/04/01,8.381
2019/04/02,22.428
2019/04/03,106.363
2019/04/04,112.19
2019/04/05,112.792
2019/04/06,107.759
2019/04/07,82.089
2019/04/08,60.479
2019/04/09,43.657
2019/04/10,56.438
2019/04/11,41.782
2019/04/12,39.669
2019/04/13,42.04
2019/04/14,48.863
2019/04/15,37.139
2019/04/16,27.998
2019/04/17,2.053
2019/04/18,8.715
2019/04/19,13.859
2019/04/20,17.821
2019/04/21,14.888
2019/04/22,12.249
2019/04/23,5.89
2019/04/24,6.346
2019/04/25,13.413
2019/04/26,36.596
2019/04/27,40.487
2019/04/28,41.573
2019/04/29,37.942
2019/04/30,13.406
2019/05/01,7.028
2019/05/02,4.129
2019/05/03,10.315
2019/05/04,11.488
2019/05/05,10.712
2019/05/06,8.324
2019/05/07,25.621
2019/05/08,24.045
2019/05/09,18.067
2019/05/10,20.043
2019/05/11,50.611
2019/05/12,74.164
2019/05/13,91.573
2019/05/14,173.728
2019/05/15,391.767
2019/05/16,794.294
2019/05/17,691.673
2019/05/18,586.415
2019/05/19,491.049
2019/05/20,263.711
2019/05/21,89.754
2019/05/22,59.664
2019/05/23,43.122
2019/05/24,32.623
2019/05/25,16.849
2019/05/26,15.874
2019/05/27,57.889
2019/05/28,97.271
2019/05/29,119.789
2019/05/30,102.47
2019/05/31,80.329
2019/06/01,57.041
2019/06/02,24.572
2019/06/03,28.169
2019/06/04,84.654
2019/06/05,123.531
2019/06/06,106.984
2019/06/07,111.611
2019/06/08,84.857
2019/06/09,49.855
2019/06/10,12.561
2019/06/11,12.272
2019/06/12,18.817
2019/06/13,44.713
2019/06/14,56.488
2019/06/15,95.779
2019/06/16,112.284
2019/06/17,92.907
2019/06/18,52.486
2019/06/19,27.701
2019/06/20,21.705
2019/06/21,46.239
2019/06/22,186.997
2019/06/23,319.606
2019/06/24,359.503
2019/06/25,337.022
2019/06/26,377.044
2019/06/27,170.312
2019/06/28,96.892
2019/06/29,99.644
2019/06/30,103.58
2019/07/01,153.73
2019/07/02,224.668
2019/07/03,77.24
