Date,transactions3var
2017/11/02,61967300907
2017/11/03,364582177
2017/11/04,3140457327
2017/11/05,1503626541
2017/11/06,2447313787
2017/11/07,1498392067
2017/11/08,308623617
2017/11/09,31751180
2017/11/10,88738367
2017/11/11,1041011985
2017/11/12,678500068
2017/11/13,450974936
2017/11/14,320514144
2017/11/15,1635594700
2017/11/16,756897825
2017/11/17,413172619
2017/11/18,410711155
2017/11/19,483835123
2017/11/20,1032135665
2017/11/21,875070762
2017/11/22,89800949
2017/11/23,84684205
2017/11/24,74070442
2017/11/25,220941575
2017/11/26,212476969
2017/11/27,777053187
2017/11/28,1623870887
2017/11/29,503849777
2017/11/30,104647779
2017/12/01,311903993
2017/12/02,207011664
2017/12/03,1048688278
2017/12/04,1100745290
2017/12/05,15709971
2017/12/06,1988181291
2017/12/07,3165994945
2017/12/08,3307537062
2017/12/09,1927182558
2017/12/10,674922905
2017/12/11,3056576651
2017/12/12,4307392965
2017/12/13,1088377221
2017/12/14,822842203
2017/12/15,285824198
2017/12/16,367093922
2017/12/17,148170355
2017/12/18,2130059422
2017/12/19,7751571864
2017/12/20,2553107684
2017/12/21,2126592154
2017/12/22,2470249383
2017/12/23,6521600332
2017/12/24,19902735588
2017/12/25,5952317904
2017/12/26,758792056
2017/12/27,4368160850
2017/12/28,3299300735
2017/12/29,5847594230
2017/12/30,6331084078
2017/12/31,6520231172
2018/01/01,9921614438
2018/01/02,11590660943
2018/01/03,19487703127
2018/01/04,6442492284
2018/01/05,2196776309
2018/01/06,2601992589
2018/01/07,2399654406
2018/01/08,1054268018
2018/01/09,1812845846
2018/01/10,1028974362
2018/01/11,1439322450
2018/01/12,726030094
2018/01/13,749400900
2018/01/14,1622213664
2018/01/15,2874099746
2018/01/16,6582987982
2018/01/17,1123169493
2018/01/18,1162560813
2018/01/19,9562713090
2018/01/20,8708923798
2018/01/21,587595115
2018/01/22,194454770
2018/01/23,1021413816
2018/01/24,633601468
2018/01/25,3941911570
2018/01/26,4937870881
2018/01/27,4872211430
2018/01/28,2464803717
2018/01/29,1840946805
2018/01/30,388959450
2018/01/31,591304716
2018/02/01,3176085647
2018/02/02,3200089207
2018/02/03,7357414493
2018/02/04,6700469453
2018/02/05,1061063120
2018/02/06,1488370433
2018/02/07,918116566
2018/02/08,7387407047
2018/02/09,3493419162
2018/02/10,4788950708
2018/02/11,1034125316
2018/02/12,1007469190
