Date,hashrate30roc
2018/05/22,7.156
2018/05/23,5.157
2018/05/24,3.427
2018/05/25,3.343
2018/05/26,1.282
2018/05/27,2.519
2018/05/28,5.814
2018/05/29,0.928
2018/05/30,0.653
2018/05/31,6.144
2018/06/01,-0.316
2018/06/02,1.938
2018/06/03,0.056
2018/06/04,-1.092
2018/06/05,-1.55
2018/06/06,-4.141
2018/06/07,-2.263
2018/06/08,-0.471
2018/06/09,3.761
2018/06/10,-1.215
2018/06/11,-1.686
2018/06/12,-0.185
2018/06/13,-0.995
2018/06/14,0.135
2018/06/15,-0.29
2018/06/16,-0.324
2018/06/17,-0.343
2018/06/18,2.927
2018/06/19,2.417
2018/06/20,0.313
2018/06/21,2.82
2018/06/22,3.764
2018/06/23,6.139
2018/06/24,5.711
2018/06/25,4.401
2018/06/26,5.942
2018/06/27,7.1
2018/06/28,4.216
2018/06/29,4.238
2018/06/30,5.69
2018/07/01,5.77
2018/07/02,4.828
2018/07/03,7.226
2018/07/04,5.823
2018/07/05,9.637
2018/07/06,8.498
2018/07/07,8.761
2018/07/08,6.09
2018/07/09,4.459
2018/07/10,5.865
2018/07/11,1.254
2018/07/12,1.05
2018/07/13,2.861
2018/07/14,3.21
2018/07/15,4.135
2018/07/16,3.196
2018/07/17,6.268
2018/07/18,1.548
2018/07/19,-0.554
2018/07/20,-1.027
2018/07/21,-6.169
2018/07/22,-2.353
2018/07/23,2.423
2018/07/24,0.332
2018/07/25,2.554
2018/07/26,2.629
2018/07/27,-0.408
2018/07/28,3.18
2018/07/29,4.465
2018/07/30,0.467
2018/07/31,5.103
2018/08/01,2.177
2018/08/02,2.58
2018/08/03,0.961
2018/08/04,0.209
2018/08/05,1.902
2018/08/06,0.828
2018/08/07,2.374
2018/08/08,0.783
2018/08/09,3.66
2018/08/10,5.237
2018/08/11,4.495
2018/08/12,2.653
2018/08/13,2.42
2018/08/14,2.266
2018/08/15,1.067
2018/08/16,-2.626
2018/08/17,0.26
2018/08/18,-0.165
2018/08/19,2.076
2018/08/20,6.97
2018/08/21,2.97
2018/08/22,0.818
2018/08/23,-1.234
2018/08/24,-2.396
2018/08/25,-1.359
2018/08/26,0.648
2018/08/27,-1.032
2018/08/28,-2.286
2018/08/29,-3.823
2018/08/30,-3.696
2018/08/31,-2.362
2018/09/01,-5.184
2018/09/02,-3.791
2018/09/03,-6.146
2018/09/04,-5.547
2018/09/05,-5.568
2018/09/06,-5.156
2018/09/07,-7.699
2018/09/08,-8.338
2018/09/09,-11.777
2018/09/10,-11.132
2018/09/11,-10.439
2018/09/12,-11.446
2018/09/13,-14.032
2018/09/14,-10.534
2018/09/15,-8.812
2018/09/16,-11.101
2018/09/17,-9.329
2018/09/18,-10.064
2018/09/19,-9.2
2018/09/20,-10.301
2018/09/21,-11.856
2018/09/22,-5.812
2018/09/23,-7.99
