Date,size30trx
2018/05/30,0.355
2018/05/31,0.352
2018/06/01,0.348
2018/06/02,0.343
2018/06/03,0.338
2018/06/04,0.334
2018/06/05,0.33
2018/06/06,0.324
2018/06/07,0.317
2018/06/08,0.31
2018/06/09,0.301
2018/06/10,0.291
2018/06/11,0.282
2018/06/12,0.271
2018/06/13,0.261
2018/06/14,0.251
2018/06/15,0.238
2018/06/16,0.228
2018/06/17,0.213
2018/06/18,0.197
2018/06/19,0.183
2018/06/20,0.171
2018/06/21,0.159
2018/06/22,0.148
2018/06/23,0.134
2018/06/24,0.117
2018/06/25,0.104
2018/06/26,0.092
2018/06/27,0.081
2018/06/28,0.072
2018/06/29,0.062
2018/06/30,0.052
2018/07/01,0.041
2018/07/02,0.027
2018/07/03,0.012
2018/07/04,-0.005
2018/07/05,-0.022
2018/07/06,-0.041
2018/07/07,-0.061
2018/07/08,-0.079
2018/07/09,-0.094
2018/07/10,-0.106
2018/07/11,-0.116
2018/07/12,-0.127
2018/07/13,-0.137
2018/07/14,-0.149
2018/07/15,-0.162
2018/07/16,-0.172
2018/07/17,-0.178
2018/07/18,-0.181
2018/07/19,-0.181
2018/07/20,-0.182
2018/07/21,-0.186
2018/07/22,-0.19
2018/07/23,-0.191
2018/07/24,-0.189
2018/07/25,-0.184
2018/07/26,-0.178
2018/07/27,-0.171
2018/07/28,-0.168
2018/07/29,-0.165
2018/07/30,-0.159
2018/07/31,-0.152
2018/08/01,-0.143
2018/08/02,-0.131
2018/08/03,-0.121
2018/08/04,-0.113
2018/08/05,-0.107
2018/08/06,-0.099
2018/08/07,-0.096
2018/08/08,-0.1
2018/08/09,-0.11
2018/08/10,-0.122
2018/08/11,-0.134
2018/08/12,-0.146
2018/08/13,-0.155
2018/08/14,-0.161
2018/08/15,-0.168
2018/08/16,-0.172
2018/08/17,-0.176
2018/08/18,-0.177
2018/08/19,-0.177
2018/08/20,-0.171
2018/08/21,-0.161
2018/08/22,-0.15
2018/08/23,-0.138
2018/08/24,-0.125
2018/08/25,-0.11
2018/08/26,-0.094
2018/08/27,-0.077
2018/08/28,-0.057
2018/08/29,-0.037
2018/08/30,-0.019
2018/08/31,-0.004
2018/09/01,0.01
2018/09/02,0.022
2018/09/03,0.036
2018/09/04,0.047
2018/09/05,0.06
2018/09/06,0.071
2018/09/07,0.082
2018/09/08,0.094
2018/09/09,0.103
2018/09/10,0.11
2018/09/11,0.114
2018/09/12,0.118
2018/09/13,0.122
2018/09/14,0.128
2018/09/15,0.136
2018/09/16,0.146
2018/09/17,0.156
2018/09/18,0.167
2018/09/19,0.171
2018/09/20,0.174
2018/09/21,0.178
2018/09/22,0.182
2018/09/23,0.187
2018/09/24,0.195
2018/09/25,0.206
2018/09/26,0.22
2018/09/27,0.237
2018/09/28,0.253
2018/09/29,0.26
2018/09/30,0.263
2018/10/01,0.264
2018/10/02,0.263
2018/10/03,0.256
2018/10/04,0.247
2018/10/05,0.233
2018/10/06,0.213
2018/10/07,0.184
2018/10/08,0.151
2018/10/09,0.116
2018/10/10,0.078
2018/10/11,0.04
2018/10/12,0.005
2018/10/13,-0.031
2018/10/14,-0.07
2018/10/15,-0.108
2018/10/16,-0.145
2018/10/17,-0.18
2018/10/18,-0.213
2018/10/19,-0.244
2018/10/20,-0.275
2018/10/21,-0.306
2018/10/22,-0.333
2018/10/23,-0.357
2018/10/24,-0.376
2018/10/25,-0.389
2018/10/26,-0.399
2018/10/27,-0.411
2018/10/28,-0.426
2018/10/29,-0.436
2018/10/30,-0.444
2018/10/31,-0.451
2018/11/01,-0.457
2018/11/02,-0.464
2018/11/03,-0.471
2018/11/04,-0.48
2018/11/05,-0.487
2018/11/06,-0.491
2018/11/07,-0.494
2018/11/08,-0.495
2018/11/09,-0.495
2018/11/10,-0.496
2018/11/11,-0.497
2018/11/12,-0.496
2018/11/13,-0.494
2018/11/14,-0.489
2018/11/15,-0.484
2018/11/16,-0.479
2018/11/17,-0.476
2018/11/18,-0.477
2018/11/19,-0.473
2018/11/20,-0.466
2018/11/21,-0.459
2018/11/22,-0.45
2018/11/23,-0.441
2018/11/24,-0.435
2018/11/25,-0.43
2018/11/26,-0.424
2018/11/27,-0.417
2018/11/28,-0.406
2018/11/29,-0.395
2018/11/30,-0.383
2018/12/01,-0.372
2018/12/02,-0.366
2018/12/03,-0.358
2018/12/04,-0.349
2018/12/05,-0.338
2018/12/06,-0.325
2018/12/07,-0.311
2018/12/08,-0.299
2018/12/09,-0.288
2018/12/10,-0.277
2018/12/11,-0.266
2018/12/12,-0.257
2018/12/13,-0.249
2018/12/14,-0.239
2018/12/15,-0.23
2018/12/16,-0.225
2018/12/17,-0.217
2018/12/18,-0.206
2018/12/19,-0.194
2018/12/20,-0.179
2018/12/21,-0.164
2018/12/22,-0.151
2018/12/23,-0.141
2018/12/24,-0.13
2018/12/25,-0.122
2018/12/26,-0.114
2018/12/27,-0.107
2018/12/28,-0.1
2018/12/29,-0.096
2018/12/30,-0.096
2018/12/31,-0.098
2019/01/01,-0.105
2019/01/02,-0.109
2019/01/03,-0.11
2019/01/04,-0.108
2019/01/05,-0.106
2019/01/06,-0.107
2019/01/07,-0.106
2019/01/08,-0.104
2019/01/09,-0.102
2019/01/10,-0.097
2019/01/11,-0.091
2019/01/12,-0.088
2019/01/13,-0.087
2019/01/14,-0.085
2019/01/15,-0.082
2019/01/16,-0.079
2019/01/17,-0.075
2019/01/18,-0.071
2019/01/19,-0.067
2019/01/20,-0.063
2019/01/21,-0.054
2019/01/22,-0.038
2019/01/23,-0.021
2019/01/24,-0.003
2019/01/25,0.012
2019/01/26,0.024
2019/01/27,0.034
2019/01/28,0.047
2019/01/29,0.064
2019/01/30,0.082
2019/01/31,0.101
2019/02/01,0.119
2019/02/02,0.131
2019/02/03,0.137
2019/02/04,0.138
2019/02/05,0.136
2019/02/06,0.13
2019/02/07,0.123
2019/02/08,0.117
2019/02/09,0.11
2019/02/10,0.103
2019/02/11,0.1
2019/02/12,0.101
2019/02/13,0.107
2019/02/14,0.119
2019/02/15,0.134
2019/02/16,0.15
2019/02/17,0.166
2019/02/18,0.186
2019/02/19,0.209
2019/02/20,0.235
2019/02/21,0.263
2019/02/22,0.292
2019/02/23,0.317
2019/02/24,0.341
2019/02/25,0.368
2019/02/26,0.397
2019/02/27,0.424
2019/02/28,0.45
2019/03/01,0.465
2019/03/02,0.467
2019/03/03,0.458
2019/03/04,0.446
2019/03/05,0.43
2019/03/06,0.409
2019/03/07,0.383
2019/03/08,0.357
2019/03/09,0.328
2019/03/10,0.295
2019/03/11,0.26
2019/03/12,0.226
2019/03/13,0.195
2019/03/14,0.165
2019/03/15,0.136
2019/03/16,0.106
2019/03/17,0.074
2019/03/18,0.046
2019/03/19,0.025
2019/03/20,0.006
2019/03/21,-0.008
2019/03/22,-0.02
2019/03/23,-0.034
2019/03/24,-0.048
2019/03/25,-0.059
2019/03/26,-0.067
2019/03/27,-0.072
2019/03/28,-0.076
2019/03/29,-0.076
2019/03/30,-0.075
2019/03/31,-0.073
2019/04/01,-0.069
2019/04/02,-0.061
2019/04/03,-0.049
2019/04/04,-0.036
2019/04/05,-0.025
2019/04/06,-0.02
2019/04/07,-0.018
2019/04/08,-0.016
2019/04/09,-0.015
2019/04/10,-0.009
2019/04/11,0.001
2019/04/12,0.011
2019/04/13,0.015
2019/04/14,0.015
2019/04/15,0.017
2019/04/16,0.022
2019/04/17,0.028
2019/04/18,0.034
2019/04/19,0.04
2019/04/20,0.045
2019/04/21,0.05
2019/04/22,0.055
2019/04/23,0.062
2019/04/24,0.067
2019/04/25,0.07
2019/04/26,0.072
2019/04/27,0.068
2019/04/28,0.062
2019/04/29,0.055
2019/04/30,0.05
2019/05/01,0.045
2019/05/02,0.047
2019/05/03,0.05
2019/05/04,0.05
2019/05/05,0.048
2019/05/06,0.053
2019/05/07,0.067
2019/05/08,0.083
2019/05/09,0.1
2019/05/10,0.116
2019/05/11,0.131
2019/05/12,0.144
2019/05/13,0.156
2019/05/14,0.17
2019/05/15,0.186
2019/05/16,0.205
2019/05/17,0.225
