Date,sentinusd14stdUSD
2018/08/14,294053415
2018/08/15,296285934
2018/08/16,299817343
2018/08/17,299579179
2018/08/18,310432869
2018/08/19,340073803
2018/08/20,345716948
2018/08/21,352981549
2018/08/22,331743649
2018/08/23,335068247
2018/08/24,329037005
2018/08/25,341398094
2018/08/26,349521095
2018/08/27,306138001
2018/08/28,218759055
2018/08/29,169712357
2018/08/30,167720213
2018/08/31,142403945
2018/09/01,142113255
2018/09/02,131751352
2018/09/03,147493035
2018/09/04,273561627
2018/09/05,296963526
2018/09/06,322224511
2018/09/07,325126629
2018/09/08,311611871
2018/09/09,290250210
2018/09/10,289130311
2018/09/11,286229554
2018/09/12,297111927
2018/09/13,292330750
2018/09/14,289742284
2018/09/15,294532007
2018/09/16,295663723
2018/09/17,300676702
2018/09/18,246095397
2018/09/19,236914051
2018/09/20,199504397
2018/09/21,223463380
2018/09/22,225760735
2018/09/23,231471355
2018/09/24,229711795
2018/09/25,228398599
2018/09/26,183887462
2018/09/27,181709200
2018/09/28,178734794
2018/09/29,177735308
2018/09/30,169459333
2018/10/01,177401627
2018/10/02,190524730
2018/10/03,188863390
2018/10/04,188836266
2018/10/05,96325979
2018/10/06,109593870
2018/10/07,126822856
2018/10/08,112787063
2018/10/09,104858634
2018/10/10,97011318
2018/10/11,185272620
2018/10/12,186398054
2018/10/13,193405679
2018/10/14,200049241
2018/10/15,276528722
2018/10/16,276205776
2018/10/17,276509424
2018/10/18,282241686
2018/10/19,281707209
2018/10/20,275527858
2018/10/21,258808412
2018/10/22,261243783
2018/10/23,259571544
2018/10/24,259543860
2018/10/25,230270255
2018/10/26,231024985
2018/10/27,238084743
2018/10/28,242920829
2018/10/29,166858862
2018/10/30,154824791
2018/10/31,151608789
2018/11/01,129140076
2018/11/02,131200780
2018/11/03,143251973
2018/11/04,136646442
2018/11/05,162370857
2018/11/06,165535040
2018/11/07,178493370
2018/11/08,170336378
2018/11/09,170327917
2018/11/10,163256707
2018/11/11,156692997
2018/11/12,156431310
2018/11/13,156166468
2018/11/14,199682170
2018/11/15,222403078
2018/11/16,222526104
2018/11/17,217462570
2018/11/18,215345807
2018/11/19,290531709
2018/11/20,350257605
2018/11/21,352239473
2018/11/22,353457770
2018/11/23,351862764
2018/11/24,345254241
2018/11/25,325809743
2018/11/26,326293558
2018/11/27,331964973
2018/11/28,324124511
2018/11/29,316522337
2018/11/30,870299942
2018/12/01,1065725399
2018/12/02,1083765704
2018/12/03,1098852858
2018/12/04,1108265587
2018/12/05,1116117281
2018/12/06,1114716264
2018/12/07,1112559272
2018/12/08,1114971400
2018/12/09,1127038823
2018/12/10,1135927675
