Date,difficulty30ema
2018/01/19,2000650442441951
2018/01/20,2024080919397083
2018/01/21,2.0465798690302E+15
2018/01/22,2.0690687284833E+15
2018/01/23,2090373137213102
2018/01/24,2.1142179129775E+15
2018/01/25,2.1395976217117E+15
2018/01/26,2.1629043912436E+15
2018/01/27,2.1837069654358E+15
2018/01/28,2.2041383551158E+15
2018/01/29,2.229121799571E+15
2018/01/30,2.2528074884171E+15
2018/01/31,2276933747663959
2018/02/01,2302042505523804
2018/02/02,2.3284572103589E+15
2018/02/03,2356664185525675
2018/02/04,2.3826487507574E+15
2018/02/05,2408687366520465
2018/02/06,2.4330995951637E+15
2018/02/07,2.4591717204533E+15
2018/02/08,2482561962353025
2018/02/09,2.508024920619E+15
2018/02/10,2529085194853433
2018/02/11,2.5562893211748E+15
2018/02/12,2.5812856793247E+15
2018/02/13,2606464677794738
2018/02/14,2.6288099644932E+15
2018/02/15,2.6458094537944E+15
2018/02/16,2.6680942307387E+15
2018/02/17,2.6878119503925E+15
2018/02/18,2.7081996840647E+15
2018/02/19,2.7255389090628E+15
2018/02/20,2.7389154355342E+15
2018/02/21,2750045811180060
2018/02/22,2764958776587682
2018/02/23,2778039610037694
2018/02/24,2.7907418664584E+15
2018/02/25,2810464716092077
2018/02/26,2.8246626917965E+15
2018/02/27,2.8346049151581E+15
2018/02/28,2.8486670667634E+15
2018/03/01,2.8650794099928E+15
2018/03/02,2878767468398133
2018/03/03,2.8988995901178E+15
2018/03/04,2914465064389789
2018/03/05,2.9287077064132E+15
2018/03/06,2940946628706682
2018/03/07,2957288720176278
2018/03/08,2.9753902536357E+15
2018/03/09,2.987035008814E+15
2018/03/10,2998628536434210
2018/03/11,3008322911530310
2018/03/12,3020107326115087
2018/03/13,3030209354522102
2018/03/14,3037015074704105
2018/03/15,3.0450092411208E+15
2018/03/16,3059744887555900
2018/03/17,3072765364350828
2018/03/18,3085203483520607
2018/03/19,3.0982383345803E+15
2018/03/20,3.1100576258693E+15
2018/03/21,3119813862034477
2018/03/22,3126628789543486
2018/03/23,3136804049079613
2018/03/24,3142090820358037
2018/03/25,3149992600673654
2018/03/26,3.1618280119524E+15
2018/03/27,3.1691027132757E+15
2018/03/28,3.1748575636261E+15
2018/03/29,3175414592198862
2018/03/30,3177771798807804
2018/03/31,3.1785010775217E+15
2018/04/01,3.1824441198137E+15
2018/04/02,3.1834399138636E+15
2018/04/03,3180012747952800
2018/04/04,3.1798172031034E+15
2018/04/05,3177972602920318
2018/04/06,3183019501972754
2018/04/07,3186430199004138
2018/04/08,3.1867490978027E+15
2018/04/09,3180440398609864
2018/04/10,3.177564140852E+15
2018/04/11,3.1755674027653E+15
2018/04/12,3.1727252220465E+15
2018/04/13,3.1671291595371E+15
2018/04/14,3.164883084567E+15
2018/04/15,3163114300418202
2018/04/16,3159927075811759
2018/04/17,3158176660294860
2018/04/18,3.153014203384E+15
2018/04/19,3149488184293143
2018/04/20,3.1443671190639E+15
2018/04/21,3145907693413228
2018/04/22,3.1459611514748E+15
2018/04/23,3.1482372527828E+15
2018/04/24,3147193929752288
2018/04/25,3146039875626408
2018/04/26,3.1503715679205E+15
2018/04/27,3150495033114076
2018/04/28,3149098991823022
2018/04/29,3.1517912956412E+15
2018/04/30,3.1546638287998E+15
2018/05/01,3.1520385832994E+15
2018/05/02,3149412424601744
2018/05/03,3.1503919105888E+15
2018/05/04,3153772719303579
2018/05/05,3159477435156977
2018/05/06,3.1667358072605E+15
2018/05/07,3177125771051510
2018/05/08,3187864015842350
2018/05/09,3.1930617798275E+15
2018/05/10,3198655452866394
2018/05/11,3.2042397406158E+15
2018/05/12,3.2147456977681E+15
2018/05/13,3226504697071786
2018/05/14,3.2326758929275E+15
2018/05/15,3.2346086821146E+15
2018/05/16,3237946520917810
2018/05/17,3240719367177176
2018/05/18,3.2404553569736E+15
2018/05/19,3.2410848003185E+15
2018/05/20,3245399621200183
2018/05/21,3.251613970344E+15
2018/05/22,3256237676388747
2018/05/23,3.2559754086521E+15
2018/05/24,3253887322049929
2018/05/25,3250603731577641
2018/05/26,3.2507665731321E+15
2018/05/27,3248466387538985
2018/05/28,3247429332587615
2018/05/29,3245592145965657
2018/05/30,3.24118350065E+15
2018/05/31,3.2417073458989E+15
2018/06/01,3.2358974610417E+15
2018/06/02,3233202716362710
2018/06/03,3231227889571729
2018/06/04,3.2265774883288E+15
2018/06/05,3.2269818146994E+15
2018/06/06,3222879306705198
2018/06/07,3218933393120047
2018/06/08,3217509175851262
2018/06/09,3223056795712744
2018/06/10,3.2249331914157E+15
2018/06/11,3225643148554330
2018/06/12,3232572146044898
2018/06/13,3.2349586580717E+15
2018/06/14,3.2376653509871E+15
2018/06/15,3238916131781348
2018/06/16,3.2424230267169E+15
2018/06/17,3245833702323159
2018/06/18,3255587103797397
2018/06/19,3.2671640334121E+15
2018/06/20,3.2741688285509E+15
2018/06/21,3285934715049529
2018/06/22,3.2951546355818E+15
2018/06/23,3.3015620051917E+15
2018/06/24,3.311452229526E+15
2018/06/25,3316950828437849
2018/06/26,3319910572008490
2018/06/27,3330668657365182
2018/06/28,3335561095094385
2018/06/29,3338360363370720
2018/06/30,3346858752156770
2018/07/01,3347804432405081
2018/07/02,3350662916275007
2018/07/03,3357453515271307
2018/07/04,3.3625719518443E+15
2018/07/05,3.3753354742226E+15
2018/07/06,3.3841459156829E+15
2018/07/07,3.3932608117215E+15
2018/07/08,3397098532089468
2018/07/09,3405748575099837
2018/07/10,3.4117706427775E+15
2018/07/11,3.4082416738471E+15
2018/07/12,3410418529009228
2018/07/13,3412729493651852
2018/07/14,3413491549961208
2018/07/15,3.4140466945812E+15
2018/07/16,3.4160785718825E+15
2018/07/17,3.4183243878866E+15
2018/07/18,3422198832413642
2018/07/19,3422948288800950
2018/07/20,3.4232673278123E+15
2018/07/21,3411213001448802
2018/07/22,3406987094602830
2018/07/23,3414018776984730
2018/07/24,3.4147870809805E+15
2018/07/25,3.4187097145116E+15
2018/07/26,3425833050978342
2018/07/27,3430819336071237
2018/07/28,3.4381804100185E+15
2018/07/29,3.4458768466953E+15
2018/07/30,3453428278759412
2018/07/31,3458351560553614
2018/08/01,3462024219671034
2018/08/02,3.467963358809E+15
2018/08/03,3.468567979282E+15
2018/08/04,3474833424395757
2018/08/05,3480819580794288
2018/08/06,3.4882071762886E+15
2018/08/07,3.4932493941493E+15
2018/08/08,3499568842514016
2018/08/09,3.5064377035463E+15
2018/08/10,3511337273253183
2018/08/11,3514076062989668
2018/08/12,3.5125834734339E+15
2018/08/13,3511798263323360
2018/08/14,3.5139594889795E+15
2018/08/15,3.5135044932453E+15
2018/08/16,3.5085477669523E+15
2018/08/17,3.5069017427117E+15
2018/08/18,3.5026920464412E+15
2018/08/19,3500509793894694
2018/08/20,3.5001377506648E+15
2018/08/21,3.5011666962485E+15
2018/08/22,3.5071542063687E+15
2018/08/23,3503593970572472
2018/08/24,3.498925417189E+15
2018/08/25,3499027324801144
2018/08/26,3503589029609627
2018/08/27,3503061617852907
2018/08/28,3502293450050800
2018/08/29,3.4993127763089E+15
2018/08/30,3.4949889986769E+15
2018/08/31,3.4931112284776E+15
2018/09/01,3488860102727609
2018/09/02,3482218853568783
2018/09/03,3477336179081017
2018/09/04,3.4720082960865E+15
2018/09/05,3469651790206974
2018/09/06,3465144437733751
2018/09/07,3460919406625299
2018/09/08,3455435547707446
2018/09/09,3.4395747409854E+15
2018/09/10,3425471531373878
2018/09/11,3410753377697547
2018/09/12,3.3928397272181E+15
2018/09/13,3.3707175640192E+15
2018/09/14,3356009558640518
2018/09/15,3342504742861126
2018/09/16,3328762158013039
2018/09/17,3.3165895396197E+15
2018/09/18,3307705814297384
2018/09/19,3.2988641549096E+15
2018/09/20,3290972421505653
2018/09/21,3279432616231759
2018/09/22,3279345984837808
2018/09/23,3.2773870369973E+15
2018/09/24,3.2765673562375E+15
2018/09/25,3273082711075439
2018/09/26,3.2737657032012E+15
2018/09/27,3.2739592244396E+15
2018/09/28,3.2747132622985E+15
2018/09/29,3274135807569238
2018/09/30,3.2732341910384E+15
2018/10/01,3.2711321529987E+15
2018/10/02,3267312341755923
2018/10/03,3264652525282859
2018/10/04,3264465488743745
2018/10/05,3.265274249198E+15
2018/10/06,3264457104483899
2018/10/07,3265155943844001
2018/10/08,3.2681524686055E+15
2018/10/09,3269520779583439
2018/10/10,3.271158825756E+15
2018/10/11,3.2678388553444E+15
2018/10/12,3265862708042913
2018/10/13,3261383379299926
2018/10/14,3.258763550927E+15
2018/10/15,3.2559699241788E+15
2018/10/16,3.2527198550962E+15
2018/10/17,3248663650371359
2018/10/18,3247948467543411
2018/10/19,3245732780135202
2018/10/20,3.2400213544648E+15
2018/10/21,3.2328144913077E+15
2018/10/22,3225188948783212
2018/10/23,3.2171039002462E+15
2018/10/24,3.2126026530524E+15
2018/10/25,3206773143524806
2018/10/26,3.1976131140254E+15
2018/10/27,3193106544417552
2018/10/28,3186875349036137
2018/10/29,3.1781632917983E+15
2018/10/30,3173087568575978
2018/10/31,3.1689161793012E+15
2018/11/01,3161992427393046
