Date,sentbyaddress
2019/04/29,170040
2019/04/30,193979
2019/05/01,196783
2019/05/02,158976
2019/05/03,173774
2019/05/04,157037
2019/05/05,166330
2019/05/06,176380
2019/05/07,174155
2019/05/08,177773
2019/05/09,189168
2019/05/10,195147
2019/05/11,196315
2019/05/12,188596
2019/05/13,212594
2019/05/14,237751
2019/05/15,246244
2019/05/16,263577
2019/05/17,233620
2019/05/18,210610
2019/05/19,206291
2019/05/20,222817
2019/05/21,238840
2019/05/22,220629
2019/05/23,224739
2019/05/24,235089
2019/05/25,217246
2019/05/26,211793
2019/05/27,256429
2019/05/28,239014
2019/05/29,244926
2019/05/30,243970
2019/05/31,265127
2019/06/01,335814
2019/06/02,258429
2019/06/03,237843
2019/06/04,245237
2019/06/05,220957
2019/06/06,285798
2019/06/07,195934
2019/06/08,186530
2019/06/09,239642
2019/06/10,219017
2019/06/11,285267
2019/06/12,379140
2019/06/13,251005
2019/06/14,241199
2019/06/15,232835
2019/06/16,343882
2019/06/17,219556
2019/06/18,232183
2019/06/19,225040
2019/06/20,207850
2019/06/21,263751
2019/06/22,252761
2019/06/23,231486
2019/06/24,242331
2019/06/25,242531
2019/06/26,277627
2019/06/27,240819
2019/06/28,219619
2019/06/29,212647
2019/06/30,187553
2019/07/01,212787
2019/07/02,276388
2019/07/03,252567
2019/07/04,243525
2019/07/05,223727
2019/07/06,204291
2019/07/07,176693
2019/07/08,223436
2019/07/09,243354
2019/07/10,224482
2019/07/11,204716
2019/07/12,226778
2019/07/13,175470
2019/07/14,182150
2019/07/15,223614
2019/07/16,167836
2019/07/17,212531
2019/07/18,202375
2019/07/19,208435
2019/07/20,175025
2019/07/21,158927
2019/07/22,185911
2019/07/23,175660
2019/07/24,163977
2019/07/25,171649
2019/07/26,193853
2019/07/27,183581
2019/07/28,175714
2019/07/29,194275
2019/07/30,231895
2019/07/31,192339
2019/08/01,176407
2019/08/02,202374
2019/08/03,162010
2019/08/04,175035
2019/08/05,230537
2019/08/06,240780
2019/08/07,209321
2019/08/08,213040
2019/08/09,221345
2019/08/10,206305
2019/08/11,181987
2019/08/12,241695
2019/08/13,210751
2019/08/14,220037
2019/08/15,194684
2019/08/16,219878
2019/08/17,179065
2019/08/18,179628
2019/08/19,210291
2019/08/20,218870
2019/08/21,219927
2019/08/22,212934
2019/08/23,226519
2019/08/24,205294
2019/08/25,196810
2019/08/26,222499
2019/08/27,225536
2019/08/28,212133
2019/08/29,214547
2019/08/30,207292
2019/08/31,194124
2019/09/01,191483
2019/09/02,230201
2019/09/03,223411
2019/09/04,220915
2019/09/05,241754
2019/09/06,230681
2019/09/07,208010
2019/09/08,204726
2019/09/09,234466
2019/09/10,210418
2019/09/11,214969
2019/09/12,221270
2019/09/13,192883
2019/09/14,195676
2019/09/15,200342
2019/09/16,230634
2019/09/17,219109
2019/09/18,220930
2019/09/19,217168
2019/09/20,224810
2019/09/21,174247
2019/09/22,161744
2019/09/23,169085
2019/09/24,195568
2019/09/25,181729
2019/09/26,183844
2019/09/27,182833
2019/09/28,177582
