Date,hashrate
2018/04/13,2.5481516782139E+14
2018/04/14,2.5511251573332E+14
2018/04/15,2.5507813192661E+14
2018/04/16,2.5601084679092E+14
2018/04/17,2.5571933629823E+14
2018/04/18,2.4929087293796E+14
2018/04/19,2.5650782888312E+14
2018/04/20,2.5025256717642E+14
2018/04/21,2.5983970987971E+14
2018/04/22,2.5664563776065E+14
2018/04/23,2.608026586839E+14
2018/04/24,2.555995868364E+14
2018/04/25,2.5781598916116E+14
2018/04/26,2.6735898073294E+14
2018/04/27,2.5787979901844E+14
2018/04/28,2.5423616746013E+14
2018/04/29,2.6561857421037E+14
2018/04/30,2.6414534894408E+14
2018/05/01,2.5646161728229E+14
2018/05/02,2.6196241443561E+14
2018/05/03,2.6296568974572E+14
2018/05/04,2.6596956875151E+14
2018/05/05,2.703255806275E+14
2018/05/06,2.7078583097808E+14
2018/05/07,2.7647622728467E+14
2018/05/08,273676598352453
2018/05/09,2.7009425983491E+14
2018/05/10,2.7004359129913E+14
2018/05/11,2.729515242165E+14
2018/05/12,2.7886615873097E+14
2018/05/13,2.7835910735622E+14
2018/05/14,2.7298531449268E+14
2018/05/15,2.6945103179298E+14
2018/05/16,2.6981342106722E+14
2018/05/17,2.7263880210462E+14
2018/05/18,2.7056335849142E+14
2018/05/19,2.7188503665067E+14
2018/05/20,2.7577234835743E+14
2018/05/21,2.7823388094675E+14
2018/05/22,2.7501066286102E+14
2018/05/23,2.7425275559891E+14
2018/05/24,2.6435901808942E+14
2018/05/25,266436039444785
2018/05/26,2.7078618693625E+14
2018/05/27,2.6437538393748E+14
2018/05/28,2.6901838938789E+14
2018/05/29,2.6808278640553E+14
2018/05/30,2.6587098323462E+14
2018/05/31,2.7221965447516E+14
2018/06/01,2.6113509886615E+14
2018/06/02,2.6806280780911E+14
2018/06/03,2.6611789037149E+14
2018/06/04,2.6737375798256E+14
2018/06/05,2.6658999196245E+14
2018/06/06,2.6502833273338E+14
2018/06/07,2.6748199448036E+14
2018/06/08,2.6882343713198E+14
2018/06/09,2.802010294602E+14
2018/06/10,2.6963527233932E+14
2018/06/11,2.7416413969626E+14
2018/06/12,2.7784377199297E+14
2018/06/13,2.7026964239372E+14
2018/06/14,2.6981408654319E+14
2018/06/15,2.6903205242607E+14
2018/06/16,2.7175626390245E+14
2018/06/17,2.6963436971325E+14
2018/06/18,2.7984353687513E+14
2018/06/19,2.8243803112341E+14
2018/06/20,2.7910365316998E+14
2018/06/21,2.8276545544782E+14
2018/06/22,2.8457666062571E+14
2018/06/23,2.805879500694E+14
2018/06/24,2.8165158393792E+14
2018/06/25,2.8270323090401E+14
2018/06/26,2.800845547693E+14
2018/06/27,2.8811866988606E+14
2018/06/28,2.7938421061614E+14
2018/06/29,2.7713810746077E+14
2018/06/30,2.877078495963E+14
2018/07/01,2.7620285718018E+14
2018/07/02,2.8100377961537E+14
2018/07/03,2.8534683291649E+14
2018/07/04,2.8294202363124E+14
2018/07/05,2.9228198467524E+14
2018/07/06,2.8755094370995E+14
2018/07/07,2.9091485002308E+14
2018/07/08,2.8519423752995E+14
2018/07/09,2.9269647226561E+14
2018/07/10,2.8544915371209E+14
2018/07/11,2.7760223271931E+14
2018/07/12,2.8075993749724E+14
2018/07/13,2.7800090419068E+14
2018/07/14,2.7847394339059E+14
2018/07/15,2.8015751321391E+14
2018/07/16,2.8044146746042E+14
2018/07/17,2.8653592481983E+14
2018/07/18,2.8417500407806E+14
2018/07/19,2.8087412792106E+14
2018/07/20,2.7623814076087E+14
2018/07/21,2.653221643404E+14
2018/07/22,2.7788042153258E+14
2018/07/23,2.8738686294755E+14
2018/07/24,282587537086624
2018/07/25,2.8992352423219E+14
2018/07/26,2.8744673843663E+14
2018/07/27,2.8694370852439E+14
2018/07/28,2.8826922289109E+14
2018/07/29,2.8951350652728E+14
2018/07/30,2.8905112226116E+14
2018/07/31,2.9029669548363E+14
2018/08/01,2.8712107743872E+14
2018/08/02,2.927089975828E+14
2018/08/03,2.8566138943292E+14
2018/08/04,2.9289366010493E+14
2018/08/05,293021488825789
2018/08/06,2.9332231418381E+14
2018/08/07,2.9196473584028E+14
2018/08/08,2.9498753903672E+14
2018/08/09,2.9589621851488E+14
2018/08/10,2.9214099371076E+14
2018/08/11,2.9337899334379E+14
2018/08/12,2.8537683642606E+14
2018/08/13,2.8521276390665E+14
2018/08/14,2.8650656962202E+14
