Date,activeaddresses7sma
2019/02/05,245388
2019/02/06,236457
2019/02/07,226845
2019/02/08,222751
2019/02/09,219889
2019/02/10,217458
2019/02/11,220364
2019/02/12,223808
2019/02/13,227786
2019/02/14,232549
2019/02/15,234946
2019/02/16,238037
2019/02/17,242637
2019/02/18,251646
2019/02/19,258764
2019/02/20,261032
2019/02/21,261622
2019/02/22,262093
2019/02/23,263012
2019/02/24,267686
2019/02/25,264816
2019/02/26,262949
2019/02/27,264706
2019/02/28,269036
2019/03/01,273251
2019/03/02,276632
2019/03/03,274113
2019/03/04,277440
2019/03/05,281194
2019/03/06,284355
2019/03/07,285827
2019/03/08,286918
2019/03/09,290197
2019/03/10,290205
2019/03/11,287147
2019/03/12,287039
2019/03/13,286353
2019/03/14,287134
2019/03/15,285653
2019/03/16,280556
2019/03/17,283665
2019/03/18,288533
2019/03/19,291392
2019/03/20,296681
2019/03/21,297927
2019/03/22,301912
2019/03/23,306022
2019/03/24,308671
2019/03/25,314825
2019/03/26,318437
2019/03/27,318720
2019/03/28,323997
2019/03/29,327221
2019/03/30,334241
2019/03/31,337017
2019/04/01,343178
2019/04/02,354903
2019/04/03,365636
2019/04/04,367519
2019/04/05,368173
2019/04/06,364153
2019/04/07,366821
2019/04/08,363669
2019/04/09,355143
2019/04/10,346955
2019/04/11,352429
2019/04/12,359928
2019/04/13,364182
2019/04/14,358611
2019/04/15,354889
2019/04/16,352224
2019/04/17,352317
2019/04/18,346880
2019/04/19,345666
2019/04/20,358732
2019/04/21,372041
2019/04/22,380026
2019/04/23,388250
2019/04/24,391366
2019/04/25,391703
2019/04/26,387663
2019/04/27,368882
2019/04/28,358622
2019/04/29,349009
2019/04/30,343402
2019/05/01,344574
2019/05/02,338921
2019/05/03,336296
2019/05/04,338494
2019/05/05,340402
2019/05/06,343150
2019/05/07,340647
2019/05/08,337939
2019/05/09,344841
2019/05/10,352144
2019/05/11,361790
2019/05/12,367496
2019/05/13,376314
2019/05/14,391285
2019/05/15,407339
2019/05/16,426620
2019/05/17,434660
2019/05/18,437256
2019/05/19,440802
2019/05/20,442003
2019/05/21,443192
2019/05/22,437263
2019/05/23,428359
2019/05/24,430347
2019/05/25,435458
2019/05/26,437535
2019/05/27,448335
2019/05/28,452345
2019/05/29,464742
2019/05/30,469362
2019/05/31,474471
2019/06/01,500575
2019/06/02,519308
2019/06/03,517542
2019/06/04,511843
2019/06/05,495768
2019/06/06,497751
2019/06/07,480269
2019/06/08,442140
2019/06/09,425307
2019/06/10,410966
2019/06/11,412008
2019/06/12,434047
2019/06/13,428590
2019/06/14,437916
2019/06/15,454811
2019/06/16,477883
2019/06/17,482271
2019/06/18,481984
2019/06/19,461672
2019/06/20,453127
