Date,price
2018/11/21,134.412
2018/11/22,133.841
2018/11/23,123.4
2018/11/24,122.893
2018/11/25,110.624
2018/11/26,113.082
2018/11/27,107.211
2018/11/28,117.631
2018/11/29,119.394
2018/11/30,115.711
2018/12/01,116.635
2018/12/02,117.759
2018/12/03,112.055
2018/12/04,110.908
2018/12/05,107.517
2018/12/06,99.984
2018/12/07,87.853
2018/12/08,91.506
2018/12/09,94.24
2018/12/10,92.799
2018/12/11,90.017
2018/12/12,90.69
2018/12/13,89.755
2018/12/14,86.052
2018/12/15,84.6
2018/12/16,87.252
2018/12/17,90.414
2018/12/18,95.574
2018/12/19,104.493
2018/12/20,109.127
2018/12/21,114.237
2018/12/22,112.105
2018/12/23,130.171
2018/12/24,147.378
2018/12/25,130.099
2018/12/26,131.842
2018/12/27,125.008
2018/12/28,124.293
2018/12/29,139.101
2018/12/30,138.414
2018/12/31,137.043
2019/01/01,136.343
2019/01/02,149.513
2019/01/03,152.232
2019/01/04,152.948
2019/01/05,159.119
2019/01/06,155.829
2019/01/07,154.772
2019/01/08,151.113
2019/01/09,152.211
2019/01/10,136.803
2019/01/11,127.396
2019/01/12,126.634
2019/01/13,122.19
2019/01/14,122.009
2019/01/15,127.336
2019/01/16,122.689
2019/01/17,121.923
2019/01/18,121.682
2019/01/19,123.553
2019/01/20,121.361
2019/01/21,117.306
2019/01/22,117.819
2019/01/23,118.474
2019/01/24,116.778
2019/01/25,116.484
2019/01/26,116.77
2019/01/27,114.997
2019/01/28,106.711
2019/01/29,105.267
2019/01/30,107.303
2019/01/31,108.037
2019/02/01,106.614
2019/02/02,107.304
2019/02/03,108.197
2019/02/04,107.14
2019/02/05,106.849
2019/02/06,103.437
2019/02/07,104.614
2019/02/08,110.199
2019/02/09,119.015
2019/02/10,118.598
2019/02/11,121.136
2019/02/12,120.728
2019/02/13,122.62
2019/02/14,122.125
2019/02/15,121.848
2019/02/16,122.815
2019/02/17,126.224
2019/02/18,141.388
2019/02/19,147.256
2019/02/20,145.404
2019/02/21,145.791
2019/02/22,147.482
2019/02/23,150.915
2019/02/24,154.091
2019/02/25,138.7
2019/02/26,136.88
2019/02/27,136.62
2019/02/28,136.84
2019/03/01,136.494
2019/03/02,133.712
2019/03/03,133.003
2019/03/04,127.019
2019/03/05,131.161
2019/03/06,137.35
2019/03/07,137.878
2019/03/08,136.622
2019/03/09,136.834
2019/03/10,135.818
2019/03/11,133.746
2019/03/12,133.189
2019/03/13,132.266
2019/03/14,132.092
2019/03/15,134.993
2019/03/16,141.208
2019/03/17,139.094
2019/03/18,138.526
2019/03/19,138.25
2019/03/20,138.281
2019/03/21,137.617
2019/03/22,136.278
2019/03/23,136.949
2019/03/24,136.269
2019/03/25,135.079
2019/03/26,133.834
2019/03/27,137.827
2019/03/28,138.322
2019/03/29,140.268
2019/03/30,142.857
2019/03/31,141.459
2019/04/01,142.086
2019/04/02,153.069
2019/04/03,169.7
2019/04/04,160.32
2019/04/05,163.11
2019/04/06,165.22
2019/04/07,168.673
2019/04/08,179.951
2019/04/09,176.801
2019/04/10,179.253
2019/04/11,167.621
2019/04/12,164.034
2019/04/13,164.025
2019/04/14,163.796
2019/04/15,164.934
2019/04/16,163.271
2019/04/17,166.169
2019/04/18,172.431
2019/04/19,172.481
2019/04/20,173.686
2019/04/21,169.998
2019/04/22,170.625
2019/04/23,173.397
