Date,difficulty90var
2017/05/10,5.1566398267E+27
2017/05/11,5.2658497070457E+27
2017/05/12,5.3928070774039E+27
2017/05/13,5.5054800199037E+27
2017/05/14,5.6955692746662E+27
2017/05/15,5.907646323913E+27
2017/05/16,6.1104431117269E+27
2017/05/17,6.2607131484325E+27
2017/05/18,6.4233029609166E+27
2017/05/19,6.6360949651635E+27
2017/05/20,6.8652290308498E+27
2017/05/21,7.1194210053565E+27
2017/05/22,7.4087566163875E+27
2017/05/23,7.6126473130753E+27
2017/05/24,7.8328122668871E+27
2017/05/25,8.0240244928242E+27
2017/05/26,8.1937411640288E+27
2017/05/27,8.421141249052E+27
2017/05/28,8.615430278134E+27
2017/05/29,8.8744981907353E+27
2017/05/30,9.2184899800145E+27
2017/05/31,9.5626988101863E+27
2017/06/01,1.0117701215261E+28
2017/06/02,1.0706954012683E+28
2017/06/03,1.127820803958E+28
2017/06/04,1.1948271138083E+28
2017/06/05,1.2583208584027E+28
2017/06/06,1.3284856324123E+28
2017/06/07,1.4063513566206E+28
2017/06/08,1.4841354578504E+28
2017/06/09,1.5568849973744E+28
2017/06/10,1.6404030305243E+28
2017/06/11,1.7338302624742E+28
2017/06/12,1.8161779012089E+28
2017/06/13,1.9073046399022E+28
2017/06/14,2.0065739789666E+28
2017/06/15,2.1134422012163E+28
2017/06/16,2.222156993566E+28
2017/06/17,2.3405294770578E+28
2017/06/18,2.4615683276011E+28
2017/06/19,2.5792756587083E+28
2017/06/20,2.7543779498315E+28
2017/06/21,2.950418632896E+28
2017/06/22,3.1337469816865E+28
2017/06/23,3.3154636021224E+28
2017/06/24,3.4980859563111E+28
2017/06/25,3.6908559614406E+28
2017/06/26,3.8911943366089E+28
2017/06/27,4.0881380727859E+28
2017/06/28,4.2958800196583E+28
2017/06/29,4.5063119728635E+28
2017/06/30,4.7132400338836E+28
2017/07/01,4.9310962506202E+28
2017/07/02,5.1360429278856E+28
2017/07/03,5.3470660835228E+28
2017/07/04,5.5628264723705E+28
2017/07/05,5.7601998667877E+28
2017/07/06,5.959092559642E+28
2017/07/07,6.1456205056306E+28
2017/07/08,6.336933749311E+28
2017/07/09,6.5311585018076E+28
2017/07/10,6.8725442118012E+28
2017/07/11,7.2136244681988E+28
2017/07/12,7.4895614041962E+28
2017/07/13,7.7857770478208E+28
2017/07/14,8.0281082770732E+28
2017/07/15,8.282416949024E+28
2017/07/16,8.5646407189396E+28
2017/07/17,8.7789489641242E+28
2017/07/18,8.9887963053752E+28
2017/07/19,9.1984682636091E+28
2017/07/20,9.4397490389543E+28
2017/07/21,9.7076121988781E+28
2017/07/22,9.9163556028772E+28
2017/07/23,1.0146438323044E+29
2017/07/24,1.0337391319532E+29
2017/07/25,1.0547112906035E+29
2017/07/26,1.073975832732E+29
2017/07/27,1.090881729779E+29
2017/07/28,1.1079674770063E+29
2017/07/29,1.1216812339388E+29
2017/07/30,1.1367306052266E+29
2017/07/31,1.1578883638856E+29
2017/08/01,1.2047389291575E+29
2017/08/02,1.2472556667213E+29
2017/08/03,1.2789463189996E+29
2017/08/04,1.3125402345851E+29
2017/08/05,1.3420312957184E+29
2017/08/06,1.3698904871278E+29
2017/08/07,1.3986551543911E+29
2017/08/08,1.4259024201365E+29
2017/08/09,1.4538779944928E+29
2017/08/10,1.4772012320501E+29
2017/08/11,1.4949058020117E+29
2017/08/12,1.520178747643E+29
2017/08/13,1.5422716046162E+29
2017/08/14,1.5667585313595E+29
2017/08/15,1.5866830969993E+29
2017/08/16,1.5998999496312E+29
2017/08/17,1.6151032849135E+29
2017/08/18,1.6282715633934E+29
2017/08/19,1.6466972973874E+29
2017/08/20,1.6617858392206E+29
2017/08/21,1.6693036354896E+29
2017/08/22,1.676838524846E+29
2017/08/23,1.6856823526215E+29
2017/08/24,1.6873258993957E+29
2017/08/25,1.7471224563857E+29
2017/08/26,1.8093169059126E+29
2017/08/27,1.8627271415782E+29
2017/08/28,1.9033852769213E+29
2017/08/29,1.9532575825924E+29
2017/08/30,2.0084723726288E+29
2017/08/31,2.0556317309791E+29
2017/09/01,2.1000725737662E+29
2017/09/02,2.1407867411808E+29
2017/09/03,2.179085995332E+29
2017/09/04,2.2119347959949E+29
2017/09/05,2.2386043666204E+29
2017/09/06,2.2606061296872E+29
2017/09/07,2.2802128810478E+29
2017/09/08,2.3162849770609E+29
2017/09/09,2.3428848027404E+29
2017/09/10,2.3557816318872E+29
2017/09/11,2.3696549334394E+29
2017/09/12,2.3921545566506E+29
2017/09/13,2.4009391800928E+29
2017/09/14,2.4046215703977E+29
2017/09/15,2.414248907111E+29
2017/09/16,2.4161846674308E+29
2017/09/17,2.4201024010566E+29
2017/09/18,2.4233875244361E+29
2017/09/19,2.4304918373666E+29
2017/09/20,2.4317046626062E+29
2017/09/21,2.4329038258098E+29
2017/09/22,2.5484484740734E+29
2017/09/23,2.6627472546523E+29
2017/09/24,2.7658565911645E+29
2017/09/25,2.8512672950564E+29
2017/09/26,2.924160410556E+29
2017/09/27,2.9973148054543E+29
2017/09/28,3.0578743004699E+29
