Date,size
2018/06/05,25848
2018/06/06,24376
2018/06/07,24384
2018/06/08,24513
2018/06/09,24163
2018/06/10,24560
2018/06/11,24470
2018/06/12,23682
2018/06/13,25448
2018/06/14,24149
2018/06/15,22615
2018/06/16,26353
2018/06/17,19968
2018/06/18,22074
2018/06/19,25000
2018/06/20,25587
2018/06/21,23526
2018/06/22,24500
2018/06/23,20591
2018/06/24,20968
2018/06/25,25228
2018/06/26,23860
2018/06/27,24580
2018/06/28,23926
2018/06/29,23219
2018/06/30,22085
2018/07/01,22500
2018/07/02,19625
2018/07/03,22047
2018/07/04,18915
2018/07/05,21492
2018/07/06,19221
2018/07/07,19710
2018/07/08,22366
2018/07/09,22362
2018/07/10,23429
2018/07/11,22106
2018/07/12,21238
2018/07/13,20793
2018/07/14,19583
2018/07/15,18676
2018/07/16,23433
2018/07/17,23583
2018/07/18,23590
2018/07/19,23728
2018/07/20,21230
2018/07/21,19169
2018/07/22,20793
2018/07/23,23066
2018/07/24,24228
2018/07/25,24159
2018/07/26,23504
2018/07/27,22766
2018/07/28,19586
2018/07/29,21874
2018/07/30,23849
2018/07/31,23919
2018/08/01,24727
2018/08/02,24602
2018/08/03,22395
2018/08/04,21272
2018/08/05,22206
2018/08/06,23317
2018/08/07,19803
2018/08/08,16263
2018/08/09,15543
2018/08/10,18596
2018/08/11,20285
2018/08/12,19754
2018/08/13,21954
2018/08/14,21862
2018/08/15,19765
2018/08/16,22328
2018/08/17,20514
2018/08/18,22512
2018/08/19,22015
2018/08/20,25134
2018/08/21,25249
2018/08/22,22832
2018/08/23,24307
2018/08/24,22859
2018/08/25,24937
2018/08/26,24193
2018/08/27,24866
2018/08/28,25984
2018/08/29,24552
2018/08/30,23668
2018/08/31,22118
2018/09/01,23748
2018/09/02,23061
2018/09/03,25005
2018/09/04,23087
2018/09/05,25414
2018/09/06,23479
2018/09/07,25113
2018/09/08,25208
2018/09/09,22118
2018/09/10,23525
2018/09/11,22317
2018/09/12,24133
2018/09/13,24044
2018/09/14,26309
2018/09/15,25808
2018/09/16,27185
2018/09/17,25919
2018/09/18,26176
2018/09/19,20024
2018/09/20,24244
2018/09/21,26244
2018/09/22,25021
2018/09/23,25761
2018/09/24,28688
2018/09/25,28211
2018/09/26,29742
2018/09/27,29477
2018/09/28,28071
2018/09/29,20428
2018/09/30,23846
2018/10/01,24593
2018/10/02,24107
2018/10/03,21423
2018/10/04,22655
2018/10/05,20849
2018/10/06,17610
2018/10/07,15402
2018/10/08,17036
2018/10/09,18245
2018/10/10,16867
2018/10/11,18166
2018/10/12,20202
2018/10/13,17319
2018/10/14,15242
2018/10/15,17581
2018/10/16,17647
2018/10/17,17766
2018/10/18,17769
2018/10/19,18544
2018/10/20,15752
2018/10/21,16116
2018/10/22,19571
2018/10/23,17617
2018/10/24,20667
2018/10/25,21878
2018/10/26,20114
2018/10/27,15214
2018/10/28,15574
2018/10/29,19679
2018/10/30,19083
2018/10/31,17867
2018/11/01,18086
2018/11/02,17166
2018/11/03,15802
2018/11/04,15888
2018/11/05,17562
2018/11/06,18894
2018/11/07,17796
2018/11/08,18379
