Date,difficulty3sma
2018/02/21,2940422999649695
2018/02/22,2.9418360341377E+15
2018/02/23,2.9534482427021E+15
2018/02/24,2.9746110182066E+15
2018/02/25,3.0130274384673E+15
2018/02/26,3.0339679866164E+15
2018/02/27,3035248843064160
2018/02/28,3.0206229194843E+15
2018/03/01,3044797935253688
2018/03/02,3.0776236557115E+15
2018/03/03,3123706019048768
2018/03/04,3.1360747038873E+15
2018/03/05,3.1554019373797E+15
2018/03/06,3.1312671530164E+15
2018/03/07,3.1492953547334E+15
2018/03/08,3.183507512415E+15
2018/03/09,3.1959984980605E+15
2018/03/10,3.1868270448746E+15
2018/03/11,3157169998750172
2018/03/12,3.168869124982E+15
2018/03/13,3.1721871514806E+15
2018/03/14,3167789373787112
2018/03/15,3.15777047931E+15
2018/03/16,3190011477456968
2018/03/17,3.2319662309683E+15
2018/03/18,3266843416741436
2018/03/19,3.2714540547688E+15
2018/03/20,3.2780790786626E+15
2018/03/21,3.2766534369784E+15
2018/03/22,3.2560539581376E+15
2018/03/23,3257023279069122
2018/03/24,3.2428465182243E+15
2018/03/25,3.2558875771663E+15
2018/03/26,3.27225296488E+15
2018/03/27,3.2908652577361E+15
2018/03/28,3.2887767505548E+15
2018/03/29,3238793427557994
2018/03/30,3.217915231616E+15
2018/03/31,3.1948394733384E+15
2018/04/01,3.2135483821861E+15
2018/04/02,3.2088575931692E+15
2018/04/03,3.1892720009602E+15
2018/04/04,3168393190873722
2018/04/05,3.1528421817664E+15
2018/04/06,3.194802413762E+15
2018/04/07,3.2144369148191E+15
2018/04/08,3227819324858178
2018/04/09,3.1720742322183E+15
2018/04/10,3.1387319313528E+15
2018/04/11,3123812454728028
2018/04/12,3.1379955684983E+15
2018/04/13,3.1213715184278E+15
2018/04/14,3116604950758596
2018/04/15,3118589393637334
2018/04/16,3127831415593092
2018/04/17,3.1279916281929E+15
2018/04/18,3.1082221774982E+15
2018/04/19,3.1031050403174E+15
2018/04/20,3082210386297416
2018/04/21,3.1122395340647E+15
2018/04/22,3128364662695298
2018/04/23,3.165407678865E+15
2018/04/24,3.1533475869754E+15
2018/04/25,3.1475375194533E+15
2018/04/26,3158184314265402
2018/04/27,3.164924158469E+15
2018/04/28,3164774259236180
2018/04/29,3157323790842648
2018/04/30,3172000551235692
2018/05/01,3167039261382800
2018/05/02,3140540402209646
2018/05/03,3129966701476822
2018/05/04,3159574008851412
2018/05/05,3.2031949060334E+15
2018/05/06,3.2389908211538E+15
2018/05/07,3.2806527546047E+15
2018/05/08,3314443671364102
2018/05/09,3313259389647514
2018/05/10,3.297253878284E+15
2018/05/11,3.2778016608414E+15
2018/05/12,3.310685900463E+15
2018/05/13,3.3497680588113E+15
2018/05/14,3.3620834987627E+15
2018/05/15,3327267515045724
2018/05/16,3.2903791805758E+15
2018/05/17,3.2766349822764E+15
2018/05/18,3267966010175152
2018/05/19,3.2559215252596E+15
2018/05/20,3.2649344872753E+15
2018/05/21,3299966095244438
2018/05/22,3.324322656984E+15
2018/05/23,3305725324479076
2018/05/24,3266354668942074
2018/05/25,3226258087506202
2018/05/26,3.2265765039066E+15
2018/05/27,3.2237443806133E+15
2018/05/28,3.2335445026344E+15
2018/05/29,3.2221528907263E+15
2018/05/30,3209534373104360
2018/05/31,3.2151713951762E+15
2018/06/01,3192738458730932
2018/06/02,3198362050379172
2018/06/03,3182791983410628
2018/06/04,3185289496642142
2018/06/05,3.1981947061608E+15
2018/06/06,3185128052722906
2018/06/07,3.185985044666E+15
2018/06/08,3173989537459376
2018/06/09,3.2206909850978E+15
2018/06/10,3250832079422042
2018/06/11,3.2638585799591E+15
2018/06/12,3273707021943710
2018/06/13,3279514406394366
2018/06/14,3.293172696793E+15
2018/06/15,3.2678426446729E+15
2018/06/16,3.2757459516136E+15
2018/06/17,3281871318398068
2018/06/18,3.3285243090234E+15
2018/06/19,3.375776478871E+15
2018/06/20,3402593098687610
2018/06/21,3.4224359800561E+15
2018/06/22,3420373970214144
2018/06/23,3.4266174723714E+15
2018/06/24,3.4260576100693E+15
2018/06/25,3415336619856268
2018/06/26,3404789282938648
2018/06/27,3.4153894204934E+15
