Date,transactionvalue3wmaUSD
2018/12/14,429.915
2018/12/15,355.835
2018/12/16,311.571
2018/12/17,420.725
2018/12/18,510.274
2018/12/19,656.032
2018/12/20,745.546
2018/12/21,818.088
2018/12/22,654.839
2018/12/23,655.477
2018/12/24,786.305
2018/12/25,725.667
2018/12/26,604.814
2018/12/27,588.829
2018/12/28,624.323
2018/12/29,808.06
2018/12/30,675.167
2018/12/31,599.744
2019/01/01,518.722
2019/01/02,608.512
2019/01/03,635.071
2019/01/04,860.548
2019/01/05,1111
2019/01/06,995.176
2019/01/07,842.222
2019/01/08,694.283
2019/01/09,635.308
2019/01/10,676.595
2019/01/11,803.668
2019/01/12,636.106
2019/01/13,516.332
2019/01/14,585.338
2019/01/15,600.401
2019/01/16,629.726
2019/01/17,561.725
2019/01/18,476.069
2019/01/19,385.364
2019/01/20,372.425
2019/01/21,370.268
2019/01/22,367.081
2019/01/23,400.34
2019/01/24,472.767
2019/01/25,478.036
2019/01/26,402.465
2019/01/27,403.551
2019/01/28,505.666
2019/01/29,488.959
2019/01/30,472.377
2019/01/31,469.671
2019/02/01,449.439
2019/02/02,366.76
2019/02/03,332.15
2019/02/04,291.09
2019/02/05,270.675
2019/02/06,341.032
2019/02/07,360.55
2019/02/08,439.929
2019/02/09,391.759
2019/02/10,419.498
2019/02/11,475.186
2019/02/12,467.147
2019/02/13,456.59
2019/02/14,435.431
2019/02/15,424.728
2019/02/16,355.346
2019/02/17,413.538
2019/02/18,628.525
2019/02/19,741.882
2019/02/20,700.352
2019/02/21,619.538
2019/02/22,587.261
2019/02/23,534.214
2019/02/24,670.715
2019/02/25,805.453
2019/02/26,670.135
2019/02/27,675.666
2019/02/28,622.547
2019/03/01,553.677
2019/03/02,442.359
2019/03/03,432.504
2019/03/04,473.051
2019/03/05,504.4
2019/03/06,518.484
2019/03/07,516.551
2019/03/08,551.248
2019/03/09,505.698
2019/03/10,489.087
2019/03/11,544.229
2019/03/12,565.464
2019/03/13,527.646
2019/03/14,515.444
2019/03/15,522.269
2019/03/16,535.908
2019/03/17,515.378
2019/03/18,567.81
2019/03/19,498.023
2019/03/20,559.952
2019/03/21,558.501
2019/03/22,516.418
2019/03/23,555.49
2019/03/24,505.083
2019/03/25,551.397
2019/03/26,545.137
2019/03/27,534.088
2019/03/28,513.893
2019/03/29,538.247
2019/03/30,544.334
2019/03/31,511.903
2019/04/01,501.292
2019/04/02,663.127
2019/04/03,834.998
2019/04/04,800.885
2019/04/05,742.475
2019/04/06,627.843
2019/04/07,656.76
2019/04/08,840.123
2019/04/09,910.748
2019/04/10,850.437
2019/04/11,741.639
2019/04/12,649.036
2019/04/13,517.976
2019/04/14,494.211
2019/04/15,579.235
2019/04/16,587.691
2019/04/17,569.457
2019/04/18,599.324
2019/04/19,595.54
2019/04/20,538.065
2019/04/21,524.964
2019/04/22,545.43
2019/04/23,607.773
2019/04/24,745.549
2019/04/25,776.117
2019/04/26,928.343
2019/04/27,748.663
2019/04/28,666.263
2019/04/29,677.868
2019/04/30,690.453
2019/05/01,648.792
2019/05/02,580.904
2019/05/03,593.39
2019/05/04,560.186
2019/05/05,517.821
2019/05/06,601.105
2019/05/07,770.804
2019/05/08,808.233
2019/05/09,745.269
2019/05/10,688.195
2019/05/11,902.139
2019/05/12,874.426
2019/05/13,952.339
2019/05/14,905.943
2019/05/15,1065
2019/05/16,1562
2019/05/17,1556
2019/05/18,1161
2019/05/19,874.427
2019/05/20,848.287
2019/05/21,880.474
2019/05/22,865.64
2019/05/23,864.856
2019/05/24,774.471
2019/05/25,653.32
2019/05/26,702.032
2019/05/27,826.779
2019/05/28,824.722
2019/05/29,953.62
2019/05/30,1054
2019/05/31,1074
2019/06/01,794.285
2019/06/02,586.187
2019/06/03,671.964
2019/06/04,814.407
2019/06/05,964.815
2019/06/06,800.456
2019/06/07,710.725
2019/06/08,481.328
2019/06/09,516.67
2019/06/10,562.189
2019/06/11,594.232
2019/06/12,651.555
2019/06/13,804.436
2019/06/14,855.753
2019/06/15,951.028
2019/06/16,927.168
2019/06/17,803.841
2019/06/18,826.082
2019/06/19,866.701
2019/06/20,772.491
2019/06/21,924.159
2019/06/22,1051
2019/06/23,998.715
2019/06/24,958.053
2019/06/25,945.416
2019/06/26,1218
2019/06/27,1359
2019/06/28,1124
2019/06/29,1042
2019/06/30,931.884
2019/07/01,846.016
2019/07/02,763.283
2019/07/03,773.503
2019/07/04,735.906
2019/07/05,641.156
2019/07/06,519.892
2019/07/07,600.49
2019/07/08,650.717
2019/07/09,1203
2019/07/10,1192
2019/07/11,1147
2019/07/12,867.143
2019/07/13,645.019
2019/07/14,725.375
2019/07/15,843.242
2019/07/16,737.756
2019/07/17,701.671
2019/07/18,725.231
2019/07/19,648.626
2019/07/20,577.857
2019/07/21,507.914
2019/07/22,532.616
2019/07/23,544.858
2019/07/24,459.109
2019/07/25,405.035
2019/07/26,620.743
2019/07/27,565.058
2019/07/28,463.523
2019/07/29,456.433
2019/07/30,488.915
2019/07/31,519.19
2019/08/01,615.086
2019/08/02,597.404
2019/08/03,478.958
2019/08/04,397.913
2019/08/05,639.742
2019/08/06,722.934
2019/08/07,660.871
