Date,mediantransactionvalue3momUSD
2017/09/17,-12.755
2017/09/18,-20.71
2017/09/19,3.198
2017/09/20,16.223
2017/09/21,0.365
2017/09/22,-10.388
2017/09/23,-10.046
2017/09/24,-2.365
2017/09/25,-2.91
2017/09/26,-4.825
2017/09/27,1.044
2017/09/28,-0.405
2017/09/29,-3.895
2017/09/30,-5.083
2017/10/01,-0.079
2017/10/02,7.903
2017/10/03,6.16
2017/10/04,1.6
2017/10/05,-3.478
2017/10/06,-1.401
2017/10/07,-0.837
2017/10/08,1.126
2017/10/09,-8.687
2017/10/10,-0.607
2017/10/11,-5.796
2017/10/12,1.405
2017/10/13,16.869
2017/10/14,8.921
2017/10/15,8.838
2017/10/16,-32.045
2017/10/17,-18.855
2017/10/18,-16.254
2017/10/19,0
2017/10/20,-0.062
2017/10/21,-0.03
2017/10/22,0.196
2017/10/23,0.274
2017/10/24,0.03
2017/10/25,-0.196
2017/10/26,-0.274
2017/10/27,-0.03
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,0
2017/11/02,1.386
2017/11/03,0
2017/11/04,0
2017/11/05,-1.386
2017/11/06,0
2017/11/07,0
2017/11/08,1.109
2017/11/09,2.386
2017/11/10,6.211
2017/11/11,0.119
2017/11/12,22.192
2017/11/13,2.322
2017/11/14,8.917
2017/11/15,-7.61
2017/11/16,-5.4
2017/11/17,3.68
2017/11/18,-13.627
2017/11/19,4.143
2017/11/20,-13.176
2017/11/21,14.97
2017/11/22,11.094
2017/11/23,19.111
2017/11/24,3.447
2017/11/25,-15.565
2017/11/26,-16.092
2017/11/27,2.09
2017/11/28,21.079
2017/11/29,32.567
2017/11/30,-0.492
2017/12/01,-9.424
2017/12/02,-23.46
2017/12/03,-13.255
2017/12/04,9.885
2017/12/05,14.131
2017/12/06,93.079
2017/12/07,11.209
2017/12/08,-4.549
2017/12/09,-88.839
2017/12/10,-23.72
2017/12/11,-6.135
2017/12/12,18.369
2017/12/13,42.649
2017/12/14,64.537
2017/12/15,32.085
2017/12/16,-7.787
2017/12/17,-31.775
2017/12/18,8.199
2017/12/19,54.025
2017/12/20,110.927
2017/12/21,88.124
2017/12/22,72.38
2017/12/23,-80.833
2017/12/24,-96.597
2017/12/25,-115.9
2017/12/26,-4.58
2017/12/27,21.515
2017/12/28,22.529
2017/12/29,82.016
2017/12/30,137.156
2017/12/31,4.155
2018/01/01,-81.417
2018/01/02,-81.799
2018/01/03,179.207
2018/01/04,510.912
2018/01/05,262.811
2018/01/06,-19.642
2018/01/07,-369.713
2018/01/08,-153.719
2018/01/09,105.429
2018/01/10,148.346
2018/01/11,55.144
2018/01/12,-158.854
2018/01/13,-229.001
2018/01/14,-184.175
2018/01/15,69.708
2018/01/16,197.902
2018/01/17,198.696
2018/01/18,-19.056
2018/01/19,-227.083
2018/01/20,-263.754
2018/01/21,-30.192
2018/01/22,6.643
2018/01/23,41.119
2018/01/24,-117.946
2018/01/25,-59.532
2018/01/26,16.319
2018/01/27,-3.162
2018/01/28,17.732
2018/01/29,5.635
2018/01/30,23.733
2018/01/31,38.687
2018/02/01,80.087
2018/02/02,24.315
2018/02/03,-39.873
2018/02/04,-147.268
2018/02/05,-60.508
2018/02/06,3.763
2018/02/07,12.808
2018/02/08,-36.994
2018/02/09,-32.584
2018/02/10,-34.605
2018/02/11,-31.665
2018/02/12,-26.311
2018/02/13,-7.541
2018/02/14,35.624
2018/02/15,31.621
2018/02/16,9.501
2018/02/17,-35.016
2018/02/18,-29.366
2018/02/19,-24.922
2018/02/20,-6.986
2018/02/21,-10.287
2018/02/22,-0.547
2018/02/23,4.892
2018/02/24,-6.956
2018/02/25,-6.648
2018/02/26,1.845
2018/02/27,8.795
2018/02/28,17.671
2018/03/01,0.916
2018/03/02,-7.931
2018/03/03,-17.886
2018/03/04,-9.019
2018/03/05,5.608
2018/03/06,11.217
2018/03/07,40.416
2018/03/08,0.165
2018/03/09,2.283
2018/03/10,-35.135
2018/03/11,-6.636
2018/03/12,-10.403
2018/03/13,-5.515
2018/03/14,6.608
2018/03/15,2.202
2018/03/16,0.027
2018/03/17,-6.315
2018/03/18,-5.166
2018/03/19,2.932
2018/03/20,-0.021
2018/03/21,0.315
2018/03/22,2.249
2018/03/23,4.972
2018/03/24,12.599
2018/03/25,-2.873
2018/03/26,-0.245
2018/03/27,-9.304
2018/03/28,1
2018/03/29,5.041
2018/03/30,-0.002
2018/03/31,-3.26
2018/04/01,-9.658
2018/04/02,-3.476
2018/04/03,0.048
2018/04/04,-0.343
2018/04/05,-0.355
2018/04/06,-0.372
2018/04/07,0.038
2018/04/08,0.001
2018/04/09,0.172
2018/04/10,0.448
2018/04/11,0
2018/04/12,-0.108
2018/04/13,-0.303
2018/04/14,-0.032
2018/04/15,-0.056
2018/04/16,0.033
2018/04/17,0.02
2018/04/18,0.004
2018/04/19,-0.256
2018/04/20,-0.02
2018/04/21,0.017
2018/04/22,0.093
2018/04/23,0.333
2018/04/24,0.084
2018/04/25,-0.035
2018/04/26,-0.333
2018/04/27,-0.145
2018/04/28,-0.058
2018/04/29,0
2018/04/30,0.545
2018/05/01,0.269
2018/05/02,0.538
2018/05/03,0.313
2018/05/04,94.929
2018/05/05,0.417
2018/05/06,1.372
2018/05/07,-95.066
2018/05/08,-0.88
2018/05/09,-2.156
2018/05/10,-0.133
2018/05/11,0.219
2018/05/12,-0.074
2018/05/13,0.056
2018/05/14,1.862
2018/05/15,0.376
2018/05/16,0.21
2018/05/17,-1.736
2018/05/18,0.221
2018/05/19,-0.266
2018/05/20,-0.42
2018/05/21,-0.216
2018/05/22,0
2018/05/23,0.369
2018/05/24,-0.03
2018/05/25,0.005
