Date,transactionfees7rocUSD
2018/06/22,42.029
2018/06/23,-45.805
2018/06/24,43.904
2018/06/25,20.464
2018/06/26,-24.215
2018/06/27,-24.218
2018/06/28,-26.617
2018/06/29,-60.341
2018/06/30,486.847
2018/07/01,581.039
2018/07/02,1817
2018/07/03,1286
2018/07/04,1307
2018/07/05,954.11
2018/07/06,1434
2018/07/07,105.899
2018/07/08,-54.682
2018/07/09,-85.338
2018/07/10,-85.6
2018/07/11,-81.394
2018/07/12,-54.227
2018/07/13,-65.281
2018/07/14,-14.508
2018/07/15,226.21
2018/07/16,-52.52
2018/07/17,-27.159
2018/07/18,-44.57
2018/07/19,-73.343
2018/07/20,-67.854
2018/07/21,-82.491
2018/07/22,-92.753
2018/07/23,-12.031
2018/07/24,-18.549
2018/07/25,-15.788
2018/07/26,-7.94
2018/07/27,-43.849
2018/07/28,-22.267
2018/07/29,-21.823
2018/07/30,-38.496
2018/07/31,-25.648
2018/08/01,55.4
2018/08/02,-30.578
2018/08/03,-12.506
2018/08/04,-32.55
2018/08/05,-23.052
2018/08/06,19.452
2018/08/07,304.515
2018/08/08,348.772
2018/08/09,831.268
2018/08/10,371.265
2018/08/11,7.124
2018/08/12,19.613
2018/08/13,-5.999
2018/08/14,-73.119
2018/08/15,-85.981
2018/08/16,-87.283
2018/08/17,8.292
2018/08/18,-13.263
2018/08/19,7.529
2018/08/20,-23.705
2018/08/21,-24.295
2018/08/22,61.19
2018/08/23,29.771
2018/08/24,-48.791
2018/08/25,-24.252
2018/08/26,132.208
2018/08/27,-9.752
2018/08/28,3.13
2018/08/29,-32.667
2018/08/30,-23.285
2018/08/31,-55.456
2018/09/01,-1.237
2018/09/02,-65.217
2018/09/03,6.204
2018/09/04,25.511
2018/09/05,-46.019
2018/09/06,-6.51
2018/09/07,-11.063
2018/09/08,-1.072
2018/09/09,-4.196
2018/09/10,-8.512
2018/09/11,-22.162
2018/09/12,4.699
2018/09/13,-3.221
2018/09/14,-16.166
2018/09/15,11.234
2018/09/16,16.555
2018/09/17,8.644
2018/09/18,26.307
2018/09/19,79.891
2018/09/20,10.118
2018/09/21,76.644
2018/09/22,22.226
2018/09/23,8.756
2018/09/24,96.764
2018/09/25,-3.652
2018/09/26,-19.135
2018/09/27,18.308
2018/09/28,-2.453
2018/09/29,60.987
2018/09/30,32.466
2018/10/01,-11.395
2018/10/02,41.765
2018/10/03,-24.955
2018/10/04,-28.656
2018/10/05,-42.523
2018/10/06,-68.162
2018/10/07,-44.226
2018/10/08,-38.972
2018/10/09,-45.273
2018/10/10,11.751
