Date,size90wma
2018/08/12,22186
2018/08/13,22163
2018/08/14,22139
2018/08/15,22069
2018/08/16,22056
2018/08/17,22005
2018/08/18,21998
2018/08/19,21981
2018/08/20,22033
2018/08/21,22087
2018/08/22,22089
2018/08/23,22123
2018/08/24,22126
2018/08/25,22175
2018/08/26,22207
2018/08/27,22254
2018/08/28,22326
2018/08/29,22366
2018/08/30,22388
2018/08/31,22376
2018/09/01,22400
2018/09/02,22409
2018/09/03,22462
2018/09/04,22473
2018/09/05,22536
2018/09/06,22556
2018/09/07,22611
2018/09/08,22669
2018/09/09,22659
2018/09/10,22680
2018/09/11,22675
2018/09/12,22710
2018/09/13,22743
2018/09/14,22826
2018/09/15,22898
2018/09/16,22999
2018/09/17,23070
2018/09/18,23147
2018/09/19,23089
2018/09/20,23124
2018/09/21,23204
2018/09/22,23255
2018/09/23,23321
2018/09/24,23451
2018/09/25,23570
2018/09/26,23722
2018/09/27,23866
2018/09/28,23978
2018/09/29,23921
2018/09/30,23939
2018/10/01,23972
2018/10/02,23994
2018/10/03,23956
2018/10/04,23945
2018/10/05,23894
2018/10/06,23771
2018/10/07,23600
2018/10/08,23468
2018/10/09,23363
2018/10/10,23229
2018/10/11,23125
2018/10/12,23066
2018/10/13,22943
2018/10/14,22776
2018/10/15,22661
2018/10/16,22550
2018/10/17,22442
2018/10/18,22337
2018/10/19,22249
2018/10/20,22099
2018/10/21,21960
2018/10/22,21897
2018/10/23,21793
2018/10/24,21758
2018/10/25,21749
2018/10/26,21703
2018/10/27,21548
2018/10/28,21403
2018/10/29,21350
2018/10/30,21285
2018/10/31,21195
2018/11/01,21112
2018/11/02,21009
2018/11/03,20877
2018/11/04,20748
2018/11/05,20658
2018/11/06,20598
2018/11/07,20514
2018/11/08,20441
2018/11/09,20349
2018/11/10,20233
2018/11/11,20134
2018/11/12,20065
2018/11/13,19981
2018/11/14,19923
2018/11/15,19839
2018/11/16,19744
2018/11/17,19615
2018/11/18,19470
2018/11/19,19422
2018/11/20,19393
2018/11/21,19324
2018/11/22,19254
2018/11/23,19182
2018/11/24,19066
2018/11/25,18973
2018/11/26,18898
2018/11/27,18839
2018/11/28,18826
2018/11/29,18768
2018/11/30,18729
2018/12/01,18639
2018/12/02,18529
2018/12/03,18482
2018/12/04,18435
2018/12/05,18411
2018/12/06,18393
2018/12/07,18360
2018/12/08,18305
2018/12/09,18241
2018/12/10,18207
2018/12/11,18164
2018/12/12,18100
2018/12/13,18059
2018/12/14,18043
2018/12/15,17987
2018/12/16,17913
2018/12/17,17908
2018/12/18,17922
2018/12/19,17936
2018/12/20,17949
2018/12/21,17966
2018/12/22,17917
2018/12/23,17885
2018/12/24,17894
2018/12/25,17849
2018/12/26,17852
2018/12/27,17837
2018/12/28,17832
2018/12/29,17806
2018/12/30,17730
2018/12/31,17699
2019/01/01,17608
2019/01/02,17616
2019/01/03,17653
2019/01/04,17679
2019/01/05,17672
2019/01/06,17631
2019/01/07,17642
2019/01/08,17647
2019/01/09,17650
2019/01/10,17682
2019/01/11,17704
2019/01/12,17665
2019/01/13,17623
2019/01/14,17639
2019/01/15,17647
2019/01/16,17654
2019/01/17,17658
2019/01/18,17659
2019/01/19,17662
2019/01/20,17664
2019/01/21,17744
2019/01/22,17853
2019/01/23,17917
2019/01/24,17962
2019/01/25,17974
2019/01/26,17966
2019/01/27,17976
2019/01/28,18058
2019/01/29,18152
2019/01/30,18233
2019/01/31,18296
2019/02/01,18349
2019/02/02,18338
2019/02/03,18306
2019/02/04,18269
2019/02/05,18238
2019/02/06,18217
2019/02/07,18205
2019/02/08,18228
2019/02/09,18209
2019/02/10,18222
2019/02/11,18282
2019/02/12,18343
2019/02/13,18460
2019/02/14,18574
2019/02/15,18674
2019/02/16,18746
2019/02/17,18830
2019/02/18,18956
2019/02/19,19091
2019/02/20,19229
2019/02/21,19375
2019/02/22,19514
2019/02/23,19581
2019/02/24,19704
2019/02/25,19875
2019/02/26,20035
2019/02/27,20172
2019/02/28,20303
2019/03/01,20297
2019/03/02,20236
2019/03/03,20149
2019/03/04,20162
2019/03/05,20150
2019/03/06,20116
2019/03/07,20070
2019/03/08,20060
2019/03/09,20023
2019/03/10,19931
2019/03/11,19883
