Date,transactionvalue3trxUSD
2018/08/21,-4.815
2018/08/22,0.96
2018/08/23,1.103
2018/08/24,0.234
2018/08/25,-2.936
2018/08/26,-5.607
2018/08/27,-2.015
2018/08/28,0.863
2018/08/29,5.175
2018/08/30,3.552
2018/08/31,2.63
2018/09/01,-1.964
2018/09/02,-6.057
2018/09/03,-0.098
2018/09/04,16.29
2018/09/05,13.929
2018/09/06,10.912
2018/09/07,5.412
2018/09/08,0.02
2018/09/09,-3.487
2018/09/10,-3.437
2018/09/11,-2.68
2018/09/12,2.533
2018/09/13,0.706
2018/09/14,-0.402
2018/09/15,-3.931
2018/09/16,-6.817
2018/09/17,-5.179
2018/09/18,-3.133
2018/09/19,-3.252
2018/09/20,-0.532
2018/09/21,8.684
2018/09/22,5.24
2018/09/23,0.463
2018/09/24,1.053
2018/09/25,-0.422
2018/09/26,-0.966
2018/09/27,-2.219
2018/09/28,-2.087
2018/09/29,-1.885
2018/09/30,-2.963
2018/10/01,-4.187
2018/10/02,-6.054
2018/10/03,-4.435
2018/10/04,-2.334
2018/10/05,-2.53
2018/10/06,-5.584
2018/10/07,-6.505
2018/10/08,-0.534
2018/10/09,1.874
2018/10/10,3.3
2018/10/11,13.09
2018/10/12,7.929
2018/10/13,-1.43
2018/10/14,-6.135
2018/10/15,7.634
2018/10/16,7.409
2018/10/17,2.623
2018/10/18,2.254
2018/10/19,-2.426
2018/10/20,-5.321
2018/10/21,-1.886
2018/10/22,-3.046
2018/10/23,-2.897
2018/10/24,-2.231
2018/10/25,2.322
2018/10/26,1.032
2018/10/27,-4.676
2018/10/28,-7.854
2018/10/29,-3.597
2018/10/30,-2.02
2018/10/31,-0.31
2018/11/01,-0.301
2018/11/02,2.721
2018/11/03,-1.387
2018/11/04,-0.292
2018/11/05,6.183
2018/11/06,5.035
2018/11/07,6.217
2018/11/08,3.078
2018/11/09,0.227
2018/11/10,-4.031
2018/11/11,-6.709
2018/11/12,-2.481
2018/11/13,0.174
2018/11/14,8.853
2018/11/15,11.607
2018/11/16,5.386
2018/11/17,-2.752
2018/11/18,-3.427
2018/11/19,7.009
2018/11/20,12.242
2018/11/21,6.266
2018/11/22,-1.767
2018/11/23,-5.181
2018/11/24,-7.564
2018/11/25,-3.946
2018/11/26,-2.713
2018/11/27,-4.708
2018/11/28,-4.079
2018/11/29,-0.284
2018/11/30,49.25
2018/12/01,50.327
2018/12/02,8.444
2018/12/03,-7.984
2018/12/04,-15.334
2018/12/05,-17.506
2018/12/06,-15.45
2018/12/07,-10.359
2018/12/08,-10.242
2018/12/09,-10.452
2018/12/10,-10.147
2018/12/11,-8.689
2018/12/12,-7.58
2018/12/13,-4.283
2018/12/14,-3.349
2018/12/15,-6.42
2018/12/16,-7.537
2018/12/17,0.707
2018/12/18,6.416
2018/12/19,13.636
2018/12/20,15.151
2018/12/21,13.624
2018/12/22,3.023
2018/12/23,1.585
2018/12/24,5.985
2018/12/25,1.383
2018/12/26,-3.424
2018/12/27,-3.072
2018/12/28,-1.74
2018/12/29,5.398
2018/12/30,-0.175
2018/12/31,-3.178
2019/01/01,-4.958
2019/01/02,-1.523
2019/01/03,0.054
2019/01/04,9.177
2019/01/05,16.739
2019/01/06,7.725
2019/01/07,1.158
2019/01/08,-3.385
2019/01/09,-5.858
2019/01/10,-4.097
2019/01/11,0.844
2019/01/12,-4.587
2019/01/13,-7.82
2019/01/14,-3.43
2019/01/15,-2.689
2019/01/16,-0.99
2019/01/17,-2.517
2019/01/18,-5.726
2019/01/19,-8.609
2019/01/20,-8.232
2019/01/21,-7.148
2019/01/22,-6.018
2019/01/23,-2.33
2019/01/24,3.207
2019/01/25,3.231
2019/01/26,-1.578
2019/01/27,-1.037
2019/01/28,5.092
2019/01/29,2.601
2019/01/30,1.063
2019/01/31,1.203
2019/02/01,-0.681
2019/02/02,-5.227
2019/02/03,-6.424
2019/02/04,-8.002
2019/02/05,-8.577
2019/02/06,-1.823
2019/02/07,0.565
2019/02/08,6.516
2019/02/09,2.631
2019/02/10,3.484
2019/02/11,6.777
2019/02/12,3.949
2019/02/13,2.264
2019/02/14,0.67
2019/02/15,-0.64
2019/02/16,-4.647
2019/02/17,-0.658
2019/02/18,12.707
2019/02/19,15.088
2019/02/20,8.724
2019/02/21,3.288
2019/02/22,0.657
2019/02/23,-2.507
2019/02/24,3.137
2019/02/25,8.127
2019/02/26,0.646
2019/02/27,0.877
2019/02/28,-0.938
2019/03/01,-4.499
2019/03/02,-7.896
2019/03/03,-7.409
2019/03/04,-4.477
2019/03/05,-1.992
2019/03/06,-0.267
2019/03/07,0.267
2019/03/08,2.142
2019/03/09,-0.369
2019/03/10,-1.295
2019/03/11,1.855
2019/03/12,2.264
2019/03/13,-0.097
2019/03/14,-0.423
2019/03/15,-0.096
2019/03/16,0.293
2019/03/17,-0.663
2019/03/18,1.969
2019/03/19,-1.558
2019/03/20,1.317
2019/03/21,1.509
2019/03/22,-1.345
2019/03/23,1.067
2019/03/24,-1.43
2019/03/25,0.505
2019/03/26,0.67
2019/03/27,-0.411
2019/03/28,-0.993
2019/03/29,0.283
2019/03/30,0.461
2019/03/31,-1.182
2019/04/01,-1.35
2019/04/02,6.675
2019/04/03,12.829
2019/04/04,7.699
2019/04/05,3.701
2019/04/06,-1.28
2019/04/07,-0.975
2019/04/08,5.683
2019/04/09,6.54
2019/04/10,2.964
2019/04/11,-0.81
2019/04/12,-3.963
2019/04/13,-8.142
2019/04/14,-8.245
2019/04/15,-3.651
2019/04/16,-2.487
2019/04/17,-2.26
2019/04/18,0.259
2019/04/19,0.176
