Date,mediantransactionvalue90varUSD
2018/10/12,10.003
2018/10/13,9.92
2018/10/14,9.92
2018/10/15,9.919
2018/10/16,9.918
2018/10/17,9.918
2018/10/18,9.918
2018/10/19,9.918
2018/10/20,9.918
2018/10/21,9.918
2018/10/22,9.918
2018/10/23,9.917
2018/10/24,9.909
2018/10/25,9.905
2018/10/26,9.901
2018/10/27,9.901
2018/10/28,9.9
2018/10/29,9.9
2018/10/30,9.9
2018/10/31,9.9
2018/11/01,9.9
2018/11/02,9.9
2018/11/03,9.9
2018/11/04,9.9
2018/11/05,9.88
2018/11/06,4.678
2018/11/07,1.278
2018/11/08,0.68
2018/11/09,0.679
2018/11/10,0.679
2018/11/11,0.679
2018/11/12,0.679
2018/11/13,0.679
2018/11/14,0.678
2018/11/15,0.247
2018/11/16,0.247
2018/11/17,0.247
2018/11/18,0.247
2018/11/19,0.252
2018/11/20,0.251
2018/11/21,0.251
2018/11/22,0.252
2018/11/23,0.252
2018/11/24,0.253
2018/11/25,0.252
2018/11/26,0.253
2018/11/27,0.254
2018/11/28,0.254
2018/11/29,0.254
2018/11/30,0.254
2018/12/01,0.254
2018/12/02,0.254
2018/12/03,0.255
2018/12/04,0.255
2018/12/05,0.229
2018/12/06,0.23
2018/12/07,0.229
2018/12/08,0.229
2018/12/09,0.23
2018/12/10,0.23
2018/12/11,0.23
2018/12/12,0.231
2018/12/13,0.231
2018/12/14,0.231
2018/12/15,0.232
2018/12/16,0.232
2018/12/17,0.233
2018/12/18,0.229
2018/12/19,0.222
2018/12/20,0.146
2018/12/21,0.143
2018/12/22,0.143
2018/12/23,0.125
2018/12/24,0.123
2018/12/25,0.12
2018/12/26,0.098
2018/12/27,0.074
2018/12/28,0.049
2018/12/29,0.041
2018/12/30,0.021
2018/12/31,0.021
2019/01/01,0.021
2019/01/02,0.021
2019/01/03,0.021
2019/01/04,0.021
2019/01/05,0.021
2019/01/06,0.021
2019/01/07,0.021
2019/01/08,0.021
2019/01/09,0.021
2019/01/10,0.021
2019/01/11,0.021
2019/01/12,0.021
2019/01/13,0.021
2019/01/14,0.021
2019/01/15,0.021
2019/01/16,0.021
2019/01/17,0.021
2019/01/18,0.021
2019/01/19,0.021
2019/01/20,0.021
2019/01/21,0.021
2019/01/22,0.016
2019/01/23,0.016
2019/01/24,0.016
2019/01/25,0.016
2019/01/26,0.016
2019/01/27,0.016
2019/01/28,0.016
2019/01/29,0.016
2019/01/30,0.016
2019/01/31,0.016
2019/02/01,0.016
2019/02/02,0.016
2019/02/03,0.016
2019/02/04,0.016
2019/02/05,0.016
2019/02/06,0.016
2019/02/07,0.015
2019/02/08,0.015
2019/02/09,0.015
2019/02/10,0.015
2019/02/11,0.015
2019/02/12,0.015
2019/02/13,0.012
2019/02/14,0.012
2019/02/15,0.012
2019/02/16,0.012
2019/02/17,0.002
2019/02/18,0.001
2019/02/19,0.001
2019/02/20,0.001
2019/02/21,0.001
2019/02/22,0.001
2019/02/23,0.001
2019/02/24,0.001
2019/02/25,0.001
2019/02/26,0.001
2019/02/27,0.001
2019/02/28,0.001
2019/03/01,0.001
2019/03/02,0.001
2019/03/03,0.001
2019/03/04,0.001
2019/03/05,0.001
2019/03/06,0.001
2019/03/07,0.001
2019/03/08,0.001
2019/03/09,0.001
2019/03/10,0.001
2019/03/11,0.001
2019/03/12,0.001
2019/03/13,0.001
2019/03/14,0.001
2019/03/15,0.001
2019/03/16,0.001
2019/03/17,0.001
2019/03/18,0.001
2019/03/19,0.001
2019/03/20,0.001
2019/03/21,0.001
2019/03/22,0.001
2019/03/23,0.001
2019/03/24,0.001
2019/03/25,0.001
2019/03/26,0.001
2019/03/27,0.001
2019/03/28,0.001
2019/03/29,0.001
2019/03/30,0.001
2019/03/31,0.001
2019/04/01,0.001
2019/04/02,0.001
2019/04/03,0.001
2019/04/04,0.001
2019/04/05,0.001
2019/04/06,0.001
2019/04/07,0.001
2019/04/08,0.001
2019/04/09,0.001
2019/04/10,0.001
2019/04/11,0.001
2019/04/12,0.001
2019/04/13,0.001
2019/04/14,0
2019/04/15,0
2019/04/16,0
2019/04/17,0
2019/04/18,0
2019/04/19,0
2019/04/20,0
2019/04/21,0
2019/04/22,0
2019/04/23,0
2019/04/24,0
2019/04/25,0
2019/04/26,0
2019/04/27,0
2019/04/28,0
2019/04/29,0
2019/04/30,0
2019/05/01,0
2019/05/02,0
2019/05/03,0
2019/05/04,0
2019/05/05,0
2019/05/06,0
2019/05/07,0
2019/05/08,0
2019/05/09,0
2019/05/10,0
2019/05/11,0
2019/05/12,0
2019/05/13,0
2019/05/14,0
2019/05/15,0
2019/05/16,0
2019/05/17,0
2019/05/18,0
2019/05/19,0
2019/05/20,0
2019/05/21,0
2019/05/22,0
2019/05/23,0
2019/05/24,0
2019/05/25,0
2019/05/26,0
2019/05/27,0
2019/05/28,0
2019/05/29,0
2019/05/30,0
2019/05/31,0
2019/06/01,0
2019/06/02,0
2019/06/03,0
2019/06/04,0
2019/06/05,0
2019/06/06,0
2019/06/07,0
2019/06/08,0
2019/06/09,0
2019/06/10,0
2019/06/11,0
2019/06/12,0.001
2019/06/13,0.001
2019/06/14,0.001
2019/06/15,0.001
2019/06/16,0.001
2019/06/17,0.001
2019/06/18,0.001
2019/06/19,0.001
2019/06/20,0.001
2019/06/21,0.001
2019/06/22,0.001
2019/06/23,0.001
2019/06/24,0.001
2019/06/25,0.001
2019/06/26,0.001
2019/06/27,0.001
2019/06/28,0.001
2019/06/29,0.001
2019/06/30,0.001
2019/07/01,0.001
2019/07/02,0.001
2019/07/03,0.001
2019/07/04,0.001
2019/07/05,0.001
2019/07/06,0.001
2019/07/07,0.001
2019/07/08,0.001
2019/07/09,0.001
2019/07/10,0.001
2019/07/11,0.001
2019/07/12,0.001
2019/07/13,0.001
2019/07/14,0.001
2019/07/15,0.001
2019/07/16,0.001
2019/07/17,0.001
2019/07/18,0.001
2019/07/19,0.001
