Date,activeaddresses30trx
2017/11/14,0.058
2017/11/15,0.098
2017/11/16,0.138
2017/11/17,0.182
2017/11/18,0.221
2017/11/19,0.258
2017/11/20,0.296
2017/11/21,0.336
2017/11/22,0.378
2017/11/23,0.42
2017/11/24,0.459
2017/11/25,0.497
2017/11/26,0.531
2017/11/27,0.571
2017/11/28,0.618
2017/11/29,0.672
2017/11/30,0.729
2017/12/01,0.783
2017/12/02,0.834
2017/12/03,0.885
2017/12/04,0.937
2017/12/05,0.985
2017/12/06,1.049
2017/12/07,1.103
2017/12/08,1.155
2017/12/09,1.2
2017/12/10,1.237
2017/12/11,1.276
2017/12/12,1.321
2017/12/13,1.375
2017/12/14,1.439
2017/12/15,1.502
2017/12/16,1.561
2017/12/17,1.614
2017/12/18,1.672
2017/12/19,1.739
2017/12/20,1.807
2017/12/21,1.881
2017/12/22,1.956
2017/12/23,2.014
2017/12/24,2.044
2017/12/25,2.05
2017/12/26,2.043
2017/12/27,2.03
2017/12/28,2.014
2017/12/29,2.006
2017/12/30,2.01
2017/12/31,2.003
2018/01/01,1.987
2018/01/02,1.978
2018/01/03,1.981
2018/01/04,2.003
2018/01/05,2.031
2018/01/06,2.057
2018/01/07,2.074
2018/01/08,2.087
2018/01/09,2.099
2018/01/10,2.105
2018/01/11,2.105
2018/01/12,2.095
2018/01/13,2.077
2018/01/14,2.049
2018/01/15,2.02
2018/01/16,1.992
2018/01/17,1.966
2018/01/18,1.937
2018/01/19,1.895
2018/01/20,1.839
2018/01/21,1.777
2018/01/22,1.71
2018/01/23,1.637
2018/01/24,1.558
2018/01/25,1.469
2018/01/26,1.382
2018/01/27,1.293
2018/01/28,1.204
2018/01/29,1.118
2018/01/30,1.035
2018/01/31,0.955
2018/02/01,0.882
2018/02/02,0.814
2018/02/03,0.745
2018/02/04,0.675
2018/02/05,0.608
2018/02/06,0.545
2018/02/07,0.483
2018/02/08,0.417
2018/02/09,0.352
2018/02/10,0.292
2018/02/11,0.232
2018/02/12,0.176
2018/02/13,0.12
2018/02/14,0.067
2018/02/15,0.015
2018/02/16,-0.036
2018/02/17,-0.087
2018/02/18,-0.136
2018/02/19,-0.181
2018/02/20,-0.22
2018/02/21,-0.256
2018/02/22,-0.289
2018/02/23,-0.323
2018/02/24,-0.359
2018/02/25,-0.395
2018/02/26,-0.428
2018/02/27,-0.46
2018/02/28,-0.489
2018/03/01,-0.516
2018/03/02,-0.542
2018/03/03,-0.569
2018/03/04,-0.597
2018/03/05,-0.623
2018/03/06,-0.645
2018/03/07,-0.661
2018/03/08,-0.676
2018/03/09,-0.691
2018/03/10,-0.707
2018/03/11,-0.725
2018/03/12,-0.741
2018/03/13,-0.757
2018/03/14,-0.769
2018/03/15,-0.779
2018/03/16,-0.789
2018/03/17,-0.8
2018/03/18,-0.81
2018/03/19,-0.816
2018/03/20,-0.822
2018/03/21,-0.826
2018/03/22,-0.829
2018/03/23,-0.827
2018/03/24,-0.825
2018/03/25,-0.826
2018/03/26,-0.827
2018/03/27,-0.828
2018/03/28,-0.83
2018/03/29,-0.831
2018/03/30,-0.831
2018/03/31,-0.832
2018/04/01,-0.835
2018/04/02,-0.837
2018/04/03,-0.837
2018/04/04,-0.836
2018/04/05,-0.83
2018/04/06,-0.823
2018/04/07,-0.816
2018/04/08,-0.809
2018/04/09,-0.799
2018/04/10,-0.789
2018/04/11,-0.779
2018/04/12,-0.765
2018/04/13,-0.747
2018/04/14,-0.731
2018/04/15,-0.714
2018/04/16,-0.697
2018/04/17,-0.677
2018/04/18,-0.657
2018/04/19,-0.634
2018/04/20,-0.608
2018/04/21,-0.578
2018/04/22,-0.544
2018/04/23,-0.506
2018/04/24,-0.463
2018/04/25,-0.421
2018/04/26,-0.381
2018/04/27,-0.343
2018/04/28,-0.307
2018/04/29,-0.276
2018/04/30,-0.246
2018/05/01,-0.219
2018/05/02,-0.192
2018/05/03,-0.162
2018/05/04,-0.116
2018/05/05,-0.072
2018/05/06,-0.033
2018/05/07,0.004
2018/05/08,0.041
2018/05/09,0.077
2018/05/10,0.112
2018/05/11,0.145
2018/05/12,0.177
2018/05/13,0.206
2018/05/14,0.233
2018/05/15,0.258
2018/05/16,0.282
2018/05/17,0.307
2018/05/18,0.33
2018/05/19,0.356
2018/05/20,0.378
2018/05/21,0.396
2018/05/22,0.412
2018/05/23,0.427
2018/05/24,0.44
2018/05/25,0.45
2018/05/26,0.456
2018/05/27,0.46
2018/05/28,0.466
2018/05/29,0.471
2018/05/30,0.474
2018/05/31,0.474
2018/06/01,0.47
2018/06/02,0.464
2018/06/03,0.457
2018/06/04,0.449
2018/06/05,0.438
2018/06/06,0.424
2018/06/07,0.41
2018/06/08,0.392
2018/06/09,0.352
2018/06/10,0.288
2018/06/11,0.234
2018/06/12,0.185
2018/06/13,0.142
2018/06/14,0.104
2018/06/15,0.072
2018/06/16,0.039
2018/06/17,0.009
2018/06/18,-0.019
2018/06/19,-0.042
2018/06/20,-0.06
2018/06/21,-0.075
2018/06/22,-0.086
2018/06/23,-0.097
2018/06/24,-0.106
2018/06/25,-0.108
2018/06/26,-0.11
2018/06/27,-0.111
2018/06/28,-0.11
2018/06/29,-0.109
2018/06/30,-0.116
2018/07/01,-0.134
2018/07/02,-0.158
2018/07/03,-0.187
2018/07/04,-0.22
2018/07/05,-0.253
2018/07/06,-0.289
2018/07/07,-0.328
2018/07/08,-0.363
2018/07/09,-0.395
2018/07/10,-0.422
2018/07/11,-0.447
2018/07/12,-0.471
2018/07/13,-0.495
2018/07/14,-0.522
2018/07/15,-0.548
2018/07/16,-0.566
2018/07/17,-0.575
2018/07/18,-0.572
2018/07/19,-0.561
2018/07/20,-0.548
2018/07/21,-0.535
2018/07/22,-0.518
2018/07/23,-0.495
2018/07/24,-0.466
2018/07/25,-0.431
2018/07/26,-0.394
2018/07/27,-0.354
2018/07/28,-0.314
2018/07/29,-0.274
2018/07/30,-0.233
2018/07/31,-0.193
2018/08/01,-0.153
2018/08/02,-0.116
2018/08/03,-0.08
2018/08/04,-0.047
2018/08/05,-0.02
2018/08/06,0.004
2018/08/07,0.023
2018/08/08,0.034
2018/08/09,0.038
2018/08/10,0.014
2018/08/11,-0.032
2018/08/12,-0.097
2018/08/13,-0.147
2018/08/14,-0.187
2018/08/15,-0.218
2018/08/16,-0.24
2018/08/17,-0.258
2018/08/18,-0.272
2018/08/19,-0.284
2018/08/20,-0.291
2018/08/21,-0.296
2018/08/22,-0.3
2018/08/23,-0.302
2018/08/24,-0.303
2018/08/25,-0.304
2018/08/26,-0.302
2018/08/27,-0.297
2018/08/28,-0.291
2018/08/29,-0.287
2018/08/30,-0.284
2018/08/31,-0.282
2018/09/01,-0.276
2018/09/02,-0.268
2018/09/03,-0.256
2018/09/04,-0.245
2018/09/05,-0.233
2018/09/06,-0.222
2018/09/07,-0.212
2018/09/08,-0.204
2018/09/09,-0.198
2018/09/10,-0.194
2018/09/11,-0.192
2018/09/12,-0.193
2018/09/13,-0.194
2018/09/14,-0.199
2018/09/15,-0.208
2018/09/16,-0.221
2018/09/17,-0.234
2018/09/18,-0.248
2018/09/19,-0.264
2018/09/20,-0.28
2018/09/21,-0.294
2018/09/22,-0.31
2018/09/23,-0.326
2018/09/24,-0.344
2018/09/25,-0.359
2018/09/26,-0.375
2018/09/27,-0.39
2018/09/28,-0.404
2018/09/29,-0.419
2018/09/30,-0.432
2018/10/01,-0.445
2018/10/02,-0.457
2018/10/03,-0.465
2018/10/04,-0.468
2018/10/05,-0.465
2018/10/06,-0.455
2018/10/07,-0.446
2018/10/08,-0.436
2018/10/09,-0.424
2018/10/10,-0.413
2018/10/11,-0.401
2018/10/12,-0.389
2018/10/13,-0.377
2018/10/14,-0.365
2018/10/15,-0.351
2018/10/16,-0.333
2018/10/17,-0.314
2018/10/18,-0.294
2018/10/19,-0.274
2018/10/20,-0.255
2018/10/21,-0.239
2018/10/22,-0.221
2018/10/23,-0.203
2018/10/24,-0.185
2018/10/25,-0.169
2018/10/26,-0.153
2018/10/27,-0.14
2018/10/28,-0.129
2018/10/29,-0.115
2018/10/30,-0.099
2018/10/31,-0.082
2018/11/01,-0.067
2018/11/02,-0.055
2018/11/03,-0.049
2018/11/04,-0.046
2018/11/05,-0.042
2018/11/06,-0.038
2018/11/07,-0.037
2018/11/08,-0.037
2018/11/09,-0.037
2018/11/10,-0.039
2018/11/11,-0.04
2018/11/12,-0.04
2018/11/13,-0.04
2018/11/14,-0.039
2018/11/15,-0.039
2018/11/16,-0.039
2018/11/17,-0.042
2018/11/18,-0.049
2018/11/19,-0.051
2018/11/20,-0.049
2018/11/21,-0.049
2018/11/22,-0.05
2018/11/23,-0.053
2018/11/24,-0.059
2018/11/25,-0.066
2018/11/26,-0.073
2018/11/27,-0.081
2018/11/28,-0.087
2018/11/29,-0.094
2018/11/30,-0.099
2018/12/01,-0.107
2018/12/02,-0.117
2018/12/03,-0.127
2018/12/04,-0.137
2018/12/05,-0.145
2018/12/06,-0.152
2018/12/07,-0.156
2018/12/08,-0.156
2018/12/09,-0.157
2018/12/10,-0.155
2018/12/11,-0.155
2018/12/12,-0.155
2018/12/13,-0.156
2018/12/14,-0.157
2018/12/15,-0.158
2018/12/16,-0.156
2018/12/17,-0.154
2018/12/18,-0.152
2018/12/19,-0.149
2018/12/20,-0.144
2018/12/21,-0.139
2018/12/22,-0.138
2018/12/23,-0.138
2018/12/24,-0.135
2018/12/25,-0.133
2018/12/26,-0.131
2018/12/27,-0.129
2018/12/28,-0.125
2018/12/29,-0.121
2018/12/30,-0.119
2018/12/31,-0.118
2019/01/01,-0.12
2019/01/02,-0.121
2019/01/03,-0.118
2019/01/04,-0.116
2019/01/05,-0.116
2019/01/06,-0.117
2019/01/07,-0.116
2019/01/08,-0.113
2019/01/09,-0.107
2019/01/10,-0.101
2019/01/11,-0.095
2019/01/12,-0.095
2019/01/13,-0.098
2019/01/14,-0.096
2019/01/15,-0.094
2019/01/16,-0.093
2019/01/17,-0.093
2019/01/18,-0.094
2019/01/19,-0.098
2019/01/20,-0.104
2019/01/21,-0.11
2019/01/22,-0.117
2019/01/23,-0.123
2019/01/24,-0.129
2019/01/25,-0.134
2019/01/26,-0.141
2019/01/27,-0.148
2019/01/28,-0.15
2019/01/29,-0.151
2019/01/30,-0.152
2019/01/31,-0.154
2019/02/01,-0.156
2019/02/02,-0.162
2019/02/03,-0.173
2019/02/04,-0.188
2019/02/05,-0.206
2019/02/06,-0.226
2019/02/07,-0.247
2019/02/08,-0.267
2019/02/09,-0.288
2019/02/10,-0.311
2019/02/11,-0.332
2019/02/12,-0.351
2019/02/13,-0.368
2019/02/14,-0.381
2019/02/15,-0.391
2019/02/16,-0.4
2019/02/17,-0.409
2019/02/18,-0.411
2019/02/19,-0.408
2019/02/20,-0.403
2019/02/21,-0.398
2019/02/22,-0.392
2019/02/23,-0.385
2019/02/24,-0.378
2019/02/25,-0.368
2019/02/26,-0.356
2019/02/27,-0.343
2019/02/28,-0.328
2019/03/01,-0.31
2019/03/02,-0.293
2019/03/03,-0.279
2019/03/04,-0.261
2019/03/05,-0.241
2019/03/06,-0.22
2019/03/07,-0.198
2019/03/08,-0.175
2019/03/09,-0.152
2019/03/10,-0.134
2019/03/11,-0.117
2019/03/12,-0.1
2019/03/13,-0.081
2019/03/14,-0.063
2019/03/15,-0.046
2019/03/16,-0.032
2019/03/17,-0.021
2019/03/18,-0.008
2019/03/19,0.008
2019/03/20,0.027
2019/03/21,0.046
2019/03/22,0.064
2019/03/23,0.081
2019/03/24,0.094
2019/03/25,0.112
2019/03/26,0.133
2019/03/27,0.154
2019/03/28,0.177
2019/03/29,0.199
2019/03/30,0.22
2019/03/31,0.239
2019/04/01,0.262
2019/04/02,0.293
2019/04/03,0.326
2019/04/04,0.358
2019/04/05,0.384
2019/04/06,0.404
2019/04/07,0.419
2019/04/08,0.434
2019/04/09,0.449
2019/04/10,0.462
2019/04/11,0.476
2019/04/12,0.492
2019/04/13,0.503
2019/04/14,0.505
2019/04/15,0.505
2019/04/16,0.504
2019/04/17,0.502
2019/04/18,0.499
2019/04/19,0.498
2019/04/20,0.503
2019/04/21,0.508
2019/04/22,0.514
2019/04/23,0.521
2019/04/24,0.527
2019/04/25,0.529
2019/04/26,0.528
2019/04/27,0.519
2019/04/28,0.505
2019/04/29,0.49
2019/04/30,0.475
2019/05/01,0.463
2019/05/02,0.447
2019/05/03,0.431
