Date,size90roc
2019/01/12,4.429
2019/01/13,-10.142
2019/01/14,4.562
2019/01/15,1.737
2019/01/16,1.345
2019/01/17,-3.473
2019/01/18,12.691
2019/01/19,10.84
2019/01/20,-8.886
2019/01/21,21.23
2019/01/22,9.89
2019/01/23,-5.337
2019/01/24,-1.352
2019/01/25,20.351
2019/01/26,11.863
2019/01/27,-7.144
2019/01/28,13.07
2019/01/29,23.709
2019/01/30,19.253
2019/01/31,21.183
2019/02/01,28.927
2019/02/02,10.14
2019/02/03,-5.492
2019/02/04,-13.59
2019/02/05,-6.713
2019/02/06,-7.377
2019/02/07,-0.214
2019/02/08,15.919
2019/02/09,0.258
2019/02/10,0.97
2019/02/11,16.937
2019/02/12,10.579
2019/02/13,32.426
2019/02/14,36.28
2019/02/15,46.756
2019/02/16,46.542
2019/02/17,16.829
2019/02/18,22.018
2019/02/19,36.921
2019/02/20,39.168
2019/02/21,42.798
2019/02/22,59.856
2019/02/23,32.287
2019/02/24,41.381
2019/02/25,49.035
2019/02/26,32.024
2019/02/27,42.244
2019/02/28,34.735
2019/03/01,16.486
2019/03/02,7.698
2019/03/03,-14.898
2019/03/04,10.187
2019/03/05,-1.178
2019/03/06,-7.508
2019/03/07,-6.996
2019/03/08,8.527
2019/03/09,3.992
2019/03/10,-17.318
2019/03/11,-3.748
2019/03/12,6
2019/03/13,8.461
2019/03/14,-1.015
2019/03/15,6.703
2019/03/16,2.455
2019/03/17,-18.835
2019/03/18,-1.474
2019/03/19,7.844
2019/03/20,0.47
2019/03/21,2.872
2019/03/22,19.311
2019/03/23,0.364
2019/03/24,-11.083
2019/03/25,21.676
2019/03/26,10.273
2019/03/27,14.974
2019/03/28,10.102
2019/03/29,23.836
2019/03/30,42.419
2019/03/31,20.918
2019/04/01,49.946
2019/04/02,27.238
2019/04/03,19.642
2019/04/04,15.473
2019/04/05,10.998
2019/04/06,7.311
2019/04/07,-3.145
2019/04/08,12.889
2019/04/09,9.82
2019/04/10,18.036
2019/04/11,29.099
2019/04/12,27.792
2019/04/13,11.416
2019/04/14,-7.857
2019/04/15,18.875
2019/04/16,25.989
2019/04/17,16.613
2019/04/18,19.497
2019/04/19,16.502
2019/04/20,13.105
2019/04/21,-2.281
2019/04/22,-6.993
2019/04/23,6.085
2019/04/24,0.841
2019/04/25,9.951
2019/04/26,14.919
2019/04/27,-10.16
2019/04/28,-16.776
2019/04/29,-13.07
2019/04/30,-3.142
2019/05/01,-2.966
2019/05/02,18.075
2019/05/03,25.523
2019/05/04,11.24
2019/05/05,17.026
2019/05/06,49.57
2019/05/07,64.538
2019/05/08,40.884
2019/05/09,20.4
2019/05/10,33.587
2019/05/11,21.867
2019/05/12,4.027
2019/05/13,10.461
2019/05/14,3.604
2019/05/15,8.936
2019/05/16,16.693
2019/05/17,19.413
2019/05/18,3.749
2019/05/19,-9.153
