Date,difficulty14rsi
2019/01/05,64.722
2019/01/06,67.843
2019/01/07,68.11
2019/01/08,64.451
2019/01/09,66.524
2019/01/10,63.201
2019/01/11,64.349
2019/01/12,57.057
2019/01/13,55.383
2019/01/14,57.419
2019/01/15,62.452
2019/01/16,54.303
2019/01/17,50.763
2019/01/18,49.964
2019/01/19,55.365
2019/01/20,58.085
2019/01/21,67.775
2019/01/22,69.496
2019/01/23,58.349
2019/01/24,61.135
2019/01/25,61.529
2019/01/26,56.286
2019/01/27,55.511
2019/01/28,46.014
2019/01/29,37.665
2019/01/30,35.958
2019/01/31,40.49
2019/02/01,37.775
2019/02/02,35.589
2019/02/03,35.396
2019/02/04,36.03
2019/02/05,36.224
2019/02/06,35.389
2019/02/07,34.553
2019/02/08,38.537
2019/02/09,38.428
2019/02/10,65.852
2019/02/11,65.185
2019/02/12,67.326
2019/02/13,64.844
2019/02/14,61.05
2019/02/15,60.641
2019/02/16,62.321
2019/02/17,61.949
2019/02/18,62.693
2019/02/19,69.072
2019/02/20,69.203
2019/02/21,69.279
2019/02/22,66.477
2019/02/23,71.682
2019/02/24,70.749
2019/02/25,65.95
2019/02/26,66.609
2019/02/27,66.22
2019/02/28,60.913
2019/03/01,23.212
2019/03/02,21.403
2019/03/03,21.18
2019/03/04,20.821
2019/03/05,21.811
2019/03/06,22.451
2019/03/07,22.3
2019/03/08,24.219
2019/03/09,23.079
2019/03/10,23.168
2019/03/11,23.144
2019/03/12,22.3
2019/03/13,21.945
2019/03/14,23.157
2019/03/15,23.892
2019/03/16,27.716
2019/03/17,28.758
2019/03/18,27.875
2019/03/19,24.617
2019/03/20,31.262
2019/03/21,31.035
2019/03/22,29.984
2019/03/23,29.521
2019/03/24,31.294
2019/03/25,31.08
2019/03/26,28.025
2019/03/27,26.179
2019/03/28,28.338
2019/03/29,30.87
2019/03/30,26.275
2019/03/31,26.978
2019/04/01,39.289
2019/04/02,38.252
2019/04/03,37.633
2019/04/04,41.705
2019/04/05,41.947
2019/04/06,44.915
2019/04/07,42.76
2019/04/08,43.117
2019/04/09,46.914
2019/04/10,50.587
2019/04/11,52.723
2019/04/12,50.488
2019/04/13,53.168
2019/04/14,57.191
2019/04/15,56.214
2019/04/16,51.861
2019/04/17,46.902
2019/04/18,45.672
2019/04/19,50.046
2019/04/20,48.794
2019/04/21,49.34
2019/04/22,53.98
2019/04/23,52.276
2019/04/24,45.363
2019/04/25,44.9
2019/04/26,44.62
2019/04/27,52.815
2019/04/28,51.196
2019/04/29,54.633
2019/04/30,58.176
2019/05/01,56.302
2019/05/02,53.99
2019/05/03,51.667
2019/05/04,59.638
