Date,size3rsi
2018/04/28,53.127
2018/04/29,56.155
2018/04/30,80.162
2018/05/01,43.448
2018/05/02,63.372
2018/05/03,73.321
2018/05/04,85.327
2018/05/05,31.247
2018/05/06,21.619
2018/05/07,34.065
2018/05/08,47.753
2018/05/09,58.628
2018/05/10,80.063
2018/05/11,51.123
2018/05/12,35.161
2018/05/13,32.571
2018/05/14,68.617
2018/05/15,49.761
2018/05/16,48.905
2018/05/17,45.62
2018/05/18,46.991
2018/05/19,39.138
2018/05/20,20.033
2018/05/21,72.476
2018/05/22,63.723
2018/05/23,75.071
2018/05/24,54.982
2018/05/25,38.347
2018/05/26,14.837
2018/05/27,30.064
2018/05/28,67.575
2018/05/29,65.332
2018/05/30,68.671
2018/05/31,87.906
2018/06/01,41.842
2018/06/02,35.599
2018/06/03,46.349
2018/06/04,69.063
2018/06/05,54.277
2018/06/06,29.885
2018/06/07,30.132
2018/06/08,35.817
2018/06/09,26.932
2018/06/10,48.603
2018/06/11,44.166
2018/06/12,20.015
2018/06/13,71.812
2018/06/14,41.882
2018/06/15,24.101
2018/06/16,70.261
2018/06/17,27.463
2018/06/18,44.263
2018/06/19,62.406
2018/06/20,65.76
2018/06/21,44.74
2018/06/22,54.951
2018/06/23,26.016
2018/06/24,31.255
2018/06/25,68.746
2018/06/26,54.446
2018/06/27,60.869
2018/06/28,51.05
2018/06/29,40.469
2018/06/30,27.006
2018/07/01,38.274
2018/07/02,14.694
2018/07/03,52.038
2018/07/04,28.142
2018/07/05,54.136
2018/07/06,36.623
2018/07/07,42.617
2018/07/08,67.594
2018/07/09,67.528
2018/07/10,76.694
2018/07/11,50.291
2018/07/12,37.571
2018/07/13,31.451
2018/07/14,18.898
2018/07/15,13.047
2018/07/16,74.702
2018/07/17,75.525
2018/07/18,75.581
2018/07/19,77.106
2018/07/20,28.495
2018/07/21,16.007
2018/07/22,44.672
2018/07/23,67.768
2018/07/24,75.578
2018/07/25,73.988
2018/07/26,56.87
2018/07/27,40.883
2018/07/28,14.51
2018/07/29,49.595
2018/07/30,67.089
2018/07/31,67.684
2018/08/01,75.399
2018/08/02,71.434
2018/08/03,29.888
2018/08/04,20.703
2018/08/05,42.685
2018/08/06,61.652
2018/08/07,23.987
2018/08/08,12.471
2018/08/09,10.878
2018/08/10,50.828
2018/08/11,64.16
2018/08/12,56.893
2018/08/13,74.71
2018/08/14,72.823
2018/08/15,39.065
2018/08/16,67.064
2018/08/17,45.072
2018/08/18,64.373
2018/08/19,56.912
2018/08/20,79.389
2018/08/21,79.967
2018/08/22,42.446
2018/08/23,59.743
2018/08/24,41.407
2018/08/25,64.709
2018/08/26,53.33
2018/08/27,62.322
2018/08/28,74.549
2018/08/29,45.916
2018/08/30,33.875
2018/08/31,20.044
2018/09/01,51.362
2018/09/02,41.175
2018/09/03,68.073
2018/09/04,40.599
2018/09/05,65.753
2018/09/06,43.022
2018/09/07,60.375
2018/09/08,61.403
2018/09/09,27.145
2018/09/10,47.244
2018/09/11,34.858
2018/09/12,59.059
2018/09/13,57.496
2018/09/14,78.911
2018/09/15,67.6
2018/09/16,79.625
2018/09/17,52.673
2018/09/18,57.1
2018/09/19,13.108
2018/09/20,51.528
2018/09/21,63.122
2018/09/22,51.766
2018/09/23,58.535
2018/09/24,77.376
2018/09/25,69.653
2018/09/26,79.515
2018/09/27,73.328
2018/09/28,45.281
2018/09/29,10.995
2018/09/30,40.975
2018/10/01,46.848
2018/10/02,42.7
2018/10/03,24.644
2018/10/04,41.637
2018/10/05,27.838
2018/10/06,14.714
2018/10/07,9.929
2018/10/08,33.822
2018/10/09,48.875
2018/10/10,35.189
2018/10/11,53.572
2018/10/12,72.141
2018/10/13,39.005
2018/10/14,26.067
2018/10/15,52.614
2018/10/16,53.324
2018/10/17,55.141
2018/10/18,55.213
2018/10/19,71.468
2018/10/20,24.14
2018/10/21,32.835
2018/10/22,74.484
2018/10/23,48.809
2018/10/24,71.674
2018/10/25,77.624
2018/10/26,53.203
2018/10/27,23.019
2018/10/28,27.549
2018/10/29,63.893
2018/10/30,57.598
2018/10/31,44.259
2018/11/01,47.54
2018/11/02,34.68
2018/11/03,21.648
2018/11/04,24.329
2018/11/05,62.202
2018/11/06,76.335
2018/11/07,52.196
2018/11/08,61.82
2018/11/09,42.029
2018/11/10,26.645
2018/11/11,46.094
2018/11/12,68.896
2018/11/13,51.275
2018/11/14,69.626
2018/11/15,43.718
2018/11/16,34.791
2018/11/17,18.329
2018/11/18,13.426
2018/11/19,72.149
2018/11/20,76.35
2018/11/21,49.548
2018/11/22,47.313
2018/11/23,44.852
2018/11/24,20.267
2018/11/25,41.357
2018/11/26,55.959
2018/11/27,66.792
2018/11/28,84.383
2018/11/29,46.054
2018/11/30,57.548
2018/12/01,29.989
2018/12/02,23.141
2018/12/03,60.735
2018/12/04,59.932
2018/12/05,71.229
2018/12/06,73.509
2018/12/07,50.741
2018/12/08,30.569
2018/12/09,24.52
2018/12/10,59.781
2018/12/11,47.79
2018/12/12,28.674
2018/12/13,54.074
2018/12/14,70.78
2018/12/15,35.541
2018/12/16,26.043
2018/12/17,68.054
2018/12/18,73.849
2018/12/19,72.771
2018/12/20,71.281
2018/12/21,72.791
2018/12/22,17.044
2018/12/23,33.958
2018/12/24,63.114
2018/12/25,31.903
2018/12/26,56.979
2018/12/27,45.519
2018/12/28,51.02
2018/12/29,35.564
2018/12/30,17.051
2018/12/31,49.556
2019/01/01,26.762
2019/01/02,64.87
2019/01/03,71.048
2019/01/04,64.448
2019/01/05,44.517
2019/01/06,30.57
2019/01/07,60.049
2019/01/08,55.699
2019/01/09,54.652
2019/01/10,73.537
2019/01/11,59.933
2019/01/12,22.673
2019/01/13,21.791
2019/01/14,65.849
2019/01/15,58.784
2019/01/16,57.168
2019/01/17,53.579
2019/01/18,47.404
2019/01/19,53.438
2019/01/20,50.976
2019/01/21,94.412
2019/01/22,96.3
2019/01/23,55.055
2019/01/24,43.059
2019/01/25,27.304
2019/01/26,20.711
2019/01/27,41.15
2019/01/28,76.454
2019/01/29,79.403
2019/01/30,66.659
2019/01/31,49.583
2019/02/01,40.787
2019/02/02,14.668
2019/02/03,11.271
2019/02/04,10.204
2019/02/05,21.496
2019/02/06,39.13
2019/02/07,54.095
2019/02/08,80.867
2019/02/09,39.633
2019/02/10,62.399
2019/02/11,79.278
2019/02/12,80.072
2019/02/13,90.841
2019/02/14,89.061
2019/02/15,70.707
2019/02/16,41.817
2019/02/17,56.57
2019/02/18,78.883
2019/02/19,82.283
2019/02/20,83.756
2019/02/21,87.701
2019/02/22,73.235
2019/02/23,17.814
2019/02/24,57.375
2019/02/25,74.126
2019/02/26,66.871
2019/02/27,50.537
2019/02/28,46.453
2019/03/01,10.657
2019/03/02,7.273
2019/03/03,5.987
2019/03/04,54.291
2019/03/05,45.872
2019/03/06,37.545
2019/03/07,32.262
2019/03/08,57.204
2019/03/09,40.563
2019/03/10,21.65
2019/03/11,49.857
2019/03/12,56.973
2019/03/13,71.378
2019/03/14,58.349
2019/03/15,47.138
2019/03/16,25.533
2019/03/17,18.371
2019/03/18,71.029
2019/03/19,79.697
2019/03/20,58.012
2019/03/21,63.481
2019/03/22,55.445
2019/03/23,25.723
2019/03/24,22.64
2019/03/25,66.761
2019/03/26,69.874
2019/03/27,64.987
2019/03/28,51.997
2019/03/29,72.988
2019/03/30,64.865
2019/03/31,42.115
2019/04/01,57.794
2019/04/02,85.679
2019/04/03,86.117
2019/04/04,48.984
2019/04/05,22.156
2019/04/06,12.82
2019/04/07,25.724
2019/04/08,61.578
2019/04/09,52.673
2019/04/10,77.127
2019/04/11,83.587
2019/04/12,40.652
2019/04/13,26.08
2019/04/14,23.337
2019/04/15,64.847
2019/04/16,71.133
2019/04/17,50.639
2019/04/18,54.319
2019/04/19,47.952
2019/04/20,37.425
2019/04/21,53.977
2019/04/22,59.734
2019/04/23,75.281
2019/04/24,32.165
2019/04/25,35.64
2019/04/26,33.324
2019/04/27,8.028
2019/04/28,38.138
2019/04/29,55.832
2019/04/30,71.909
2019/05/01,58.486
2019/05/02,83.642
