Date,sentinusd14momUSD
2019/01/11,123124638
2019/01/12,-337795771
2019/01/13,-7965239
2019/01/14,134486656
2019/01/15,76630429
2019/01/16,-85043881
2019/01/17,-117258099
2019/01/18,-369467184
2019/01/19,-483840599
2019/01/20,-165980292
2019/01/21,-191281197
2019/01/22,-137269845
2019/01/23,-99952143
2019/01/24,-154451535
2019/01/25,-265913377
2019/01/26,-37659076
2019/01/27,-2136692
2019/01/28,-75325639
2019/01/29,-63545209
2019/01/30,-70603851
2019/01/31,-8611113
2019/02/01,-6753087
2019/02/02,-49555385
2019/02/03,-68378765
2019/02/04,-105441558
2019/02/05,-111183973
2019/02/06,-52192874
2019/02/07,-126091389
2019/02/08,8079111
2019/02/09,-12766255
2019/02/10,-42926725
2019/02/11,-115484496
2019/02/12,-54462054
2019/02/13,-33151599
2019/02/14,-50807511
2019/02/15,-14851411
2019/02/16,1783828
2019/02/17,81011534
2019/02/18,315180482
2019/02/19,302900024
2019/02/20,143415075
2019/02/21,161626610
2019/02/22,74174710
2019/02/23,93426802
2019/02/24,272157973
2019/02/25,285490942
2019/02/26,72027024
2019/02/27,178216649
2019/02/28,119061710
2019/03/01,59940693
2019/03/02,66066252
2019/03/03,4533467
2019/03/04,-106371071
2019/03/05,-101758863
2019/03/06,-22266898
2019/03/07,-19325393
2019/03/08,18008650
2019/03/09,18707944
2019/03/10,-210280574
2019/03/11,-186232986
2019/03/12,57489559
2019/03/13,-126011667
2019/03/14,-20693249
2019/03/15,42011566
2019/03/16,73450200
2019/03/17,17705384
2019/03/18,41045972
2019/03/19,-43685712
2019/03/20,97138405
2019/03/21,49807374
2019/03/22,-46168912
2019/03/23,101290371
2019/03/24,9483441
2019/03/25,57828063
2019/03/26,26323312
2019/03/27,43385013
2019/03/28,20880150
2019/03/29,68318869
2019/03/30,88511654
2019/03/31,62744658
2019/04/01,-11841810
2019/04/02,367247085
2019/04/03,307132044
2019/04/04,123286901
2019/04/05,156341541
2019/04/06,-41957530
2019/04/07,162890088
2019/04/08,294924695
2019/04/09,251484034
2019/04/10,193852928
2019/04/11,170624299
