Date,difficulty3roc
2017/12/30,0.57
2017/12/31,0.164
2018/01/01,3.449
2018/01/02,2.672
2018/01/03,-0.793
2018/01/04,-2.048
2018/01/05,0.433
2018/01/06,-0.274
2018/01/07,2.912
2018/01/08,3.763
2018/01/09,5.812
2018/01/10,2.833
2018/01/11,3.471
2018/01/12,4.488
2018/01/13,6.725
2018/01/14,4.517
2018/01/15,4.271
2018/01/16,2.847
2018/01/17,4.057
2018/01/18,3.933
2018/01/19,3.045
2018/01/20,4.725
2018/01/21,4.277
2018/01/22,5.57
2018/01/23,1.5
2018/01/24,3.673
2018/01/25,4.695
2018/01/26,4.233
2018/01/27,1.032
2018/01/28,-0.288
2018/01/29,3.62
2018/01/30,4.462
2018/01/31,5.054
2018/02/01,2.884
2018/02/02,4.438
2018/02/03,5.288
2018/02/04,3.5
2018/02/05,2.758
2018/02/06,0.774
2018/02/07,2.819
2018/02/08,1.273
2018/02/09,3.235
2018/02/10,-0.097
2018/02/11,4.573
2018/02/12,2.311
2018/02/13,4.837
2018/02/14,0.07
2018/02/15,-1.747
2018/02/16,0.662
2018/02/17,0.708
2018/02/18,3.856
2018/02/19,-0.477
2018/02/20,-1.373
2018/02/21,-3.076
2018/02/22,0.142
2018/02/23,1.188
2018/02/24,2.181
2018/02/25,3.866
2018/02/26,2.117
2018/02/27,0.129
2018/02/28,-1.417
2018/03/01,2.393
2018/03/02,3.306
2018/03/03,4.529
2018/03/04,1.196
2018/03/05,1.884
2018/03/06,-2.269
2018/03/07,1.722
2018/03/08,3.274
2018/03/09,1.202
2018/03/10,-0.861
2018/03/11,-2.748
2018/03/12,1.112
2018/03/13,0.314
2018/03/14,-0.419
2018/03/15,-0.942
2018/03/16,3.045
2018/03/17,4.014
2018/03/18,3.31
2018/03/19,0.423
2018/03/20,0.609
2018/03/21,-0.131
2018/03/22,-1.88
2018/03/23,0.089
2018/03/24,-1.304
2018/03/25,1.213
2018/03/26,1.495
2018/03/27,1.735
2018/03/28,-0.192
2018/03/29,-4.498
2018/03/30,-1.913
2018/03/31,-2.125
2018/04/01,1.763
2018/04/02,-0.438
2018/04/03,-1.842
2018/04/04,-1.933
2018/04/05,-1.459
2018/04/06,4.021
2018/04/07,1.854
2018/04/08,1.274
2018/04/09,-5.136
2018/04/10,-3.091
2018/04/11,-1.402
2018/04/12,1.377
2018/04/13,-1.59
2018/04/14,-0.454
2018/04/15,0.19
2018/04/16,0.898
2018/04/17,0.015
2018/04/18,-1.89
2018/04/19,-0.493
2018/04/20,-2.001
2018/04/21,2.927
2018/04/22,1.561
2018/04/23,3.62
2018/04/24,-1.142
2018/04/25,-0.554
2018/04/26,1.004
2018/04/27,0.646
2018/04/28,-0.014
2018/04/29,-0.696
2018/04/30,1.397
2018/05/01,-0.476
2018/05/02,-2.491
