Date,confirmationtime7rsi
2018/10/06,35.981
2018/10/07,34.272
2018/10/08,44.393
2018/10/09,48.901
2018/10/10,46.133
2018/10/11,50.444
2018/10/12,45.824
2018/10/13,44.767
2018/10/14,43.596
2018/10/15,61.058
2018/10/16,56.768
2018/10/17,52.933
2018/10/18,49.761
2018/10/19,64.582
2018/10/20,45.653
2018/10/21,51.64
2018/10/22,60.57
2018/10/23,44.103
2018/10/24,50.716
2018/10/25,51.026
2018/10/26,51.026
2018/10/27,55.251
2018/10/28,47.269
2018/10/29,52.844
2018/10/30,64.481
2018/10/31,43.596
2018/11/01,56.291
2018/11/02,56.291
2018/11/03,48.043
2018/11/04,49.615
2018/11/05,55.579
2018/11/06,57.492
2018/11/07,42.232
2018/11/08,55.625
2018/11/09,51.152
2018/11/10,47.279
2018/11/11,45.814
2018/11/12,37.437
2018/11/13,52.805
2018/11/14,56.781
2018/11/15,56.318
2018/11/16,37.434
2018/11/17,49.88
2018/11/18,43.05
2018/11/19,63.355
2018/11/20,58.824
2018/11/21,45.117
2018/11/22,53.595
2018/11/23,47.069
2018/11/24,47.202
2018/11/25,42.728
2018/11/26,54.548
2018/11/27,62.766
2018/11/28,57.699
2018/11/29,44.983
2018/11/30,54.241
2018/12/01,52.843
2018/12/02,52.062
2018/12/03,56.297
2018/12/04,55.076
2018/12/05,58.899
2018/12/06,50.105
2018/12/07,63.792
2018/12/08,53.536
2018/12/09,41.97
2018/12/10,33.339
2018/12/11,58.183
2018/12/12,48.015
2018/12/13,45.917
2018/12/14,55.062
2018/12/15,44.428
2018/12/16,52.456
2018/12/17,64.536
2018/12/18,66.604
2018/12/19,67.567
2018/12/20,66.703
2018/12/21,68.223
2018/12/22,52.91
2018/12/23,60.015
2018/12/24,50.781
2018/12/25,45.591
2018/12/26,46.542
2018/12/27,56.676
2018/12/28,54.186
2018/12/29,45.464
2018/12/30,56.825
2018/12/31,50.932
2019/01/01,58.179
2019/01/02,48.224
2019/01/03,76.807
2019/01/04,77.888
2019/01/05,68.179
2019/01/06,70.445
2019/01/07,66.492
2019/01/08,70.248
2019/01/09,62.124
2019/01/10,66.119
2019/01/11,66.318
2019/01/12,68.987
2019/01/13,51.355
2019/01/14,52.25
2019/01/15,53.903
2019/01/16,66.457
2019/01/17,59.527
2019/01/18,49.181
2019/01/19,40.347
2019/01/20,53.251
2019/01/21,82.638
2019/01/22,83.23
2019/01/23,85.409
2019/01/24,72.545
2019/01/25,70.014
2019/01/26,72.85
2019/01/27,75.15
2019/01/28,81.091
2019/01/29,81.662
2019/01/30,68.261
2019/01/31,69.572
2019/02/01,75.198
2019/02/02,61.34
2019/02/03,67.51
2019/02/04,56.573
2019/02/05,60.122
2019/02/06,60.914
2019/02/07,56.663
2019/02/08,55.795
2019/02/09,59.165
2019/02/10,88.863
2019/02/11,90.477
2019/02/12,80.151
2019/02/13,83.159
2019/02/14,83.247
2019/02/15,83.515
2019/02/16,72.517
2019/02/17,77.074
2019/02/18,68.171
2019/02/19,56.343
2019/02/20,60.316
2019/02/21,58.944
2019/02/22,60.416
2019/02/23,45.233
2019/02/24,56.237
2019/02/25,57.876
2019/02/26,51.828
2019/02/27,51.828
2019/02/28,40.716
2019/03/01,9.208
2019/03/02,7.977
2019/03/03,8.731
2019/03/04,8.713
2019/03/05,8.528
2019/03/06,10.009
2019/03/07,9.769
2019/03/08,12.893
2019/03/09,13.527
2019/03/10,12.034
2019/03/11,21.388
2019/03/12,20.089
2019/03/13,24.588
2019/03/14,23.916
2019/03/15,23.85
2019/03/16,20.959
2019/03/17,31.641
2019/03/18,36.642
2019/03/19,33.704
2019/03/20,30.281
2019/03/21,42.3
2019/03/22,39.422
2019/03/23,37.661
2019/03/24,37.573
2019/03/25,38.083
2019/03/26,49.595
2019/03/27,38.029
2019/03/28,49.647
2019/03/29,50.167
2019/03/30,49.866
2019/03/31,43.005
2019/04/01,42.563
2019/04/02,54.208
2019/04/03,57.595
2019/04/04,44.804
2019/04/05,41.615
2019/04/06,37.895
2019/04/07,34.471
2019/04/08,43.216
2019/04/09,46.114
2019/04/10,40.855
2019/04/11,56.698
2019/04/12,49.093
2019/04/13,38.3
2019/04/14,50.416
2019/04/15,46.709
2019/04/16,53.387
2019/04/17,58.153
2019/04/18,52.368
2019/04/19,43.73
2019/04/20,58.489
2019/04/21,43.145
2019/04/22,48.723
2019/04/23,65.199
2019/04/24,51.251
2019/04/25,43.165
2019/04/26,45.06
2019/04/27,42.247
2019/04/28,54.405
2019/04/29,46.164
2019/04/30,51.578
2019/05/01,44.651
2019/05/02,48.159
2019/05/03,61.054
2019/05/04,39.756
2019/05/05,53.938
2019/05/06,56.252
2019/05/07,52.285
2019/05/08,58.028
2019/05/09,54.328
2019/05/10,45.422
2019/05/11,50.791
2019/05/12,45.346
2019/05/13,55.538
2019/05/14,43.033
2019/05/15,42.933
2019/05/16,57.936
2019/05/17,46.966
2019/05/18,51.052
2019/05/19,52.898
2019/05/20,57.28
2019/05/21,58.507
2019/05/22,48.515
2019/05/23,58.201
2019/05/24,48.813
2019/05/25,35.162
2019/05/26,47.596
2019/05/27,51.548
2019/05/28,57.12
2019/05/29,38.101
2019/05/30,57.995
2019/05/31,45.244
2019/06/01,52.78
2019/06/02,51.262
2019/06/03,56.017
2019/06/04,49.131
2019/06/05,49.403
2019/06/06,44.447
2019/06/07,54.976
2019/06/08,55.722
2019/06/09,51.855
2019/06/10,43.112
2019/06/11,50.051
2019/06/12,52.378
2019/06/13,46.427
2019/06/14,47.503
2019/06/15,54.018
2019/06/16,43.794
2019/06/17,52.428
2019/06/18,54.206
2019/06/19,49.213
