Date,sentinusd30rsiUSD
2018/05/16,47.934
2018/05/17,48.03
2018/05/18,47.723
2018/05/19,46.436
2018/05/20,46.733
2018/05/21,48.16
2018/05/22,49.888
2018/05/23,50.782
2018/05/24,48.55
2018/05/25,47.745
2018/05/26,46.338
2018/05/27,48.218
2018/05/28,50.004
2018/05/29,48.679
2018/05/30,48.714
2018/05/31,49.149
2018/06/01,49.866
2018/06/02,46.343
2018/06/03,45.937
2018/06/04,49.035
2018/06/05,49.088
2018/06/06,49.8
2018/06/07,49.515
2018/06/08,50.058
2018/06/09,46.227
2018/06/10,47.951
2018/06/11,48.819
2018/06/12,51.158
2018/06/13,53.462
2018/06/14,53.652
2018/06/15,52.345
2018/06/16,46.724
2018/06/17,45.67
2018/06/18,46.898
2018/06/19,48.215
2018/06/20,48.651
2018/06/21,48.067
2018/06/22,49.204
2018/06/23,45.999
2018/06/24,47.793
2018/06/25,49.025
2018/06/26,47.725
2018/06/27,47.532
2018/06/28,47.207
2018/06/29,48.001
2018/06/30,45.946
2018/07/01,45.34
2018/07/02,46.735
2018/07/03,48.081
2018/07/04,47.284
2018/07/05,47.648
2018/07/06,47.45
2018/07/07,45.987
2018/07/08,46.709
2018/07/09,48.394
2018/07/10,48.521
2018/07/11,46.866
2018/07/12,46.458
2018/07/13,46.289
2018/07/14,45.276
2018/07/15,44.901
2018/07/16,48.732
2018/07/17,49.2
2018/07/18,50.428
2018/07/19,48.616
2018/07/20,48.824
2018/07/21,46.383
2018/07/22,46.23
2018/07/23,48.623
2018/07/24,49.118
2018/07/25,48.405
2018/07/26,47.286
2018/07/27,47.668
2018/07/28,45.497
2018/07/29,45.381
2018/07/30,48.819
2018/07/31,53.367
2018/08/01,48.286
2018/08/02,48.519
2018/08/03,47.546
2018/08/04,46.397
2018/08/05,46.151
2018/08/06,47.41
2018/08/07,47.917
2018/08/08,49.726
2018/08/09,48.191
2018/08/10,48.855
2018/08/11,47.777
2018/08/12,46.037
2018/08/13,50.154
2018/08/14,50.669
2018/08/15,49.24
2018/08/16,47.312
2018/08/17,48.374
2018/08/18,46.467
2018/08/19,45.607
2018/08/20,47.465
2018/08/21,47.328
2018/08/22,48.123
2018/08/23,47.312
2018/08/24,47.268
2018/08/25,46.372
2018/08/26,46.055
2018/08/27,48.031
2018/08/28,47.748
2018/08/29,48.186
2018/08/30,47.615
2018/08/31,47.842
2018/09/01,46.92
2018/09/02,46.148
2018/09/03,49.25
2018/09/04,52.859
2018/09/05,50.7
2018/09/06,51.055
2018/09/07,49.72
2018/09/08,48.319
2018/09/09,48.106
2018/09/10,48.777
2018/09/11,48.659
2018/09/12,51.055
2018/09/13,48.556
2018/09/14,48.472
2018/09/15,46.787
2018/09/16,46.204
2018/09/17,48.218
2018/09/18,47.666
2018/09/19,47.098
2018/09/20,48.142
2018/09/21,51.756
2018/09/22,48.031
2018/09/23,47.54
2018/09/24,48.996
2018/09/25,48.446
2018/09/26,48.358
2018/09/27,47.93
2018/09/28,48.191
2018/09/29,47.376
2018/09/30,47.25
2018/10/01,46.882
2018/10/02,46.325
2018/10/03,48.025
2018/10/04,48.115
2018/10/05,47.686
2018/10/06,46.324
2018/10/07,45.915
2018/10/08,48.66
2018/10/09,47.904
2018/10/10,48.103
2018/10/11,53.042
2018/10/12,49.211
2018/10/13,46.792
2018/10/14,46.709
2018/10/15,53.884
2018/10/16,50.468
2018/10/17,49.501
2018/10/18,50.689
2018/10/19,48.585
2018/10/20,47.952
2018/10/21,49.636
2018/10/22,48.473
2018/10/23,48.796
2018/10/24,48.605
2018/10/25,50.384
2018/10/26,48.867
2018/10/27,46.649
2018/10/28,46.729
2018/10/29,49.856
2018/10/30,48.765
2018/10/31,49.022
2018/11/01,48.666
2018/11/02,49.635
2018/11/03,47.052
2018/11/04,48.658
2018/11/05,51.639
2018/11/06,50.066
2018/11/07,51.201
2018/11/08,49.601
2018/11/09,49.246
2018/11/10,47.369
2018/11/11,47.392
2018/11/12,50.195
2018/11/13,49.54
2018/11/14,53.401
2018/11/15,52.956
2018/11/16,50.061
2018/11/17,47.543
2018/11/18,49.112
2018/11/19,55.653
2018/11/20,55.842
2018/11/21,51.426
2018/11/22,49.066
2018/11/23,49.418
2018/11/24,48.018
2018/11/25,50.401
2018/11/26,49.644
2018/11/27,48.433
2018/11/28,49.831
2018/11/29,50.397
2018/11/30,66.888
2018/12/01,64.072
2018/12/02,47.291
2018/12/03,48.052
2018/12/04,48.024
2018/12/05,48.547
2018/12/06,49.195
2018/12/07,49.643
2018/12/08,48.004
2018/12/09,47.783
2018/12/10,47.879
2018/12/11,47.868
2018/12/12,47.68
2018/12/13,48.3
2018/12/14,47.926
2018/12/15,47.104
2018/12/16,47.112
2018/12/17,48.99
2018/12/18,48.947
2018/12/19,50.672
2018/12/20,51.003
2018/12/21,51.406
2018/12/22,48.001
2018/12/23,49.845
2018/12/24,52.107
2018/12/25,48.975
2018/12/26,48.609
2018/12/27,49.482
2018/12/28,49.704
2018/12/29,51.59
2018/12/30,47.955
2018/12/31,48.734
2019/01/01,48.018
2019/01/02,50.303
2019/01/03,49.934
2019/01/04,52.416
2019/01/05,53.349
2019/01/06,49.686
2019/01/07,50.078
2019/01/08,49.421
2019/01/09,49.169
2019/01/10,50.453
2019/01/11,51.273
2019/01/12,47.331
2019/01/13,47.72
2019/01/14,50.428
2019/01/15,48.916
2019/01/16,49.199
2019/01/17,48.391
2019/01/18,47.763
2019/01/19,47.303
2019/01/20,47.729
2019/01/21,47.832
2019/01/22,47.851
2019/01/23,48.134
2019/01/24,48.853
2019/01/25,48.085
2019/01/26,46.848
2019/01/27,47.979
2019/01/28,50.232
2019/01/29,48.479
2019/01/30,48.725
2019/01/31,48.726
2019/02/01,47.93
2019/02/02,46.604
2019/02/03,46.792
2019/02/04,46.257
2019/02/05,46.176
2019/02/06,47.778
2019/02/07,47.198
2019/02/08,49.002
2019/02/09,47.073
2019/02/10,47.802
2019/02/11,49.068
2019/02/12,48.143
2019/02/13,48.918
2019/02/14,48.545
2019/02/15,48.327
2019/02/16,47.007
2019/02/17,49.103
2019/02/18,53.472
2019/02/19,53.084
2019/02/20,51.18
2019/02/21,50.902
2019/02/22,50.863
2019/02/23,48.997
2019/02/24,53.662
2019/02/25,55.116
2019/02/26,49.414
2019/02/27,52.211
2019/02/28,50.641
2019/03/01,49.259
2019/03/02,48.184
2019/03/03,48.76
2019/03/04,50.692
2019/03/05,50.435
2019/03/06,50.355
2019/03/07,50.147
2019/03/08,50.952
2019/03/09,49.123
2019/03/10,48.754
2019/03/11,51.03
2019/03/12,50.662
2019/03/13,49.651
2019/03/14,50.35
2019/03/15,50.186
2019/03/16,49.585
2019/03/17,48.847
2019/03/18,51.871
2019/03/19,49.354
2019/03/20,52.715
2019/03/21,51.262
2019/03/22,49.752
2019/03/23,51.42
2019/03/24,48.759
2019/03/25,52.201
2019/03/26,51.057
2019/03/27,50.452
2019/03/28,50.6
2019/03/29,51.611
2019/03/30,51.527
2019/03/31,50.076
2019/04/01,51.168
2019/04/02,57.66
2019/04/03,59.192
2019/04/04,52.999
2019/04/05,52.357
2019/04/06,49.395
2019/04/07,51.504
2019/04/08,56.831
2019/04/09,54.804
2019/04/10,53.018
2019/04/11,52.648
2019/04/12,50.917
2019/04/13,47.739
2019/04/14,48.349
2019/04/15,51.161
2019/04/16,49.96
2019/04/17,50.146
2019/04/18,51.839
2019/04/19,50.644
2019/04/20,49.124
2019/04/21,49.449
2019/04/22,50.959
2019/04/23,52.352
2019/04/24,54.412
2019/04/25,52.955
2019/04/26,56.559
2019/04/27,48.327
2019/04/28,49.594
2019/04/29,51.638
2019/04/30,51.459
2019/05/01,50.506
2019/05/02,48.895
2019/05/03,50.496
2019/05/04,48.675
2019/05/05,48.281
2019/05/06,52.072
2019/05/07,53.82
2019/05/08,52.466
2019/05/09,51.481
2019/05/10,51.705
2019/05/11,57.683
2019/05/12,52.103
2019/05/13,55.451
2019/05/14,54.752
2019/05/15,58.814
2019/05/16,67.355
2019/05/17,56.413
2019/05/18,50.099
2019/05/19,50.715
2019/05/20,52.557
2019/05/21,51.805
2019/05/22,51.942
2019/05/23,52.061
2019/05/24,50.628
2019/05/25,48.918
2019/05/26,50.577
2019/05/27,53.422
2019/05/28,51.28
2019/05/29,54.732
2019/05/30,54.419
2019/05/31,53.165
2019/06/01,48.814
2019/06/02,48.05
2019/06/03,51.508
2019/06/04,52.001
2019/06/05,52.308
2019/06/06,48.696
2019/06/07,48.813
2019/06/08,46.798
2019/06/09,48.123
2019/06/10,49.956
2019/06/11,49.29
2019/06/12,50.162
2019/06/13,51.184
2019/06/14,51.093
2019/06/15,53.967
2019/06/16,51.92
2019/06/17,50.132
2019/06/18,51.633
