Date,sentinusd90smaUSD
2018/11/13,392897625
2018/11/14,394497522
2018/11/15,394561472
2018/11/16,395260184
2018/11/17,395378436
2018/11/18,394401715
2018/11/19,398479915
2018/11/20,401824927
2018/11/21,403086951
2018/11/22,402602496
2018/11/23,403430213
2018/11/24,403549327
2018/11/25,403453090
2018/11/26,403100342
2018/11/27,401405236
2018/11/28,401311995
2018/11/29,401417652
2018/11/30,419942810
2018/12/01,437007212
2018/12/02,433071522
2018/12/03,426543460
2018/12/04,422046713
2018/12/05,417843892
2018/12/06,415716891
2018/12/07,415505919
2018/12/08,413472763
2018/12/09,410565120
2018/12/10,407872269
2018/12/11,403041802
2018/12/12,400263604
2018/12/13,398191950
2018/12/14,397280421
2018/12/15,396043267
2018/12/16,393162018
2018/12/17,392525160
2018/12/18,392349104
2018/12/19,392963280
2018/12/20,390874729
2018/12/21,392402145
2018/12/22,391276026
2018/12/23,390601092
2018/12/24,392549180
2018/12/25,391633559
2018/12/26,390720350
2018/12/27,390405402
2018/12/28,390943713
2018/12/29,393293290
2018/12/30,392581042
2018/12/31,392990339
2019/01/01,391599393
2019/01/02,392181299
2019/01/03,392732271
2019/01/04,396508794
2019/01/05,401458139
2019/01/06,401505182
2019/01/07,402414067
2019/01/08,402615856
2019/01/09,399377624
2019/01/10,399772343
2019/01/11,402628930
2019/01/12,402137264
2019/01/13,396747645
2019/01/14,396173724
2019/01/15,395039768
2019/01/16,393224078
2019/01/17,392352927
2019/01/18,391451914
2019/01/19,388919132
2019/01/20,387595020
2019/01/21,386112843
2019/01/22,384785147
2019/01/23,382403233
2019/01/24,381584742
2019/01/25,381879174
2019/01/26,381247683
2019/01/27,379207781
2019/01/28,379417234
2019/01/29,378268303
2019/01/30,377522310
2019/01/31,376148068
2019/02/01,376028794
2019/02/02,374021764
2019/02/03,370103734
2019/02/04,366902904
2019/02/05,362873385
2019/02/06,360760466
2019/02/07,358547506
2019/02/08,358562515
2019/02/09,357458558
2019/02/10,354973420
2019/02/11,353571806
2019/02/12,349072162
2019/02/13,345242183
2019/02/14,343061808
2019/02/15,342497183
2019/02/16,340231883
2019/02/17,334071970
2019/02/18,330018840
2019/02/19,328839852
2019/02/20,328536329
2019/02/21,327833416
2019/02/22,328187808
2019/02/23,325887322
2019/02/24,326518081
2019/02/25,328871010
2019/02/26,327338023
2019/02/27,326969415
2019/02/28,308252105
2019/03/01,291001889
2019/03/02,291358776
2019/03/03,291033433
2019/03/04,291778966
2019/03/05,291740219
2019/03/06,290866905
2019/03/07,289347394
2019/03/08,290255083
2019/03/09,290553961
2019/03/10,290567419
2019/03/11,291669711
2019/03/12,292815243
2019/03/13,292867281
2019/03/14,293636911
2019/03/15,295206453
2019/03/16,296509638
2019/03/17,295745356
2019/03/18,296314329
2019/03/19,294194911
2019/03/20,293288089
2019/03/21,291379104
2019/03/22,291903565
2019/03/23,291517686
2019/03/24,287788818
2019/03/25,288612293
2019/03/26,289270737
2019/03/27,288858864
2019/03/28,288313911
2019/03/29,286512078
2019/03/30,288021104
2019/03/31,288229340
2019/04/01,289572611
2019/04/02,292019049
2019/04/03,295652291
2019/04/04,294343523
2019/04/05,291847091
2019/04/06,291118617
2019/04/07,291111051
2019/04/08,294770786
2019/04/09,297649399
2019/04/10,298524219
2019/04/11,298507041
2019/04/12,301001364
2019/04/13,301417453
2019/04/14,299874390
2019/04/15,301181057
2019/04/16,301596861
2019/04/17,302801404
2019/04/18,305458546
2019/04/19,307883455
2019/04/20,309191313
2019/04/21,310591285
2019/04/22,312750446
2019/04/23,315448740
2019/04/24,318789475
2019/04/25,321975319
2019/04/26,328108402
2019/04/27,329071349
2019/04/28,329310658
2019/04/29,331974103
2019/04/30,334377044
2019/05/01,336238812
2019/05/02,337681969
2019/05/03,340898407
2019/05/04,342956179
2019/05/05,345121054
2019/05/06,349510935
2019/05/07,354138114
2019/05/08,358361415
2019/05/09,361085074
2019/05/10,365044486
2019/05/11,372481544
2019/05/12,376032224
2019/05/13,382511040
2019/05/14,388168038
