Date,hashrate3trx
2019/04/24,-0.178
2019/04/25,-0.309
2019/04/26,-0.245
2019/04/27,0.068
2019/04/28,0.118
2019/04/29,0.301
2019/04/30,0.498
2019/05/01,0.506
2019/05/02,0.308
2019/05/03,-0.067
2019/05/04,0.355
2019/05/05,0.535
2019/05/06,0.208
2019/05/07,0.191
2019/05/08,0.074
2019/05/09,0.035
2019/05/10,0.063
2019/05/11,0.098
2019/05/12,0.327
2019/05/13,0.259
2019/05/14,0.57
2019/05/15,0.868
2019/05/16,0.772
2019/05/17,1.33
2019/05/18,1.568
2019/05/19,1.171
2019/05/20,0.55
2019/05/21,-0.038
2019/05/22,-0.183
