Date,transactions3std
2018/04/08,91613
2018/04/09,64112
2018/04/10,31735
2018/04/11,35890
2018/04/12,101301
2018/04/13,101317
2018/04/14,99446
2018/04/15,108433
2018/04/16,46581
2018/04/17,101570
2018/04/18,64031
2018/04/19,91895
2018/04/20,114055
2018/04/21,74206
2018/04/22,79924
2018/04/23,52270
2018/04/24,58286
2018/04/25,14805
2018/04/26,19173
2018/04/27,30427
2018/04/28,24274
2018/04/29,15310
2018/04/30,19067
2018/05/01,53450
2018/05/02,65606
2018/05/03,103195
2018/05/04,181202
2018/05/05,180206
2018/05/06,258089
2018/05/07,92669
2018/05/08,110010
2018/05/09,34887
2018/05/10,28978
2018/05/11,25053
2018/05/12,54328
2018/05/13,52263
2018/05/14,32587
2018/05/15,32127
2018/05/16,24236
2018/05/17,46174
2018/05/18,25226
2018/05/19,12207
2018/05/20,59428
2018/05/21,57061
2018/05/22,36913
2018/05/23,25816
2018/05/24,18135
2018/05/25,27152
2018/05/26,42397
2018/05/27,32166
2018/05/28,87521
2018/05/29,69640
2018/05/30,43926
2018/05/31,17530
2018/06/01,64224
2018/06/02,66161
2018/06/03,44978
2018/06/04,38314
2018/06/05,26431
2018/06/06,43352
2018/06/07,23127
2018/06/08,45937
2018/06/09,49876
2018/06/10,47482
2018/06/11,1988
2018/06/12,1875
2018/06/13,26460
2018/06/14,28106
2018/06/15,30951
2018/06/16,117943
2018/06/17,113026
2018/06/18,49166
2018/06/19,107653
2018/06/20,91894
2018/06/21,41690
2018/06/22,42209
2018/06/23,81842
2018/06/24,91038
2018/06/25,154003
2018/06/26,136594
2018/06/27,86651
2018/06/28,33186
2018/06/29,31190
2018/06/30,101150
2018/07/01,101502
2018/07/02,130615
2018/07/03,109891
2018/07/04,105061
2018/07/05,104497
2018/07/06,70908
2018/07/07,56611
2018/07/08,152148
2018/07/09,149529
2018/07/10,50052
2018/07/11,41854
2018/07/12,103615
2018/07/13,74735
2018/07/14,52597
2018/07/15,89498
2018/07/16,214727
2018/07/17,234713
2018/07/18,41071
2018/07/19,38058
2018/07/20,65549
2018/07/21,93311
2018/07/22,49919
2018/07/23,113498
2018/07/24,93377
2018/07/25,26055
2018/07/26,57144
2018/07/27,58925
2018/07/28,71895
2018/07/29,74762
2018/07/30,45968
2018/07/31,34648
2018/08/01,11947
2018/08/02,28815
2018/08/03,23355
2018/08/04,48563
2018/08/05,40696
2018/08/06,18005
2018/08/07,61921
2018/08/08,109364
2018/08/09,82459
2018/08/10,62331
2018/08/11,98147
2018/08/12,35950
2018/08/13,44538
2018/08/14,47964
2018/08/15,41727
2018/08/16,56130
2018/08/17,90269
2018/08/18,95103
2018/08/19,23517
2018/08/20,52494
2018/08/21,57830
2018/08/22,60523
2018/08/23,8816
2018/08/24,3937
2018/08/25,19661
2018/08/26,19567
2018/08/27,66268
2018/08/28,58752
2018/08/29,82535
2018/08/30,55964
2018/08/31,38209
2018/09/01,68325
2018/09/02,64585
2018/09/03,30081
2018/09/04,35441
2018/09/05,37581
2018/09/06,35563
2018/09/07,39409
2018/09/08,40201
2018/09/09,31834
2018/09/10,19393
2018/09/11,6789
2018/09/12,11140
2018/09/13,13406
2018/09/14,47605
2018/09/15,62156
2018/09/16,46130
2018/09/17,81681
2018/09/18,77979
2018/09/19,47307
2018/09/20,7718
2018/09/21,40277
2018/09/22,61365
2018/09/23,70930
2018/09/24,10339
2018/09/25,43146
2018/09/26,32194
2018/09/27,21011
2018/09/28,8736
2018/09/29,64081
2018/09/30,55109
2018/10/01,41101
2018/10/02,11982
2018/10/03,72294
2018/10/04,64895
2018/10/05,34194
2018/10/06,34841
2018/10/07,92730
2018/10/08,81023
2018/10/09,40039
2018/10/10,22348
2018/10/11,44331
2018/10/12,47225
2018/10/13,24124
2018/10/14,41424
2018/10/15,41326
2018/10/16,54841
2018/10/17,15493
2018/10/18,12086
2018/10/19,28994
2018/10/20,54764
2018/10/21,78435
2018/10/22,57159
2018/10/23,58011
2018/10/24,36438
2018/10/25,20393
2018/10/26,15766
2018/10/27,43983
2018/10/28,44891
2018/10/29,104247
2018/10/30,96006
2018/10/31,24898
2018/11/01,19987
2018/11/02,36749
2018/11/03,68678
2018/11/04,38583
2018/11/05,70335
2018/11/06,75376
2018/11/07,26624
2018/11/08,35841
2018/11/09,13702
2018/11/10,59247
2018/11/11,48749
2018/11/12,67023
2018/11/13,35617
2018/11/14,23548
2018/11/15,23785
2018/11/16,24912
2018/11/17,49808
2018/11/18,56212
2018/11/19,121634
2018/11/20,131585
2018/11/21,42315
2018/11/22,49361
2018/11/23,15974
2018/11/24,63962
2018/11/25,51402
2018/11/26,49284
2018/11/27,31462
2018/11/28,57911
2018/11/29,58929
2018/11/30,55495
2018/12/01,60261
2018/12/02,89096
2018/12/03,45754
2018/12/04,62156
2018/12/05,39584
2018/12/06,26927
2018/12/07,20230
2018/12/08,31306
2018/12/09,54276
2018/12/10,43833
2018/12/11,39282
2018/12/12,19324
2018/12/13,29019
2018/12/14,30743
2018/12/15,13811
2018/12/16,42366
2018/12/17,44302
2018/12/18,45241
2018/12/19,34440
2018/12/20,41433
2018/12/21,7192
2018/12/22,102751
2018/12/23,90878
2018/12/24,98619
2018/12/25,72210
2018/12/26,67318
2018/12/27,20467
2018/12/28,19416
2018/12/29,24910
2018/12/30,94878
2018/12/31,70612
2019/01/01,64659
2019/01/02,115806
2019/01/03,136916
2019/01/04,41722
2019/01/05,69861
2019/01/06,51096
2019/01/07,52465
2019/01/08,61119
2019/01/09,6598
2019/01/10,25597
2019/01/11,33639
2019/01/12,108648
2019/01/13,74308
2019/01/14,106508
2019/01/15,78931
2019/01/16,56841
2019/01/17,27049
2019/01/18,26149
2019/01/19,20677
2019/01/20,1246
2019/01/21,41816
2019/01/22,56385
2019/01/23,59855
2019/01/24,74928
2019/01/25,23621
2019/01/26,47056
2019/01/27,33320
2019/01/28,88973
2019/01/29,74022
2019/01/30,11454
2019/01/31,42048
2019/02/01,47087
2019/02/02,56341
2019/02/03,61738
2019/02/04,28960
2019/02/05,8372
2019/02/06,12756
2019/02/07,13255
2019/02/08,40619
2019/02/09,47196
2019/02/10,74669
2019/02/11,40692
2019/02/12,49967
2019/02/13,54994
2019/02/14,44493
2019/02/15,19214
2019/02/16,17147
2019/02/17,17273
2019/02/18,58054
2019/02/19,72865
2019/02/20,18567
2019/02/21,12447
2019/02/22,13456
