Date,sentinusd90varUSD
2021/01/15,2751007071948731392
2021/01/16,2740358418540443648
2021/01/17,2726532505161651200
2021/01/18,2725391562993331200
2021/01/19,3020993955095975936
2021/01/20,3337115680146666496
2021/01/21,3430760827308758016
2021/01/22,3504104481115606016
2021/01/23,3467355948456214528
2021/01/24,3478983712241162240
2021/01/25,3560554864883840000
2021/01/26,3624906316336529408
2021/01/27,3656045015586407424
2021/01/28,3667177875651368960
2021/01/29,3842285462472726528
2021/01/30,3817467529858563072
2021/01/31,3806377413197090816
2021/02/01,3791527869333758976
2021/02/02,3966533579160174592
2021/02/03,4162433528956161024
2021/02/04,4456352258692538368
2021/02/05,4614825149595711488
2021/02/06,4624383382047041536
2021/02/07,4606163195606628352
2021/02/08,4682286281624461312
2021/02/09,4740787289750276096
2021/02/10,4809041188663433216
2021/02/11,4807418656762781696
2021/02/12,4798839806853253120
2021/02/13,4716243055740895232
2021/02/14,4654955089878870016
2021/02/15,4642177283730454528
2021/02/16,4632967814843076608
2021/02/17,4620696284411920384
2021/02/18,4711222572621213696
2021/02/19,4735631770720829440
2021/02/20,4810395184829407232
2021/02/21,4798503268389275648
2021/02/22,4941342477186994176
2021/02/23,5447630892622458880
2021/02/24,5485604880599769088
2021/02/25,5437631570125457408
2021/02/26,5368001556050190336
2021/02/27,5253941259905415168
2021/02/28,5198674173858142208
2021/03/01,5169476545235671040
2021/03/02,5083448111098314752
2021/03/03,4991478718464073728
2021/03/04,4907483981465948160
2021/03/05,4785412689351847936
2021/03/06,4651484771110109184
2021/03/07,4760761783710527488
2021/03/08,4668893342542610432
2021/03/09,4603730439184674816
2021/03/10,4515910147015667712
2021/03/11,4421093321248616448
2021/03/12,4319528812511072256
2021/03/13,4158452971342790656
2021/03/14,4041945982908821504
2021/03/15,3942684321136701440
2021/03/16,3850526595832270848
2021/03/17,3816265365787918336
2021/03/18,3717065917537390592
2021/03/19,3627119721106673664
2021/03/20,3494263905063694336
2021/03/21,3427134661103050752
2021/03/22,3315413282218803200
2021/03/23,3197933331414269952
2021/03/24,3075994099727147008
2021/03/25,2920203657056202752
2021/03/26,2749238195034509312
2021/03/27,2693321529780789248
2021/03/28,2681802992532410368
2021/03/29,2623704134995615744
2021/03/30,2556100309820588032
2021/03/31,2466243790576214016
2021/04/01,2330333792535080960
2021/04/02,2299624108699639808
2021/04/03,2429492136755564544
2021/04/04,2388711985655975936
2021/04/05,2427076902206603264
2021/04/06,2421296542749028352
2021/04/07,2404047657709948928
2021/04/08,2373279870080446464
2021/04/09,2347390224526540800
2021/04/10,2334718666182647808
2021/04/11,2325452389536174080
2021/04/12,2301920213957488640
2021/04/13,2328151996892078080
2021/04/14,2415656030716936192
2021/04/15,2406212538985570304
2021/04/16,2489184941720350720
2021/04/17,2417321309717762048
2021/04/18,2823059910803374080
2021/04/19,2811361694278373376
2021/04/20,2770826306973097984
2021/04/21,2834587787379384320
2021/04/22,3333643017734443008
2021/04/23,3445106305073278976
2021/04/24,3419097307931852800
2021/04/25,3440584324692152320
2021/04/26,3455833976493953024
2021/04/27,3497765576136884224
2021/04/28,3598539786609172480
2021/04/29,3670821230429016064
2021/04/30,3711106035895083008
2021/05/01,3669100552812331008
2021/05/02,3637407951257149440
2021/05/03,4119321767186063360
2021/05/04,5216441759562055680
2021/05/05,5565642085107220480
2021/05/06,5741096202849533952
2021/05/07,6172278896421830656
2021/05/08,6542809475353722880
2021/05/09,6699068952484790272
2021/05/10,8743405867125891072
2021/05/11,1.014101751114E+19
2021/05/12,1.1865690983033E+19
2021/05/13,1.4074775649199E+19
2021/05/14,1.4368094164675E+19
2021/05/15,1.4282030912352E+19
2021/05/16,1.4320611819803E+19
2021/05/17,1.4891020183463E+19
2021/05/18,1.5012197290871E+19
2021/05/19,1.9732617073249E+19
2021/05/20,2.1615380361135E+19
2021/05/21,2.2027346440141E+19
2021/05/22,2.1907402745718E+19
2021/05/23,2.2297667625187E+19
2021/05/24,2.2662954216896E+19
2021/05/25,2.2912797869416E+19
2021/05/26,2.2974617305411E+19
2021/05/27,2.3086925552414E+19
2021/05/28,2.2883391924872E+19
2021/05/29,2.2719906594931E+19
2021/05/30,2.263237624046E+19
2021/05/31,2.2572004876837E+19
2021/06/01,2.2366274627002E+19
