Date,size14std
2018/11/24,2733
2018/11/25,2772
2018/11/26,2719
2018/11/27,2729
2018/11/28,2939
2018/11/29,2943
2018/11/30,2996
2018/12/01,2869
2018/12/02,2704
2018/12/03,2612
2018/12/04,2338
2018/12/05,2453
2018/12/06,2591
2018/12/07,2620
2018/12/08,2370
2018/12/09,2320
2018/12/10,2302
2018/12/11,2304
2018/12/12,2093
2018/12/13,2091
2018/12/14,2096
2018/12/15,2011
2018/12/16,1821
2018/12/17,1912
2018/12/18,2142
2018/12/19,2259
2018/12/20,2333
2018/12/21,2481
2018/12/22,2569
2018/12/23,2523
2018/12/24,2574
2018/12/25,2710
2018/12/26,2609
2018/12/27,2614
2018/12/28,2600
2018/12/29,2584
2018/12/30,2975
2018/12/31,3030
2019/01/01,3535
2019/01/02,3346
2019/01/03,3301
2019/01/04,3161
2019/01/05,3142
2019/01/06,3228
2019/01/07,3117
2019/01/08,3117
2019/01/09,3061
2019/01/10,3221
2019/01/11,3287
2019/01/12,3365
2019/01/13,3127
2019/01/14,3132
2019/01/15,2296
2019/01/16,2293
2019/01/17,2133
2019/01/18,2036
2019/01/19,2033
2019/01/20,1764
2019/01/21,2540
2019/01/22,3494
2019/01/23,3676
2019/01/24,3724
2019/01/25,3727
2019/01/26,3490
2019/01/27,3111
2019/01/28,3388
2019/01/29,3659
2019/01/30,3729
2019/01/31,3637
2019/02/01,3447
2019/02/02,3517
2019/02/03,3785
2019/02/04,4119
2019/02/05,3992
2019/02/06,4030
2019/02/07,4057
2019/02/08,4053
2019/02/09,4082
2019/02/10,4075
2019/02/11,3924
2019/02/12,3652
2019/02/13,4153
2019/02/14,4676
2019/02/15,5035
2019/02/16,5099
2019/02/17,5045
2019/02/18,5119
2019/02/19,5111
2019/02/20,4989
2019/02/21,4807
2019/02/22,4720
2019/02/23,3731
2019/02/24,3005
2019/02/25,3172
2019/02/26,3043
2019/02/27,3095
2019/02/28,3097
2019/03/01,4091
2019/03/02,5540
2019/03/03,6986
2019/03/04,7166
2019/03/05,7389
2019/03/06,7637
2019/03/07,7775
2019/03/08,7600
2019/03/09,7767
2019/03/10,7950
2019/03/11,7111
2019/03/12,5969
2019/03/13,4693
2019/03/14,2719
2019/03/15,2636
2019/03/16,2662
2019/03/17,2663
2019/03/18,2572
2019/03/19,3127
2019/03/20,3279
2019/03/21,3453
2019/03/22,3549
2019/03/23,3560
2019/03/24,3199
2019/03/25,3230
2019/03/26,3326
2019/03/27,3407
2019/03/28,3434
2019/03/29,3543
2019/03/30,3255
2019/03/31,2337
2019/04/01,2357
2019/04/02,2821
2019/04/03,3252
2019/04/04,3352
2019/04/05,3389
2019/04/06,3476
2019/04/07,3301
2019/04/08,3298
2019/04/09,3317
2019/04/10,3527
2019/04/11,3970
2019/04/12,3974
2019/04/13,4285
2019/04/14,4645
2019/04/15,4686
2019/04/16,4628
2019/04/17,4373
2019/04/18,4321
2019/04/19,4307
2019/04/20,3923
2019/04/21,3598
2019/04/22,3595
2019/04/23,3587
2019/04/24,3486
2019/04/25,2942
2019/04/26,2950
2019/04/27,3315
2019/04/28,3067
2019/04/29,3063
2019/04/30,2780
2019/05/01,2749
2019/05/02,3400
2019/05/03,3503
2019/05/04,3636
2019/05/05,3662
2019/05/06,4382
2019/05/07,5865
2019/05/08,6150
2019/05/09,6183
2019/05/10,6188
2019/05/11,5513
2019/05/12,5057
2019/05/13,4781
2019/05/14,4767
2019/05/15,4724
2019/05/16,5031
2019/05/17,5117
2019/05/18,4293
2019/05/19,3588
2019/05/20,3596
2019/05/21,2865
2019/05/22,2997
2019/05/23,3039
2019/05/24,3068
2019/05/25,3016
2019/05/26,2940
2019/05/27,3095
2019/05/28,3136
2019/05/29,3199
2019/05/30,3090
2019/05/31,3098
2019/06/01,3003
2019/06/02,2601
2019/06/03,2614
2019/06/04,2572
2019/06/05,2657
2019/06/06,2725
2019/06/07,2838
2019/06/08,3332
2019/06/09,3757
2019/06/10,3935
2019/06/11,4093
2019/06/12,4040
2019/06/13,4213
2019/06/14,4193
2019/06/15,4272
2019/06/16,4308
2019/06/17,4437
2019/06/18,4423
2019/06/19,4506
2019/06/20,4730
2019/06/21,4690
2019/06/22,4645
2019/06/23,4210
2019/06/24,3914
2019/06/25,3892
2019/06/26,4116
2019/06/27,3849
2019/06/28,4177
2019/06/29,4672
2019/06/30,5149
2019/07/01,5265
2019/07/02,5296
2019/07/03,5286
2019/07/04,5024
2019/07/05,4971
2019/07/06,4859
2019/07/07,4670
2019/07/08,5542
2019/07/09,5580
2019/07/10,5653
2019/07/11,5867
2019/07/12,5688
2019/07/13,6502
2019/07/14,6781
2019/07/15,9183
2019/07/16,9552
2019/07/17,9473
2019/07/18,9349
2019/07/19,9380
2019/07/20,10179
2019/07/21,11100
2019/07/22,10742
2019/07/23,10963
2019/07/24,11067
2019/07/25,11048
2019/07/26,11226
2019/07/27,11228
2019/07/28,11464
2019/07/29,8688
2019/07/30,7381
2019/07/31,6980
2019/08/01,7032
2019/08/02,6871
2019/08/03,6714
2019/08/04,6410
2019/08/05,6298
2019/08/06,6183
2019/08/07,5614
2019/08/08,4236
2019/08/09,4183
2019/08/10,4110
2019/08/11,4181
2019/08/12,4179
2019/08/13,4179
2019/08/14,4205
2019/08/15,3281
2019/08/16,3138
2019/08/17,3079
2019/08/18,2998
2019/08/19,2994
2019/08/20,2963
2019/08/21,2893
2019/08/22,2930
2019/08/23,2923
2019/08/24,2685
2019/08/25,2152
2019/08/26,2772
2019/08/27,2810
2019/08/28,2792
2019/08/29,2792
2019/08/30,2792
2019/08/31,2554
2019/09/01,2147
2019/09/02,2175
2019/09/03,2172
2019/09/04,2207
2019/09/05,2212
2019/09/06,2224
2019/09/07,2328
2019/09/08,2518
2019/09/09,1885
