Date,price7emaUSD
2018/05/12,719.452
2018/05/13,715.536
2018/05/14,716.31
2018/05/15,718.159
2018/05/16,712.394
2018/05/17,709.278
2018/05/18,701.673
2018/05/19,700.508
2018/05/20,703.204
2018/05/21,704.196
2018/05/22,698.511
2018/05/23,677.629
2018/05/24,655.013
2018/05/25,639.961
2018/05/26,629.053
2018/05/27,615.72
2018/05/28,596.394
2018/05/29,583.033
2018/05/30,577.842
2018/05/31,576.507
2018/06/01,576.495
2018/06/02,579.557
2018/06/03,587.456
2018/06/04,591.118
2018/06/05,592.156
2018/06/06,595.383
2018/06/07,598.637
2018/06/08,599.459
2018/06/09,600.611
2018/06/10,590.201
2018/06/11,574.109
2018/06/12,560.847
2018/06/13,540.891
2018/06/14,528.819
2018/06/15,522.062
2018/06/16,515.681
2018/06/17,512.185
2018/06/18,509.746
2018/06/19,514.259
2018/06/20,518.082
2018/06/21,521.965
2018/06/22,514.039
2018/06/23,503.372
2018/06/24,490.355
2018/06/25,482.202
2018/06/26,474.363
2018/06/27,464.438
2018/06/28,457.295
2018/06/29,447.259
2018/06/30,447.935
2018/07/01,449.203
2018/07/02,452.3
2018/07/03,457.434
2018/07/04,459.978
2018/07/05,462.567
2018/07/06,463.732
2018/07/07,465.219
2018/07/08,470.834
2018/07/09,473.553
2018/07/10,467.598
2018/07/11,460.584
2018/07/12,453.953
2018/07/13,449.487
2018/07/14,445.632
2018/07/15,445.112
2018/07/16,449.972
2018/07/17,457.77
2018/07/18,467.081
2018/07/19,468.789
2018/07/20,466.259
2018/07/21,464.609
2018/07/22,464.283
2018/07/23,463.175
2018/07/24,464.334
2018/07/25,466.929
2018/07/26,469.204
2018/07/27,468.135
2018/07/28,467.975
2018/07/29,467.457
2018/07/30,465.494
2018/07/31,459.38
2018/08/01,449.766
2018/08/02,441.29
2018/08/03,433.477
2018/08/04,428.133
2018/08/05,422.817
2018/08/06,419.045
2018/08/07,415.082
2018/08/08,402.913
2018/08/09,392.513
2018/08/10,383.47
2018/08/11,367.265
2018/08/12,355.835
2018/08/13,343.984
2018/08/14,323.914
2018/08/15,314.745
2018/08/16,308.063
2018/08/17,306.035
2018/08/18,305.246
2018/08/19,303.187
2018/08/20,300.215
2018/08/21,294.663
2018/08/22,291.318
2018/08/23,286.865
2018/08/24,284.242
2018/08/25,283.095
2018/08/26,280.765
2018/08/27,279.786
2018/08/28,281.914
2018/08/29,284.498
2018/08/30,283.869
2018/08/31,283.153
2018/09/01,284.978
2018/09/02,287.363
2018/09/03,288.012
2018/09/04,287.898
2018/09/05,282.15
2018/09/06,268.149
2018/09/07,256.823
2018/09/08,245.632
2018/09/09,233.552
2018/09/10,224.225
2018/09/11,215.67
2018/09/12,205.771
2018/09/13,203.64
2018/09/14,206.002
2018/09/15,209.146
2018/09/16,211.373
2018/09/17,211.729
2018/09/18,209.621
2018/09/19,209.575
2018/09/20,209.832
2018/09/21,214.866
2018/09/22,221.325
2018/09/23,226.582
2018/09/24,229.032
2018/09/25,225.356
2018/09/26,222.783
2018/09/27,221.796
2018/09/28,222.834
2018/09/29,223.786
2018/09/30,226.061
2018/10/01,227.203
2018/10/02,227.543
2018/10/03,225.652
2018/10/04,225.177
2018/10/05,224.633
2018/10/06,224.931
2018/10/07,224.737
2018/10/08,225.413
2018/10/09,226.189
2018/10/10,226.047
2018/10/11,219.992
2018/10/12,214.083
2018/10/13,210.451
2018/10/14,208.015
2018/10/15,208.384
2018/10/16,209.008
2018/10/17,209.336
2018/10/18,208.874
2018/10/19,207.658
2018/10/20,207.265
2018/10/21,207.42
2018/10/22,206.991
2018/10/23,206.189
2018/10/24,205.825
2018/10/25,205.071
2018/10/26,204.61
2018/10/27,204.385
2018/10/28,204.302
2018/10/29,203.385
2018/10/30,201.677
2018/10/31,200.483
2018/11/01,199.925
2018/11/02,200.131
2018/11/03,200.168
2018/11/04,201.158
2018/11/05,203.191
2018/11/06,205.741
2018/11/07,209.225
2018/11/08,210.7
2018/11/09,210.896
2018/11/10,211.302
2018/11/11,211.398
2018/11/12,211.545
2018/11/13,211.107
2018/11/14,207.807
2018/11/15,200.577
2018/11/16,195.064
2018/11/17,190.038
2018/11/18,186.838
2018/11/19,180.136
2018/11/20,170.048
2018/11/21,161.139
2018/11/22,154.314
2018/11/23,146.586
2018/11/24,140.662
2018/11/25,133.153
2018/11/26,128.135
2018/11/27,122.904
2018/11/28,121.586
2018/11/29,121.038
2018/11/30,119.706
2018/12/01,118.938
2018/12/02,118.643
2018/12/03,116.996
2018/12/04,115.474
2018/12/05,113.485
2018/12/06,110.11
2018/12/07,104.546
2018/12/08,101.286
2018/12/09,99.524
2018/12/10,97.843
2018/12/11,95.887
2018/12/12,94.587
2018/12/13,93.379
2018/12/14,91.547
2018/12/15,89.811
2018/12/16,89.171
2018/12/17,89.482
2018/12/18,91.005
2018/12/19,94.377
2018/12/20,98.064
2018/12/21,102.107
2018/12/22,104.607
2018/12/23,110.998
2018/12/24,120.093
2018/12/25,122.594
2018/12/26,124.906
2018/12/27,124.932
2018/12/28,124.772
2018/12/29,128.354
2018/12/30,130.869
2018/12/31,132.413
2019/01/01,133.395
2019/01/02,137.425
2019/01/03,141.127
2019/01/04,144.082
2019/01/05,147.841
2019/01/06,149.838
2019/01/07,151.072
2019/01/08,151.082
2019/01/09,151.364
2019/01/10,147.724
2019/01/11,142.642
2019/01/12,138.64
2019/01/13,134.528
2019/01/14,131.398
2019/01/15,130.382
2019/01/16,128.459
2019/01/17,126.825
2019/01/18,125.539
2019/01/19,125.043
2019/01/20,124.122
2019/01/21,122.418
2019/01/22,121.268
2019/01/23,120.57
2019/01/24,119.622
2019/01/25,118.837
2019/01/26,118.321
2019/01/27,117.49
2019/01/28,114.795
2019/01/29,112.413
2019/01/30,111.136
2019/01/31,110.361
2019/02/01,109.424
2019/02/02,108.894
2019/02/03,108.72
2019/02/04,108.325
2019/02/05,107.956
2019/02/06,106.826
2019/02/07,106.273
2019/02/08,107.254
2019/02/09,110.195
2019/02/10,112.295
2019/02/11,114.506
2019/02/12,116.061
2019/02/13,117.701
2019/02/14,118.807
2019/02/15,119.567
2019/02/16,120.379
2019/02/17,121.84
2019/02/18,126.727
2019/02/19,131.859
2019/02/20,135.246
2019/02/21,137.882
2019/02/22,140.282
2019/02/23,142.94
2019/02/24,145.728
2019/02/25,143.971
2019/02/26,142.198
2019/02/27,140.804
2019/02/28,139.813
2019/03/01,138.983
2019/03/02,137.666
2019/03/03,136.5
2019/03/04,134.13
2019/03/05,133.387
2019/03/06,134.378
2019/03/07,135.253
2019/03/08,135.595
2019/03/09,135.905
2019/03/10,135.883
2019/03/11,135.349
2019/03/12,134.809
2019/03/13,134.173
2019/03/14,133.653
2019/03/15,133.988
2019/03/16,135.793
2019/03/17,136.618
2019/03/18,137.095
2019/03/19,137.384
2019/03/20,137.608
2019/03/21,137.61
2019/03/22,137.277
2019/03/23,137.195
2019/03/24,136.964
2019/03/25,136.492
2019/03/26,135.828
2019/03/27,136.328
2019/03/28,136.826
2019/03/29,137.687
2019/03/30,138.979
2019/03/31,139.599
2019/04/01,140.221
2019/04/02,143.433
2019/04/03,150
2019/04/04,152.58
2019/04/05,155.213
2019/04/06,157.714
2019/04/07,160.454
2019/04/08,165.329
2019/04/09,168.197
2019/04/10,170.961
2019/04/11,170.126
2019/04/12,168.603
2019/04/13,167.458
2019/04/14,166.543
2019/04/15,166.141
2019/04/16,165.423
2019/04/17,165.61
2019/04/18,167.315
2019/04/19,168.607
2019/04/20,169.876
2019/04/21,169.907
2019/04/22,170.086
2019/04/23,170.914
2019/04/24,169.651
2019/04/25,168.058
2019/04/26,164.891
2019/04/27,162.977
2019/04/28,161.7
2019/04/29,160.201
2019/04/30,159.775
2019/05/01,160.113
2019/05/02,160.208
2019/05/03,161.716
2019/05/04,162.32
2019/05/05,162.478
2019/05/06,163.622
2019/05/07,166.874
2019/05/08,167.633
2019/05/09,168.228
2019/05/10,169.43
2019/05/11,173.763
2019/05/12,178.215
2019/05/13,182.202
2019/05/14,188.442
2019/05/15,199.504
2019/05/16,214.921
2019/05/17,220.87
2019/05/18,225.258
2019/05/19,232.254
2019/05/20,236.516
2019/05/21,240.657
2019/05/22,243.855
2019/05/23,243.114
2019/05/24,244.675
2019/05/25,246.382
2019/05/26,247.763
2019/05/27,252.965
2019/05/28,257.362
2019/05/29,260.314
2019/05/30,264.076
2019/05/31,262.437
2019/06/01,263.82
2019/06/02,264.969
2019/06/03,264.409
2019/06/04,259.574
2019/06/05,255.665
2019/06/06,252.796
2019/06/07,251.816
2019/06/08,250.542
2019/06/09,247.463
2019/06/10,245.408
2019/06/11,244.93
2019/06/12,246.394
2019/06/13,249.572
2019/06/14,251.282
2019/06/15,254.918
2019/06/16,258.904
2019/06/17,262.008
2019/06/18,263.393
2019/06/19,264.386
2019/06/20,265.568
2019/06/21,271.026
2019/06/22,279.964
2019/06/23,287.969
