Date,sentbyaddress30std
2019/04/25,52022
2019/04/26,51462
2019/04/27,52682
2019/04/28,53746
2019/04/29,53421
2019/04/30,52060
2019/05/01,51985
2019/05/02,50696
2019/05/03,49864
2019/05/04,51037
2019/05/05,51560
2019/05/06,50740
2019/05/07,50503
2019/05/08,50562
2019/05/09,50430
2019/05/10,50437
2019/05/11,49348
2019/05/12,46123
2019/05/13,47211
2019/05/14,48162
2019/05/15,52193
2019/05/16,57815
2019/05/17,59217
2019/05/18,59398
2019/05/19,59369
2019/05/20,54016
2019/05/21,56223
2019/05/22,56902
2019/05/23,57292
2019/05/24,58899
2019/05/25,59185
2019/05/26,58911
2019/05/27,59748
2019/05/28,58379
2019/05/29,58352
2019/05/30,59400
2019/05/31,62285
2019/06/01,73283
2019/06/02,72658
2019/06/03,68780
2019/06/04,65686
2019/06/05,63012
2019/06/06,62955
2019/06/07,61179
2019/06/08,61436
2019/06/09,59876
2019/06/10,58506
2019/06/11,58613
2019/06/12,76678
2019/06/13,76691
2019/06/14,76693
2019/06/15,76434
2019/06/16,84484
2019/06/17,84036
2019/06/18,82877
2019/06/19,82792
2019/06/20,83977
2019/06/21,83615
2019/06/22,83172
2019/06/23,83263
2019/06/24,82471
2019/06/25,81311
2019/06/26,81860
2019/06/27,81825
2019/06/28,82602
2019/06/29,83704
2019/06/30,86391
2019/07/01,80655
2019/07/02,81366
2019/07/03,81398
2019/07/04,81397
2019/07/05,81298
2019/07/06,80999
2019/07/07,82717
2019/07/08,80520
2019/07/09,80516
2019/07/10,80330
2019/07/11,79795
2019/07/12,60764
2019/07/13,64006
2019/07/14,66350
2019/07/15,66382
2019/07/16,55180
2019/07/17,55312
2019/07/18,55735
2019/07/19,55960
2019/07/20,58270
2019/07/21,60149
2019/07/22,59717
2019/07/23,61051
2019/07/24,62572
2019/07/25,62960
2019/07/26,57653
2019/07/27,56657
2019/07/28,57211
2019/07/29,57149
2019/07/30,57897
2019/07/31,57910
2019/08/01,51693
2019/08/02,47773
2019/08/03,46241
2019/08/04,45475
2019/08/05,47272
2019/08/06,49675
2019/08/07,48895
2019/08/08,46086
2019/08/09,45829
2019/08/10,45879
2019/08/11,44492
2019/08/12,47251
2019/08/13,47302
2019/08/14,47043
