Date,fee_to_rewardUSD
2018/08/27,1.673
2018/08/28,1.734
2018/08/29,2.04
2018/08/30,1.949
2018/08/31,2.01
2018/09/01,1.647
2018/09/02,1.517
2018/09/03,1.698
2018/09/04,2.067
2018/09/05,1.673
2018/09/06,2.248
2018/09/07,2.237
2018/09/08,1.864
2018/09/09,1.979
2018/09/10,2.032
2018/09/11,2.339
2018/09/12,2.335
2018/09/13,2.354
2018/09/14,1.803
2018/09/15,1.751
2018/09/16,1.683
2018/09/17,1.982
2018/09/18,2.05
2018/09/19,3.068
2018/09/20,2.264
2018/09/21,2.801
2018/09/22,1.944
2018/09/23,1.721
2018/09/24,2.413
2018/09/25,2.321
2018/09/26,2.441
2018/09/27,2.603
2018/09/28,2.844
2018/09/29,2.898
2018/09/30,2.393
2018/10/01,2.821
2018/10/02,2.943
2018/10/03,2.06
2018/10/04,2.05
2018/10/05,2.014
2018/10/06,1.355
2018/10/07,1.458
2018/10/08,1.985
2018/10/09,1.801
2018/10/10,2.073
2018/10/11,2.162
2018/10/12,2.084
2018/10/13,1.537
2018/10/14,1.348
2018/10/15,1.9
2018/10/16,1.636
2018/10/17,1.774
2018/10/18,1.682
2018/10/19,1.927
2018/10/20,1.679
2018/10/21,1.548
2018/10/22,1.861
2018/10/23,1.853
2018/10/24,2.18
2018/10/25,2.489
2018/10/26,2.2
2018/10/27,1.629
2018/10/28,1.545
2018/10/29,1.97
2018/10/30,1.958
2018/10/31,1.932
2018/11/01,1.892
2018/11/02,2.078
2018/11/03,1.728
2018/11/04,1.65
2018/11/05,2.311
2018/11/06,2.35
2018/11/07,2.137
2018/11/08,2.318
2018/11/09,1.917
2018/11/10,1.383
2018/11/11,1.297
2018/11/12,2.052
2018/11/13,2.208
2018/11/14,2.674
2018/11/15,2.921
2018/11/16,2.511
2018/11/17,1.929
2018/11/18,2.116
2018/11/19,2.951
2018/11/20,3.017
2018/11/21,2.446
2018/11/22,2.366
2018/11/23,2.462
2018/11/24,2.139
2018/11/25,2.476
2018/11/26,2.436
2018/11/27,2.308
2018/11/28,2.992
2018/11/29,3.344
2018/11/30,4.101
2018/12/01,2.773
2018/12/02,2.477
2018/12/03,2.875
2018/12/04,2.913
2018/12/05,3.092
2018/12/06,2.422
2018/12/07,2.366
2018/12/08,1.714
2018/12/09,1.666
2018/12/10,1.926
2018/12/11,1.864
2018/12/12,1.795
2018/12/13,1.965
2018/12/14,1.982
2018/12/15,1.612
2018/12/16,1.498
2018/12/17,1.964
2018/12/18,2.19
2018/12/19,2.242
2018/12/20,2.235
2018/12/21,2.153
2018/12/22,1.642
2018/12/23,1.827
2018/12/24,2.153
2018/12/25,2.187
2018/12/26,1.916
2018/12/27,1.718
2018/12/28,1.834
2018/12/29,1.607
2018/12/30,2.766
2018/12/31,1.678
2019/01/01,1.514
2019/01/02,1.73
2019/01/03,1.753
2019/01/04,1.909
2019/01/05,1.94
2019/01/06,1.591
2019/01/07,1.672
2019/01/08,1.686
2019/01/09,1.592
2019/01/10,1.936
2019/01/11,1.783
2019/01/12,1.344
2019/01/13,1.421
2019/01/14,2.663
2019/01/15,2.197
2019/01/16,2.048
2019/01/17,1.785
2019/01/18,1.97
2019/01/19,1.758
2019/01/20,1.666
2019/01/21,2.061
2019/01/22,2.469
2019/01/23,2.095
2019/01/24,2.112
2019/01/25,1.931
2019/01/26,1.64
2019/01/27,1.646
2019/01/28,2.311
2019/01/29,2.04
2019/01/30,2.158
2019/01/31,2.383
2019/02/01,2.24
2019/02/02,1.765
2019/02/03,1.608
2019/02/04,1.656
2019/02/05,1.679
2019/02/06,1.784
2019/02/07,1.838
2019/02/08,2.03
2019/02/09,1.824
2019/02/10,1.97
2019/02/11,2.334
2019/02/12,2.268
2019/02/13,2.606
2019/02/14,2.497
2019/02/15,2.965
2019/02/16,2.588
2019/02/17,2.636
2019/02/18,3.468
2019/02/19,3.436
2019/02/20,3.283
2019/02/21,3.204
2019/02/22,3.055
2019/02/23,2.694
2019/02/24,3.271
2019/02/25,3.688
2019/02/26,3.66
2019/02/27,3.338
2019/02/28,3.809
2019/03/01,2.869
2019/03/02,2.483
2019/03/03,2.307
2019/03/04,2.951
2019/03/05,2.932
2019/03/06,2.853
2019/03/07,2.824
2019/03/08,2.79
2019/03/09,2.522
2019/03/10,2.149
2019/03/11,2.442
2019/03/12,2.449
2019/03/13,2.404
2019/03/14,2.23
2019/03/15,2.271
2019/03/16,1.872
2019/03/17,1.912
2019/03/18,2.84
2019/03/19,2.937
2019/03/20,2.646
2019/03/21,3.709
2019/03/22,3.132
2019/03/23,2.39
2019/03/24,2.392
2019/03/25,3.002
2019/03/26,3.084
2019/03/27,3.315
2019/03/28,2.964
2019/03/29,3.34
2019/03/30,2.646
2019/03/31,2.643
2019/04/01,3.281
2019/04/02,3.815
2019/04/03,4.454
2019/04/04,3.406
2019/04/05,2.702
2019/04/06,2.378
2019/04/07,2.418
2019/04/08,3.06
2019/04/09,2.72
2019/04/10,4.368
2019/04/11,10.34
2019/04/12,9.126
2019/04/13,7.223
2019/04/14,6.768
2019/04/15,7.843
2019/04/16,9.561
2019/04/17,10.298
2019/04/18,11.273
2019/04/19,6.129
2019/04/20,2.028
2019/04/21,2.156
2019/04/22,2.466
2019/04/23,2.616
2019/04/24,2.527
2019/04/25,2.198
2019/04/26,2.775
2019/04/27,1.828
2019/04/28,1.928
2019/04/29,2.121
2019/04/30,2.284
2019/05/01,2.314
2019/05/02,2.742
2019/05/03,2.595
2019/05/04,2.132
2019/05/05,2.222
2019/05/06,2.737
2019/05/07,3.241
2019/05/08,2.745
2019/05/09,2.667
2019/05/10,2.932
2019/05/11,2.501
2019/05/12,2.501
2019/05/13,3.093
2019/05/14,3.599
2019/05/15,4.437
2019/05/16,6.033
2019/05/17,4.929
2019/05/18,3.809
2019/05/19,3.292
2019/05/20,3.896
2019/05/21,3.219
2019/05/22,4.322
2019/05/23,3.776
2019/05/24,4.052
2019/05/25,3.037
2019/05/26,2.473
2019/05/27,4.179
2019/05/28,4.09
2019/05/29,4.196
2019/05/30,4.752
2019/05/31,4.172
2019/06/01,4.054
2019/06/02,2.915
2019/06/03,3.637
