Date,hashrate30sma
2017/10/07,1.044948243958E+14
2017/10/08,1.0440614603202E+14
2017/10/09,1.0442704340068E+14
2017/10/10,1.0454794773114E+14
2017/10/11,1.0477405968132E+14
2017/10/12,1.0468668543677E+14
2017/10/13,1.0490489702556E+14
2017/10/14,1.0488861394928E+14
2017/10/15,1.04867279718E+14
2017/10/16,1.0501928830758E+14
2017/10/17,1.0523352015479E+14
2017/10/18,1.054985698355E+14
2017/10/19,1.058104274271E+14
2017/10/20,1.0613784197012E+14
2017/10/21,1.0638129637179E+14
2017/10/22,1.0673124886513E+14
2017/10/23,1.0719155909178E+14
2017/10/24,1.0768872885126E+14
2017/10/25,1.0825994310394E+14
2017/10/26,1.0865290005453E+14
2017/10/27,1.0513070557584E+14
2017/10/28,1.0173521007376E+14
2017/10/29,98477106062853
2017/10/30,95235475803828
2017/10/31,91840328869561
2017/11/01,92490428482947
2017/11/02,92964909462108
2017/11/03,93286421595780
2017/11/04,93427210462297
2017/11/05,93902077190196
2017/11/06,94366267235312
2017/11/07,94694851931901
2017/11/08,95076255685834
2017/11/09,95343262588690
2017/11/10,95559361568732
2017/11/11,95901761830576
2017/11/12,96173940346189
2017/11/13,96585838461361
2017/11/14,96789908272093
2017/11/15,96910353119157
2017/11/16,96817532082496
2017/11/17,96779156090811
2017/11/18,96563443586453
2017/11/19,96421433444954
2017/11/20,96538954216393
2017/11/21,96534837901721
2017/11/22,96556224129543
2017/11/23,96573148597579
2017/11/24,96777622554806
2017/11/25,97129157811360
2017/11/26,1.013010006181E+14
2017/11/27,1.0541508123998E+14
2017/11/28,1.0946095746216E+14
2017/11/29,1.1357464306423E+14
2017/11/30,1.1773524342267E+14
2017/12/01,1.1788577134544E+14
2017/12/02,1.1822062054975E+14
2017/12/03,1.1848519725971E+14
2017/12/04,1.1894854479999E+14
2017/12/05,1.1916128704832E+14
2017/12/06,1.1946259556582E+14
2017/12/07,1.1983737227087E+14
2017/12/08,1.2021049484269E+14
2017/12/09,1.2068309858377E+14
2017/12/10,1.2104795283364E+14
2017/12/11,1.2146800858468E+14
2017/12/12,1.2182555932529E+14
2017/12/13,1.223781050632E+14
2017/12/14,1.2314119011409E+14
2017/12/15,1.2408720760128E+14
2017/12/16,1.2509714806707E+14
2017/12/17,1.2610749383833E+14
2017/12/18,1.2730265159062E+14
2017/12/19,1.2836141672746E+14
2017/12/20,1.2914761777752E+14
2017/12/21,1.2998590008252E+14
2017/12/22,1.308136936854E+14
2017/12/23,1.3172671999508E+14
2017/12/24,1.3253040925681E+14
2017/12/25,1.3337453161124E+14
2017/12/26,1.3425197892464E+14
2017/12/27,1.3522223262081E+14
2017/12/28,1.3639660088182E+14
2017/12/29,1.3740441780266E+14
2017/12/30,1.3840120652634E+14
2017/12/31,1.3944842487863E+14
2018/01/01,1.4057502506796E+14
2018/01/02,1.4181549430511E+14
2018/01/03,1.4291200665269E+14
2018/01/04,1.4421564953521E+14
2018/01/05,1.4564000184532E+14
2018/01/06,1.4690400597167E+14
2018/01/07,1.4829145635683E+14
2018/01/08,1.4963877363624E+14
2018/01/09,1.5110774167742E+14
2018/01/10,1.5263964045678E+14
2018/01/11,1.5433053700845E+14
2018/01/12,1.5587435352443E+14
2018/01/13,1.5732304151781E+14
2018/01/14,1.5871116733553E+14
2018/01/15,160030760854847
2018/01/16,1.6150467396542E+14
2018/01/17,1.6295786170804E+14
2018/01/18,1.6444600344641E+14
2018/01/19,1.6594677519733E+14
2018/01/20,1.6770376646213E+14
2018/01/21,1.6934577597495E+14
2018/01/22,1.7092841795522E+14
2018/01/23,1.7251653714526E+14
2018/01/24,1.7421781752726E+14
2018/01/25,1.7595043167029E+14
2018/01/26,1.776483903342E+14
2018/01/27,1.7916261863489E+14
2018/01/28,1.8086657329825E+14
2018/01/29,1.8281098425691E+14
2018/01/30,1.845947006026E+14
2018/01/31,1.8647729076194E+14
2018/02/01,1.885397198685E+14
2018/02/02,1.9072624968564E+14
2018/02/03,1.9276600484801E+14
2018/02/04,1.9467237028538E+14
2018/02/05,1.9688042636944E+14
2018/02/06,1.988027323366E+14
2018/02/07,2.009120220187E+14
2018/02/08,2.0287002418873E+14
2018/02/09,2.0482237223683E+14
2018/02/10,2.0664525416929E+14
2018/02/11,2.0851511369274E+14
2018/02/12,2.1051600892297E+14
2018/02/13,2.1242374499706E+14
2018/02/14,2.1424780856622E+14
2018/02/15,2.1595771326008E+14
2018/02/16,2.176942556402E+14
2018/02/17,2.1950056400324E+14
2018/02/18,2.2132515236662E+14
2018/02/19,2.2286559452056E+14
2018/02/20,2.2443724666272E+14
2018/02/21,2.2592402451202E+14
2018/02/22,227491951171644
2018/02/23,2.2896726144078E+14
2018/02/24,2.3033424497357E+14
2018/02/25,2.3189326319238E+14
2018/02/26,2.3340797836721E+14
2018/02/27,234692394399850
2018/02/28,2.3599196026931E+14
2018/03/01,2.3741794478979E+14
2018/03/02,2.3872111273764E+14
2018/03/03,2.4003520418633E+14
2018/03/04,2.4100689232232E+14
2018/03/05,2.4203122528476E+14
2018/03/06,2.4308235728914E+14
2018/03/07,2.442186169051E+14
2018/03/08,2.4541626224889E+14
2018/03/09,246233412438322
2018/03/10,2.4722003928249E+14
2018/03/11,2.4805529626457E+14
2018/03/12,2.4889951661023E+14
2018/03/13,2.4965591682918E+14
2018/03/14,2.5016826852849E+14
2018/03/15,2.5073355495481E+14
2018/03/16,2.5181511398587E+14
2018/03/17,2.5276532636794E+14
2018/03/18,2.5348950028378E+14
2018/03/19,2.5423144958088E+14
2018/03/20,2.5501600921698E+14
2018/03/21,2.5570853459824E+14
2018/03/22,2.5649004329189E+14
2018/03/23,2.5724640294605E+14
2018/03/24,2.5787875185158E+14
2018/03/25,2.5847456525415E+14
2018/03/26,2.5935807953643E+14
2018/03/27,2.5984292516752E+14
2018/03/28,2.6040614580282E+14
2018/03/29,2.6095563934439E+14
2018/03/30,2.6131485269638E+14
2018/03/31,2.6151438254261E+14
2018/04/01,2.6166798050374E+14
2018/04/02,2.6164771647222E+14
2018/04/03,2.6165935636028E+14
2018/04/04,2.6171668743547E+14
2018/04/05,2.6180507294914E+14
2018/04/06,2.6183189346354E+14
2018/04/07,2.6174034866891E+14
2018/04/08,2.6178876976569E+14
2018/04/09,2.6147224941081E+14
2018/04/10,261406215179901
2018/04/11,2.6119760119145E+14
2018/04/12,2.6096272209018E+14
2018/04/13,2.609075395168E+14
2018/04/14,2.6075928256957E+14
2018/04/15,2.6030424766826E+14
2018/04/16,2.5993996822026E+14
2018/04/17,2.5963760788598E+14
2018/04/18,2.5908618855169E+14
2018/04/19,2.5873384728922E+14
2018/04/20,2.5828829122578E+14
2018/04/21,2.5818036086627E+14
2018/04/22,2.5792476212422E+14
2018/04/23,2.5786583917406E+14
2018/04/24,2.5759198964587E+14
2018/04/25,2.5715345387302E+14
2018/04/26,2.5723926306559E+14
2018/04/27,2.5702284777218E+14
2018/04/28,2.5683801992705E+14
2018/04/29,2.5693139313849E+14
2018/04/30,2.5709654002707E+14
2018/05/01,2.5699245479581E+14
2018/05/02,2.5706589210032E+14
2018/05/03,2.5737025503554E+14
2018/05/04,2.5769621235277E+14
2018/05/05,2.5811599924783E+14
2018/05/06,2.5833515378541E+14
2018/05/07,2.5889119472816E+14
2018/05/08,2.5941512674094E+14
2018/05/09,2.6009754081593E+14
2018/05/10,2.6056821584346E+14
2018/05/11,2.6121783064258E+14
2018/05/12,2.621102927265E+14
2018/05/13,2.62895090711E+14
2018/05/14,2.6349085066964E+14
2018/05/15,2.6396994733186E+14
2018/05/16,2.6443003314107E+14
2018/05/17,2.6499401533461E+14
2018/05/18,2.6570309818639E+14
2018/05/19,2.6621567177865E+14
2018/05/20,2.6706633115135E+14
2018/05/21,2.6767947018691E+14
2018/05/22,2.6829163769026E+14
2018/05/23,2.6873997425409E+14
2018/05/24,2.6903195529586E+14
2018/05/25,2.6931929030531E+14
2018/05/26,2.6943353051209E+14
2018/05/27,2.6965005000939E+14
2018/05/28,2.7014279074032E+14
2018/05/29,2.7022493114682E+14
2018/05/30,2.7028245228984E+14
2018/05/31,2.7080772019627E+14
2018/06/01,2.7078014301062E+14
2018/06/02,2.7095004694607E+14
2018/06/03,2.7095499100007E+14
2018/06/04,2.708565969119E+14
2018/06/05,2.7071673561138E+14
2018/06/06,2.7033513912634E+14
2018/06/07,2.701286523306E+14
2018/06/08,2.7008629157384E+14
2018/06/09,2.7042487284587E+14
2018/06/10,2.7031433111664E+14
2018/06/11,2.7015759714881E+14
2018/06/12,2.7014041930337E+14
2018/06/13,2.7004989690007E+14
2018/06/14,2.7006199872508E+14
2018/06/15,2.7003595310371E+14
2018/06/16,2.7000653516363E+14
2018/06/17,2.6997556887103E+14
2018/06/18,2.7024085221184E+14
2018/06/19,2.7046304163738E+14
2018/06/20,2.7049203404482E+14
2018/06/21,2.7075052713104E+14
2018/06/22,2.710946572986E+14
2018/06/23,2.7163562169794E+14
2018/06/24,2.7214280651437E+14
2018/06/25,2.725400413133E+14
2018/06/26,2.7306368034103E+14
2018/06/27,2.7370035635763E+14
2018/06/28,2.7407707049799E+14
2018/06/29,2.7445264130552E+14
2018/06/30,2.7496891447623E+14
2018/07/01,275471173086697
2018/07/02,2.7590253881357E+14
2018/07/03,2.7654350356507E+14
2018/07/04,2.7706244575336E+14
2018/07/05,2.7791884551045E+14
2018/07/06,2.7866959920967E+14
2018/07/07,2.7945069439443E+14
2018/07/08,2.7999638774103E+14
2018/07/09,2.8041290250121E+14
2018/07/10,2.809400318803E+14
2018/07/11,2.8105463498107E+14
2018/07/12,2.8115184049788E+14
2018/07/13,2.8140954922444E+14
2018/07/14,2.8169821111936E+14
2018/07/15,2.8206905981229E+14
2018/07/16,2.8235856659755E+14
2018/07/17,2.8292195176777E+14
2018/07/18,2.8306633400787E+14
2018/07/19,2.8301420390112E+14
2018/07/20,2.8291868682082E+14
2018/07/21,2.8233724378391E+14
2018/07/22,2.8211403581414E+14
2018/07/23,2.8234066624341E+14
2018/07/24,2.823718646817E+14
2018/07/25,2.8261254112597E+14
2018/07/26,2.8285794724821E+14
2018/07/27,2.8281878186949E+14
2018/07/28,2.8311494894532E+14
2018/07/29,2.8352746224754E+14
2018/07/30,2.8357223800304E+14
2018/07/31,2.8404203261315E+14
2018/08/01,2.842459425406E+14
2018/08/02,2.8449134802947E+14
2018/08/03,2.845819935562E+14
2018/08/04,2.8460238273718E+14
2018/08/05,2.8478473424105E+14
2018/08/06,2.848649830464E+14
2018/08/07,2.8509066632342E+14
2018/08/08,2.8516703521578E+14
2018/08/09,2.8551527070921E+14
2018/08/10,2.8599989607559E+14
2018/08/11,286420531270478
2018/08/12,286666395678324
2018/08/13,2.8689102302886E+14
2018/08/14,2.8710265824246E+14
2018/08/15,2.8720244829346E+14
2018/08/16,2.8695163104799E+14
2018/08/17,2.8697630255173E+14
2018/08/18,2.8696083638791E+14
2018/08/19,2.8715197448728E+14
2018/08/20,2.8776836904145E+14
2018/08/21,2.8804346130066E+14
