Date,sentbyaddress7sma
2018/07/15,152648
2018/07/16,158457
2018/07/17,164330
2018/07/18,180584
2018/07/19,194198
2018/07/20,205526
2018/07/21,211457
2018/07/22,224934
2018/07/23,233966
2018/07/24,244281
2018/07/25,244835
2018/07/26,245551
2018/07/27,255084
2018/07/28,262014
2018/07/29,263320
2018/07/30,259017
2018/07/31,250982
2018/08/01,245405
2018/08/02,245279
2018/08/03,243608
2018/08/04,245061
2018/08/05,241606
2018/08/06,238798
2018/08/07,234366
2018/08/08,224296
2018/08/09,211817
2018/08/10,201812
2018/08/11,201111
2018/08/12,203836
2018/08/13,204191
2018/08/14,205584
2018/08/15,210244
2018/08/16,221659
2018/08/17,223496
2018/08/18,219726
2018/08/19,215004
2018/08/20,213301
2018/08/21,207791
2018/08/22,205018
2018/08/23,196578
2018/08/24,196191
2018/08/25,195263
2018/08/26,196933
2018/08/27,197377
2018/08/28,199375
2018/08/29,195921
2018/08/30,194942
2018/08/31,191378
2018/09/01,193378
2018/09/02,194369
2018/09/03,193646
2018/09/04,195075
2018/09/05,200175
2018/09/06,201513
2018/09/07,203230
2018/09/08,200060
2018/09/09,196338
2018/09/10,191330
2018/09/11,184953
2018/09/12,178796
2018/09/13,177159
2018/09/14,171675
2018/09/15,163068
2018/09/16,154049
2018/09/17,151139
2018/09/18,148537
2018/09/19,144691
2018/09/20,140936
2018/09/21,140804
2018/09/22,142139
2018/09/23,143962
2018/09/24,140275
2018/09/25,140691
2018/09/26,140020
2018/09/27,138541
2018/09/28,135212
2018/09/29,132533
2018/09/30,133903
2018/10/01,132850
2018/10/02,130112
2018/10/03,136541
2018/10/04,141912
2018/10/05,151327
2018/10/06,162740
2018/10/07,163304
2018/10/08,168460
2018/10/09,175343
2018/10/10,172753
2018/10/11,172632
2018/10/12,167651
2018/10/13,163652
2018/10/14,163501
2018/10/15,164736
2018/10/16,165908
2018/10/17,171169
2018/10/18,171408
2018/10/19,173301
2018/10/20,172836
2018/10/21,173893
2018/10/22,176103
2018/10/23,175650
2018/10/24,173679
2018/10/25,173350
2018/10/26,173527
2018/10/27,173098
2018/10/28,171152
2018/10/29,171820
2018/10/30,174723
2018/10/31,176229
2018/11/01,176133
2018/11/02,171722
2018/11/03,168863
2018/11/04,169791
2018/11/05,166472
2018/11/06,161705
2018/11/07,155374
2018/11/08,151607
2018/11/09,154608
2018/11/10,155861
2018/11/11,159391
2018/11/12,159263
2018/11/13,158340
2018/11/14,161866
2018/11/15,164448
2018/11/16,162374
2018/11/17,160551
2018/11/18,154640
2018/11/19,159956
2018/11/20,163078
2018/11/21,160501
2018/11/22,158938
2018/11/23,158792
2018/11/24,157977
2018/11/25,159988
2018/11/26,152618
2018/11/27,148181
2018/11/28,148299
2018/11/29,146704
2018/11/30,147220
2018/12/01,147310
2018/12/02,145136
2018/12/03,143670
2018/12/04,142133
2018/12/05,142587
2018/12/06,143927
2018/12/07,145612
2018/12/08,152960
2018/12/09,156009
2018/12/10,158145
2018/12/11,159354
2018/12/12,158716
2018/12/13,158588
2018/12/14,156045
