Date,confirmationtime7roc
2019/01/30,0.849
2019/01/31,3.143
2019/02/01,5.322
2019/02/02,2.432
2019/02/03,3.191
2019/02/04,-1.094
2019/02/05,-0.612
2019/02/06,1.165
2019/02/07,0.264
2019/02/08,-1.523
2019/02/09,0.714
2019/02/10,13.029
2019/02/11,17.712
2019/02/12,14.674
2019/02/13,17.342
2019/02/14,18.051
2019/02/15,18.398
2019/02/16,16.004
2019/02/17,3.842
2019/02/18,-0.024
2019/02/19,-0.35
2019/02/20,-1.721
2019/02/21,-2.023
2019/02/22,-1.888
2019/02/23,-2.963
2019/02/24,-2.703
2019/02/25,-0.991
2019/02/26,0.164
2019/02/27,-0.911
2019/02/28,-2.611
2019/03/01,-29.296
2019/03/02,-32.006
2019/03/03,-33.312
2019/03/04,-33.615
2019/03/05,-33.411
2019/03/06,-33.099
2019/03/07,-32.184
2019/03/08,-6.168
2019/03/09,0.361
2019/03/10,-2.057
2019/03/11,-0.078
2019/03/12,-0.372
2019/03/13,0
2019/03/14,0.249
2019/03/15,-0.56
2019/03/16,-2.027
2019/03/17,1.528
2019/03/18,0.33
2019/03/19,0.577
2019/03/20,-1.174
2019/03/21,0.785
2019/03/22,0.234
2019/03/23,1.244
2019/03/24,-0.264
2019/03/25,-0.949
2019/03/26,0.912
2019/03/27,0.263
2019/03/28,-0.016
2019/03/29,0.628
2019/03/30,0.942
2019/03/31,0.234
2019/04/01,0.14
2019/04/02,0.016
2019/04/03,1.926
2019/04/04,-0.515
2019/04/05,-0.902
2019/04/06,-1.255
2019/04/07,-0.911
2019/04/08,-0.326
2019/04/09,-1.12
2019/04/10,-1.844
2019/04/11,0.345
2019/04/12,0.125
2019/04/13,-0.478
2019/04/14,0.841
2019/04/15,-0.031
2019/04/16,0.328
2019/04/17,1.16
2019/04/18,-0.343
2019/04/19,-0.465
2019/04/20,1.774
2019/04/21,-0.619
2019/04/22,0.218
2019/04/23,1.779
2019/04/24,-0.172
2019/04/25,-0.928
2019/04/26,-0.046
2019/04/27,-1.637
2019/04/28,1.143
2019/04/29,-0.356
