Date,transactionfeesUSD
2018/12/31,0.0872
2019/01/01,0.0921
2019/01/02,0.0878
2019/01/03,0.0837
2019/01/04,0.1
2019/01/05,0.154
2019/01/06,0.0958
2019/01/07,0.0945
2019/01/08,0.0855
2019/01/09,0.0815
2019/01/10,0.0857
2019/01/11,0.0779
2019/01/12,0.0691
2019/01/13,0.0676
2019/01/14,0.107
2019/01/15,0.0997
2019/01/16,0.104
2019/01/17,0.0777
2019/01/18,0.0835
2019/01/19,0.0759
2019/01/20,0.0693
2019/01/21,0.0716
2019/01/22,0.0946
2019/01/23,0.0764
2019/01/24,0.0797
2019/01/25,0.0749
2019/01/26,0.0685
2019/01/27,0.0636
2019/01/28,0.07
2019/01/29,0.0611
2019/01/30,0.0678
2019/01/31,0.0816
2019/02/01,0.0766
2019/02/02,0.0684
2019/02/03,0.0647
2019/02/04,0.0687
2019/02/05,0.0695
2019/02/06,0.0684
2019/02/07,0.0739
2019/02/08,0.0765
2019/02/09,0.0834
2019/02/10,0.0853
2019/02/11,0.0907
2019/02/12,0.0873
2019/02/13,0.089
2019/02/14,0.102
2019/02/15,0.106
2019/02/16,0.0974
2019/02/17,0.101
2019/02/18,0.136
2019/02/19,1.235
2019/02/20,0.128
2019/02/21,0.12
2019/02/22,0.118
2019/02/23,0.122
2019/02/24,0.133
2019/02/25,0.127
2019/02/26,0.13
2019/02/27,0.121
2019/02/28,0.138
2019/03/01,0.0979
2019/03/02,0.0908
2019/03/03,0.0896
2019/03/04,0.0878
2019/03/05,0.0943
2019/03/06,0.0983
2019/03/07,0.099
2019/03/08,0.0986
2019/03/09,0.0889
2019/03/10,0.0882
2019/03/11,0.0873
2019/03/12,0.0842
2019/03/13,0.0801
2019/03/14,0.0744
2019/03/15,0.081
2019/03/16,0.0765
2019/03/17,0.0873
2019/03/18,0.623
2019/03/19,0.0939
2019/03/20,0.0857
2019/03/21,0.126
2019/03/22,0.1
2019/03/23,0.0851
2019/03/24,0.0862
2019/03/25,0.0913
2019/03/26,0.097
2019/03/27,0.11
2019/03/28,0.0946
2019/03/29,0.107
2019/03/30,0.0819
2019/03/31,0.0857
2019/04/01,0.101
2019/04/02,0.114
2019/04/03,0.151
2019/04/04,0.12
2019/04/05,0.103
2019/04/06,0.102
2019/04/07,0.104
2019/04/08,0.121
2019/04/09,0.107
2019/04/10,0.144
2019/04/11,0.107
2019/04/12,0.0955
2019/04/13,0.0887
2019/04/14,0.0923
2019/04/15,0.094
2019/04/16,0.103
2019/04/17,0.106
2019/04/18,0.111
2019/04/19,0.0927
2019/04/20,0.0737
2019/04/21,0.0838
2019/04/22,0.0854
2019/04/23,0.0927
2019/04/24,0.0914
2019/04/25,0.0764
2019/04/26,0.0959
2019/04/27,0.0738
2019/04/28,0.0735
2019/04/29,0.0764
