Date,activeaddresses90rsi
2018/09/25,48.593
2018/09/26,48.302
2018/09/27,48.519
2018/09/28,48.598
2018/09/29,47.968
2018/09/30,48.605
2018/10/01,48.379
2018/10/02,48.285
2018/10/03,49.193
2018/10/04,49.331
2018/10/05,49.657
2018/10/06,49.994
2018/10/07,48.803
2018/10/08,49.116
2018/10/09,49.175
2018/10/10,48.842
2018/10/11,49.229
2018/10/12,49.041
2018/10/13,49.11
2018/10/14,48.975
2018/10/15,49.561
2018/10/16,49.691
2018/10/17,49.744
2018/10/18,49.483
2018/10/19,49.414
2018/10/20,49.266
2018/10/21,48.929
2018/10/22,49.746
2018/10/23,49.498
2018/10/24,49.443
2018/10/25,49.323
2018/10/26,49.467
2018/10/27,48.949
2018/10/28,48.983
2018/10/29,50.043
2018/10/30,50.023
2018/10/31,49.882
2018/11/01,49.522
2018/11/02,48.808
2018/11/03,48.631
2018/11/04,48.711
2018/11/05,49.522
2018/11/06,49.287
2018/11/07,48.987
2018/11/08,48.874
2018/11/09,49.297
2018/11/10,48.84
2018/11/11,49.564
2018/11/12,49.417
2018/11/13,49.189
2018/11/14,49.449
2018/11/15,49.274
2018/11/16,49.028
2018/11/17,48.656
2018/11/18,48.402
2018/11/19,50.157
2018/11/20,49.87
2018/11/21,49.086
2018/11/22,48.899
2018/11/23,49.001
2018/11/24,48.313
2018/11/25,48.909
2018/11/26,49.021
2018/11/27,48.764
2018/11/28,49.39
2018/11/29,48.747
2018/11/30,49.255
2018/12/01,48.528
2018/12/02,48.346
2018/12/03,48.831
2018/12/04,48.692
2018/12/05,49.176
2018/12/06,49.086
2018/12/07,49.442
2018/12/08,49.702
2018/12/09,49.063
2018/12/10,49.498
2018/12/11,48.885
2018/12/12,48.871
2018/12/13,48.917
2018/12/14,48.94
2018/12/15,49.155
2018/12/16,49.527
2018/12/17,49.277
2018/12/18,48.902
2018/12/19,49.473
2018/12/20,49.513
2018/12/21,49.338
2018/12/22,48.323
2018/12/23,48.936
2018/12/24,49.681
2018/12/25,48.931
2018/12/26,49.185
2018/12/27,49.203
2018/12/28,49.611
2018/12/29,49.367
2018/12/30,48.649
2018/12/31,49.06
2019/01/01,48.462
2019/01/02,49.336
2019/01/03,49.756
2019/01/04,49.13
2019/01/05,48.809
2019/01/06,48.847
2019/01/07,49.599
2019/01/08,49.788
2019/01/09,49.711
2019/01/10,49.598
2019/01/11,49.241
2019/01/12,48.07
2019/01/13,48.465
2019/01/14,50.137
2019/01/15,49.529
2019/01/16,48.957
2019/01/17,48.864
2019/01/18,49.021
2019/01/19,48.646
2019/01/20,48.394
2019/01/21,48.923
2019/01/22,48.677
2019/01/23,49.056
2019/01/24,48.9
2019/01/25,49.044
2019/01/26,48.464
2019/01/27,48.931
2019/01/28,49.818
2019/01/29,49.226
2019/01/30,49.017
2019/01/31,48.988
2019/02/01,48.676
2019/02/02,48.035
2019/02/03,47.614
2019/02/04,47.447
2019/02/05,47.529
2019/02/06,47.708
2019/02/07,47.575
2019/02/08,48.152
2019/02/09,47.684
2019/02/10,47.315
2019/02/11,48.024
2019/02/12,48.198
2019/02/13,48.469
2019/02/14,48.455
2019/02/15,48.639
2019/02/16,48.26
2019/02/17,48.115
2019/02/18,49.582
2019/02/19,49.442
2019/02/20,48.913
2019/02/21,48.625
2019/02/22,48.791
2019/02/23,48.478
2019/02/24,48.974
2019/02/25,49.16
2019/02/26,49.187
2019/02/27,49.255
2019/02/28,49.398
2019/03/01,49.55
2019/03/02,49.07
2019/03/03,48.542
2019/03/04,49.784
2019/03/05,49.886
2019/03/06,49.85
2019/03/07,49.692
2019/03/08,49.777
2019/03/09,49.677
2019/03/10,48.544
2019/03/11,49.257
2019/03/12,49.901
2019/03/13,49.76
2019/03/14,49.867
2019/03/15,49.538
2019/03/16,48.782
2019/03/17,49.138
2019/03/18,50.177
2019/03/19,50.454
2019/03/20,50.755
2019/03/21,50.109
2019/03/22,50.284
2019/03/23,49.534
2019/03/24,49.615
2019/03/25,51.287
2019/03/26,51.095
2019/03/27,50.778
2019/03/28,51.058
2019/03/29,50.846
2019/03/30,50.799
2019/03/31,50.071
2019/04/01,52.336
2019/04/02,53.117
2019/04/03,52.604
2019/04/04,51.233
2019/04/05,50.806
2019/04/06,49.92
2019/04/07,50.431
2019/04/08,51.591
2019/04/09,51.439
2019/04/10,51.014
2019/04/11,52.103
2019/04/12,52.046
2019/04/13,50.567
2019/04/14,49.36
2019/04/15,50.817
2019/04/16,50.854
2019/04/17,50.926
2019/04/18,51.065
2019/04/19,51.727
2019/04/20,52.739
2019/04/21,51.541
2019/04/22,52.067
2019/04/23,52.143
2019/04/24,51.311
2019/04/25,50.967
2019/04/26,50.885
2019/04/27,49.398
2019/04/28,49.71
2019/04/29,50.368
2019/04/30,51.119
2019/05/01,51.467
2019/05/02,49.958
2019/05/03,50.387
2019/05/04,49.747
2019/05/05,50.004
2019/05/06,50.789
2019/05/07,50.655
2019/05/08,50.97
2019/05/09,51.108
2019/05/10,51.603
2019/05/11,51.344
2019/05/12,50.916
2019/05/13,52.217
2019/05/14,53.083
2019/05/15,53.553
2019/05/16,54.187
2019/05/17,52.701
2019/05/18,51.51
2019/05/19,51.261
2019/05/20,52.132
2019/05/21,52.966
2019/05/22,52.253
2019/05/23,52.421
2019/05/24,52.828
2019/05/25,52.175
2019/05/26,51.409
2019/05/27,53.58
2019/05/28,53.337
2019/05/29,53.962
2019/05/30,52.829
2019/05/31,53.289
2019/06/01,55.707
2019/06/02,53.766
2019/06/03,52.776
2019/06/04,51.955
2019/06/05,51.036
2019/06/06,52.604
2019/06/07,50.259
2019/06/08,49.788
2019/06/09,51.061
2019/06/10,50.535
2019/06/11,51.849
2019/06/12,53.693
2019/06/13,51.525
2019/06/14,51.32
2019/06/15,51.828
2019/06/16,53.671
2019/06/17,50.834
2019/06/18,51.45
2019/06/19,50.827
