Date,sentinusd14emaUSD
2018/07/02,826762100
2018/07/03,830236045
2018/07/04,816298336
2018/07/05,811099066
2018/07/06,802572353
2018/07/07,765483764
2018/07/08,745949318
2018/07/09,758822648
2018/07/10,772229699
2018/07/11,752665347
2018/07/12,727955337
2018/07/13,703392133
2018/07/14,663404953
2018/07/15,621856414
2018/07/16,646006422
2018/07/17,674650752
2018/07/18,719692371
2018/07/19,728597318
2018/07/20,739610057
2018/07/21,707751227
2018/07/22,677480450
2018/07/23,687407523
2018/07/24,703656285
2018/07/25,706452018
2018/07/26,691064974
2018/07/27,683169510
2018/07/28,641753412
2018/07/29,603979639
2018/07/30,619014992
2018/07/31,703606083
2018/08/01,695001946
2018/08/02,691315293
2018/08/03,671584335
2018/08/04,634752821
2018/08/05,598629063
2018/08/06,585687228
2018/08/07,581853523
2018/08/08,605206654
2018/08/09,601807344
2018/08/10,608467576
2018/08/11,597893229
2018/08/12,561649851
2018/08/13,589592332
2018/08/14,621660883
2018/08/15,628134488
2018/08/16,603963835
2018/08/17,598141647
2018/08/18,563333536
2018/08/19,519396717
2018/08/20,506746572
2018/08/21,493698457
2018/08/22,493078147
2018/08/23,480808756
2018/08/24,469542820
2018/08/25,447192471
2018/08/26,423416821
2018/08/27,426558673
2018/08/28,425559230
2018/08/29,429849619
2018/08/30,426438318
2018/08/31,426011474
2018/09/01,414554835
2018/09/02,395320556
2018/09/03,412064113
2018/09/04,469505101
2018/09/05,494444900
2018/09/06,520320674
2018/09/07,527365611
2018/09/08,516992273
2018/09/09,505498827
2018/09/10,502735313
2018/09/11,499030409
2018/09/12,521325556
2018/09/13,513459993
2018/09/14,505708682
2018/09/15,480263615
2018/09/16,451651290
2018/09/17,446668564
2018/09/18,436429173
2018/09/19,421522314
2018/09/20,418460426
2018/09/21,451979220
2018/09/22,442111415
2018/09/23,428160505
2018/09/24,430638729
2018/09/25,427027815
2018/09/26,423001360
2018/09/27,415220663
2018/09/28,410839065
2018/09/29,399204205
2018/09/30,387924706
2018/10/01,374742331
2018/10/02,358234949
2018/10/03,357462204
2018/10/04,357504911
2018/10/05,353946991
2018/10/06,339396520
2018/10/07,323331629
2018/10/08,329640105
2018/10/09,329029168
2018/10/10,329948442
2018/10/11,369364253
2018/10/12,372987575
2018/10/13,354996884
2018/10/14,338667178
2018/10/15,387118890
2018/10/16,398691481
2018/10/17,399658029
2018/10/18,411506604
2018/10/19,402179520
2018/10/20,388066185
2018/10/21,390785438
2018/10/22,382423230
2018/10/23,377963122
2018/10/24,372409061
2018/10/25,382560682
2018/10/26,378389452
2018/10/27,354969266
2018/10/28,335299931
2018/10/29,343719106
2018/10/30,341634424
2018/10/31,341915596
2018/11/01,339212946
2018/11/02,344413962
2018/11/03,327721424
2018/11/04,325570234
2018/11/05,347913238
2018/11/06,354619421
2018/11/07,369775195
2018/11/08,370091015
2018/11/09,367503851
2018/11/10,349965363
2018/11/11,334930638
2018/11/12,343018330
2018/11/13,344961951
2018/11/14,377746406
2018/11/15,402853934
2018/11/16,402468733
2018/11/17,381399584
2018/11/18,375428401
2018/11/19,428827778
2018/11/20,476997030
2018/11/21,482016073
2018/11/22,464775705
2018/11/23,452993574
2018/11/24,429873811
2018/11/25,430999885
2018/11/26,425175303
2018/11/27,409175616
2018/11/28,407401956
2018/11/29,410781176
2018/11/30,623657140
2018/12/01,781315384
2018/12/02,699364680
2018/12/03,640162184
2018/12/04,588386742
2018/12/05,551303087
2018/12/06,528693025
2018/12/07,515611032
2018/12/08,479903870
2018/12/09,445661300
2018/12/10,417252062
2018/12/11,392485379
2018/12/12,368460133
2018/12/13,355182288
2018/12/14,338869053
2018/12/15,314263490
2018/12/16,293024159
2018/12/17,295628383
2018/12/18,297382300
2018/12/19,318242524
2018/12/20,340061090
2018/12/21,363444696
2018/12/22,346469252
2018/12/23,351740435
2018/12/24,382026346
2018/12/25,373012639
2018/12/26,360938597
2018/12/27,360015228
2018/12/28,361616613
2018/12/29,383543721
2018/12/30,362398494
2018/12/31,352448529
2019/01/01,335755949
2019/01/02,345675700
2019/01/03,350306671
2019/01/04,381559851
2019/01/05,419265318
2019/01/06,413347154
2019/01/07,412481894
2019/01/08,404695614
2019/01/09,395286353
2019/01/10,400190015
2019/01/11,412851379
2019/01/12,382907750
2019/01/13,360785287
2019/01/14,368981971
2019/01/15,360302322
2019/01/16,355610039
2019/01/17,343282018
2019/01/18,326209528
2019/01/19,306782958
2019/01/20,293731736
2019/01/21,283311039
2019/01/22,274444893
2019/01/23,269075443
2019/01/24,270213688
2019/01/25,264750113
2019/01/26,249532109
2019/01/27,244908172
2019/01/28,258511719
2019/01/29,256088743
2019/01/30,255877757
2019/01/31,255699225
2019/02/01,249404029
2019/02/02,233610807
2019/02/03,221198704
2019/02/04,206390203
2019/02/05,192955639
2019/02/06,191492373
2019/02/07,186162842
2019/02/08,192983261
2019/02/09,185632003
2019/02/10,183804517
2019/02/11,190157286
2019/02/12,189586627
2019/02/13,193822376
2019/02/14,195143561
2019/02/15,194942265
2019/02/16,186648456
2019/02/17,191299537
2019/02/18,222501656
2019/02/19,247305568
2019/02/20,257717655
2019/02/21,265108301
2019/02/22,271292620
2019/02/23,265957021
2019/02/24,289707263
2019/02/25,320005124
2019/02/26,311725023
2019/02/27,323437873
2019/02/28,323351886
2019/03/01,314048239
2019/03/02,298682467
2019/03/03,289000143
2019/03/04,292992704
2019/03/05,294829962
2019/03/06,295936543
2019/03/07,295654619
2019/03/08,300167248
2019/03/09,293476092
2019/03/10,285519714
2019/03/11,291544850
2019/03/12,294724727
2019/03/13,291902727
2019/03/14,293262327
2019/03/15,293572163
2019/03/16,290729895
2019/03/17,284468631
2019/03/18,294538191
2019/03/19,290344622
2019/03/20,305001035
2019/03/21,310151495
2019/03/22,306575353
2019/03/23,312535166
2019/03/24,303302036
2019/03/25,314666605
2019/03/26,318273356
2019/03/27,318096208
2019/03/28,318747363
2019/03/29,324768377
2019/03/30,329568167
2019/03/31,326494422
2019/04/01,329381635
2019/04/02,369508551
2019/04/03,414560713
2019/04/04,421541470
2019/04/05,423958870
2019/04/06,408673209
2019/04/07,408340353
2019/04/08,445023105
2019/04/09,464780194
2019/04/10,470915858
2019/04/11,473940966
2019/04/12,465783942
2019/04/13,437604381
2019/04/14,417041762
2019/04/15,417634148
2019/04/16,410287269
2019/04/17,405123468
2019/04/18,411691152
2019/04/19,409965948
2019/04/20,398851287
2019/04/21,391214306
2019/04/22,393871000
2019/04/23,404957596
2019/04/24,428067042
2019/04/25,439786481
2019/04/26,474827289
2019/04/27,451719360
2019/04/28,440619790
2019/04/29,445877068
2019/04/30,449196271
2019/05/01,445583152
2019/05/02,431287981
2019/05/03,429840822
2019/05/04,415957977
2019/05/05,401160078
2019/05/06,414434770
2019/05/07,438967098
2019/05/08,451320557
2019/05/09,455470513
2019/05/10,460633898
2019/05/11,511384196
2019/05/12,516667833
2019/05/13,550308230
2019/05/14,574331741
2019/05/15,633959925
