Date,transactionvalue90stdUSD
2018/07/02,950.922
2018/07/03,945.069
2018/07/04,931.051
2018/07/05,917.965
2018/07/06,899.72
2018/07/07,892.706
2018/07/08,894.052
2018/07/09,885.643
2018/07/10,881.403
2018/07/11,888.837
2018/07/12,895.28
2018/07/13,889.959
2018/07/14,895.836
2018/07/15,904.493
2018/07/16,901.442
2018/07/17,902.107
2018/07/18,900.515
2018/07/19,905.147
2018/07/20,906.884
2018/07/21,913.631
2018/07/22,905.095
2018/07/23,893.942
2018/07/24,890.221
2018/07/25,896.51
2018/07/26,902.338
2018/07/27,911.543
2018/07/28,930.517
2018/07/29,946.926
2018/07/30,948.943
2018/07/31,931.232
2018/08/01,906.981
2018/08/02,902.345
2018/08/03,907.322
2018/08/04,918.126
2018/08/05,880.7
2018/08/06,878.943
2018/08/07,870.566
2018/08/08,860.734
2018/08/09,852.509
2018/08/10,853.239
2018/08/11,857.864
2018/08/12,859.325
2018/08/13,850.407
2018/08/14,849.084
2018/08/15,848.965
2018/08/16,857.747
2018/08/17,858.784
2018/08/18,870.416
2018/08/19,885.401
2018/08/20,882.56
2018/08/21,870.738
2018/08/22,870.206
2018/08/23,875.284
2018/08/24,880.953
2018/08/25,887.998
2018/08/26,890.455
2018/08/27,891.416
2018/08/28,892.229
2018/08/29,888.654
2018/08/30,876.99
2018/08/31,879.902
2018/09/01,886.473
2018/09/02,891.648
2018/09/03,886.334
2018/09/04,875.854
2018/09/05,865.514
2018/09/06,844.809
2018/09/07,844.621
2018/09/08,843.874
2018/09/09,840.003
2018/09/10,813.908
2018/09/11,753.092
2018/09/12,670.364
2018/09/13,603.853
2018/09/14,600.883
2018/09/15,604.117
2018/09/16,607.733
2018/09/17,604.146
2018/09/18,598.831
2018/09/19,596.294
2018/09/20,582.901
2018/09/21,586.519
2018/09/22,580.353
2018/09/23,575.435
2018/09/24,572.259
2018/09/25,571.562
2018/09/26,571.024
2018/09/27,567.832
2018/09/28,568.489
2018/09/29,568.315
2018/09/30,562.514
2018/10/01,550.867
2018/10/02,532.878
2018/10/03,519.158
2018/10/04,494.508
2018/10/05,495.512
2018/10/06,502.588
2018/10/07,499.608
2018/10/08,492.403
2018/10/09,493.239
2018/10/10,492.715
2018/10/11,495.341
2018/10/12,495.808
2018/10/13,501.765
2018/10/14,501.957
2018/10/15,502.803
2018/10/16,488.643
2018/10/17,485.397
2018/10/18,477.432
2018/10/19,479.524
2018/10/20,481.649
2018/10/21,479.576
2018/10/22,478.48
2018/10/23,478.377
2018/10/24,479.132
2018/10/25,479.294
2018/10/26,477.446
2018/10/27,480.194
2018/10/28,484.537
2018/10/29,443.928
2018/10/30,445.641
2018/10/31,446.262
2018/11/01,448.151
2018/11/02,446.433
2018/11/03,448.619
2018/11/04,449.442
2018/11/05,449.103
2018/11/06,431.06
2018/11/07,425.378
2018/11/08,419.691
2018/11/09,419.728
2018/11/10,420.345
2018/11/11,416.153
2018/11/12,403.2
2018/11/13,397.553
2018/11/14,402.371
2018/11/15,404.675
2018/11/16,402.991
2018/11/17,400.117
2018/11/18,399.826
2018/11/19,414.886
2018/11/20,429.648
2018/11/21,430.799
2018/11/22,431.196
2018/11/23,429.169
2018/11/24,427.066
2018/11/25,427.47
2018/11/26,427.414
2018/11/27,428.739
2018/11/28,429.075
2018/11/29,429.202
2018/11/30,695.493
2018/12/01,890.284
2018/12/02,895.364
2018/12/03,887.466
2018/12/04,888.321
2018/12/05,885.819
2018/12/06,884.921
2018/12/07,884.808
2018/12/08,887.209
2018/12/09,889.381
2018/12/10,891.836
2018/12/11,889.739
2018/12/12,892.366
2018/12/13,893.408
2018/12/14,895.783
2018/12/15,900.163
2018/12/16,904.501
2018/12/17,905.188
2018/12/18,905.679
2018/12/19,905.549
2018/12/20,899.139
2018/12/21,899.406
2018/12/22,900.736
2018/12/23,899.5
2018/12/24,900.731
2018/12/25,900.836
2018/12/26,901.802
2018/12/27,901.782
2018/12/28,901.794
2018/12/29,903.487
2018/12/30,904.386
2018/12/31,904.056
2019/01/01,904.862
2019/01/02,904.77
2019/01/03,904.346
2019/01/04,905.347
2019/01/05,911.875
2019/01/06,911.901
2019/01/07,911.583
2019/01/08,911.621
2019/01/09,908.495
2019/01/10,908.508
2019/01/11,907.521
2019/01/12,908.061
2019/01/13,902.844
2019/01/14,902.546
2019/01/15,903.08
2019/01/16,902.605
2019/01/17,903.097
2019/01/18,904.845
