Date,activeaddresses3var
2019/03/12,445044433
2019/03/13,112126580
2019/03/14,5395258
2019/03/15,27383809
2019/03/16,305516909
2019/03/17,142171504
2019/03/18,497218182
2019/03/19,460669453
2019/03/20,81904844
2019/03/21,97849740
2019/03/22,104499585
2019/03/23,146004289
2019/03/24,160955138
2019/03/25,949445376
2019/03/26,814607605
2019/03/27,60940640
2019/03/28,28323196
2019/03/29,20482686
2019/03/30,16995006
2019/03/31,169239314
2019/04/01,1340566091
2019/04/02,2543834322
2019/04/03,170156327
2019/04/04,873824366
2019/04/05,828666456
2019/04/06,448150506
2019/04/07,199525855
2019/04/08,784822753
2019/04/09,432713164
2019/04/10,88139636
2019/04/11,336398255
2019/04/12,417905185
2019/04/13,754507536
2019/04/14,1869927587
2019/04/15,672703684
2019/04/16,813350363
2019/04/17,3515930
2019/04/18,12931098
2019/04/19,208559588
2019/04/20,834548683
2019/04/21,450704416
2019/04/22,367892753
2019/04/23,130349738
2019/04/24,217851482
2019/04/25,381297571
2019/04/26,54262005
2019/04/27,856052613
2019/04/28,675693153
2019/04/29,273338656
2019/04/30,566543380
2019/05/01,366881354
2019/05/02,688292222
2019/05/03,667091945
2019/05/04,122838507
2019/05/05,119642114
2019/05/06,342803738
2019/05/07,206541339
2019/05/08,29337355
2019/05/09,63044867
2019/05/10,129575704
2019/05/11,71717949
2019/05/12,125353419
2019/05/13,521551987
2019/05/14,1434084696
2019/05/15,583687034
2019/05/16,405509176
2019/05/17,559592414
2019/05/18,1886971605
2019/05/19,652755336
2019/05/20,260816234
2019/05/21,955942791
2019/05/22,258034390
2019/05/23,151475700
2019/05/24,117600585
2019/05/25,122312617
2019/05/26,561514867
2019/05/27,1715679147
2019/05/28,1991578476
2019/05/29,151775855
2019/05/30,375288266
2019/05/31,367394142
2019/06/01,3913674261
2019/06/02,2536430859
2019/06/03,2786199662
2019/06/04,1116652766
2019/06/05,1082223698
2019/06/06,1055926914
2019/06/07,2296573454
2019/06/08,3655015382
2019/06/09,742884627
2019/06/10,733582814
2019/06/11,835428851
2019/06/12,5117633894
2019/06/13,2628314481
2019/06/14,3140285846
2019/06/15,142388595
2019/06/16,3538781517
2019/06/17,4343142967
2019/06/18,4517713285
2019/06/19,301214845
2019/06/20,744927523
2019/06/21,752686200
2019/06/22,871612539
2019/06/23,519027554
2019/06/24,348725830
2019/06/25,239656101
2019/06/26,658279476
2019/06/27,589864308
2019/06/28,1080176381
2019/06/29,594968230
2019/06/30,530591404
2019/07/01,302326191
2019/07/02,1478138024
