Date,activeaddresses3ema
2018/02/15,513009
2018/02/16,480271
2018/02/17,468279
2018/02/18,465781
2018/02/19,495534
2018/02/20,538294
2018/02/21,532894
2018/02/22,509616
2018/02/23,479260
2018/02/24,434207
2018/02/25,415561
2018/02/26,449164
2018/02/27,448264
2018/02/28,458367
2018/03/01,446976
2018/03/02,444494
2018/03/03,414704
2018/03/04,383983
2018/03/05,412906
2018/03/06,428492
2018/03/07,484799
2018/03/08,453791
2018/03/09,430608
2018/03/10,400867
2018/03/11,368806
2018/03/12,381595
2018/03/13,391749
2018/03/14,415799
2018/03/15,413643
2018/03/16,399027
2018/03/17,373593
2018/03/18,382647
2018/03/19,406804
2018/03/20,396365
2018/03/21,404696
2018/03/22,394176
2018/03/23,425328
2018/03/24,413959
2018/03/25,362454
2018/03/26,373883
2018/03/27,365880
2018/03/28,350991
2018/03/29,358094
2018/03/30,371086
2018/03/31,352802
2018/04/01,332008
2018/04/02,341251
2018/04/03,362676
2018/04/04,362948
2018/04/05,393056
2018/04/06,393086
2018/04/07,366497
2018/04/08,369530
2018/04/09,383299
2018/04/10,371370
2018/04/11,370637
2018/04/12,396750
2018/04/13,414500
2018/04/14,389852
2018/04/15,382798
2018/04/16,387248
2018/04/17,402252
2018/04/18,401365
2018/04/19,419204
2018/04/20,440079
2018/04/21,454599
2018/04/22,468644
2018/04/23,492431
2018/04/24,507325
2018/04/25,486992
2018/04/26,472414
2018/04/27,452778
2018/04/28,442733
2018/04/29,427042
2018/04/30,442763
2018/05/01,428789
2018/05/02,448285
2018/05/03,479080
2018/05/04,613807
2018/05/05,554403
2018/05/06,511153
2018/05/07,506722
2018/05/08,514277
2018/05/09,525912
2018/05/10,530626
2018/05/11,524780
2018/05/12,531671
2018/05/13,521646
2018/05/14,527264
2018/05/15,523765
2018/05/16,534141
2018/05/17,553032
2018/05/18,558851
2018/05/19,582374
2018/05/20,557099
2018/05/21,538787
2018/05/22,545800
2018/05/23,554681
2018/05/24,551886
2018/05/25,537025
2018/05/26,527772
2018/05/27,535456
2018/05/28,565346
2018/05/29,557791
2018/05/30,551903
2018/05/31,545267
2018/06/01,514816
2018/06/02,514471
2018/06/03,530678
2018/06/04,523663
2018/06/05,511399
2018/06/06,501709
2018/06/07,503479
2018/06/08,480287
2018/06/09,297364
2018/06/10,148682
2018/06/11,322758
2018/06/12,383561
2018/06/13,427835
2018/06/14,445944
2018/06/15,466395
2018/06/16,427807
2018/06/17,426997
2018/06/18,430836
2018/06/19,450184
2018/06/20,469443
2018/06/21,473136
2018/06/22,482342
2018/06/23,463238
2018/06/24,452854
2018/06/25,512633
2018/06/26,480845
2018/06/27,474308
2018/06/28,480425
2018/06/29,475818
2018/06/30,393912
2018/07/01,317343
2018/07/02,300398
2018/07/03,292757
2018/07/04,286354
2018/07/05,300911
2018/07/06,287096
2018/07/07,277591
2018/07/08,306139
2018/07/09,335975
2018/07/10,353307
2018/07/11,349505
2018/07/12,333538
2018/07/13,311804
2018/07/14,291473
2018/07/15,283205
2018/07/16,358419
2018/07/17,400321
2018/07/18,460696
2018/07/19,468126
2018/07/20,445162
2018/07/21,408681
2018/07/22,423203
2018/07/23,455897
2018/07/24,486735
2018/07/25,506186
2018/07/26,491526
2018/07/27,506234
2018/07/28,487556
2018/07/29,482994
2018/07/30,492400
2018/07/31,489865
2018/08/01,489048
2018/08/02,476888
2018/08/03,491014
2018/08/04,466648
2018/08/05,448210
2018/08/06,447920
2018/08/07,426142
2018/08/08,390955
2018/08/09,375426
2018/08/10,187713
2018/08/11,93856
2018/08/12,46928
2018/08/13,246118
2018/08/14,333888
2018/08/15,369423
2018/08/16,409545
2018/08/17,392947
2018/08/18,384862
2018/08/19,376426
2018/08/20,397803
2018/08/21,380225
2018/08/22,377520
2018/08/23,371299
2018/08/24,372295
2018/08/25,370740
2018/08/26,376513
2018/08/27,390429
2018/08/28,393326
2018/08/29,360024
2018/08/30,358907
2018/08/31,356546
2018/09/01,379092
2018/09/02,398891
2018/09/03,408184
2018/09/04,394431
2018/09/05,393717
2018/09/06,383558
2018/09/07,378342
2018/09/08,365646
2018/09/09,359716
2018/09/10,355553
2018/09/11,342069
2018/09/12,336518
2018/09/13,340137
2018/09/14,328078
2018/09/15,300295
2018/09/16,284942
2018/09/17,307924
2018/09/18,300100
2018/09/19,290941
2018/09/20,296665
2018/09/21,308332
2018/09/22,293688
2018/09/23,287089
2018/09/24,283905
2018/09/25,291887
2018/09/26,285318
2018/09/27,289362
2018/09/28,294071
2018/09/29,273908
2018/09/30,285106
2018/10/01,282668
2018/10/02,278107
2018/10/03,306094
2018/10/04,324710
2018/10/05,344954
2018/10/06,366429
2018/10/07,336298
2018/10/08,331688
2018/10/09,331324
2018/10/10,319762
2018/10/11,326640
2018/10/12,323732
2018/10/13,324522
2018/10/14,320433
2018/10/15,337146
2018/10/16,349662
2018/10/17,357606
2018/10/18,353229
2018/10/19,348822
2018/10/20,341929
2018/10/21,327835
2018/10/22,345858
2018/10/23,347082
2018/10/24,346010
2018/10/25,341749
2018/10/26,343935
2018/10/27,329147
2018/10/28,322763
2018/10/29,351016
2018/10/30,364557
2018/10/31,367118
2018/11/01,357739
2018/11/02,331661
2018/11/03,313260
2018/11/04,306350
2018/11/05,326077
2018/11/06,329014
2018/11/07,321666
2018/11/08,314690
2018/11/09,323030
2018/11/10,313958
2018/11/11,329714
2018/11/12,333372
2018/11/13,328671
2018/11/14,333511
2018/11/15,331017
2018/11/16,322861
2018/11/17,308289
2018/11/18,293841
2018/11/19,334396
2018/11/20,346690
2018/11/21,330750
2018/11/22,317480
2018/11/23,313595
2018/11/24,292218
2018/11/25,297497
2018/11/26,303163
2018/11/27,298837
2018/11/28,313369
2018/11/29,302804
2018/11/30,311090
2018/12/01,294954
2018/12/02,281778
2018/12/03,287960
2018/12/04,287211
2018/12/05,299556
2018/12/06,303278
2018/12/07,314416
2018/12/08,326785
2018/12/09,315952
2018/12/10,321813
2018/12/11,308394
2018/12/12,301292
2018/12/13,298922
2018/12/14,298303
2018/12/15,303354
2018/12/16,315123
2018/12/17,314654
2018/12/18,304880
2018/12/19,314004
2018/12/20,319560
2018/12/21,317989
2018/12/22,291633
2018/12/23,293192
2018/12/24,312190
2018/12/25,302775
2018/12/26,304263
2018/12/27,305435
2018/12/28,315894
2018/12/29,315117
2018/12/30,296900
2018/12/31,297573
2019/01/01,283000
2019/01/02,296577
2019/01/03,313549
2019/01/04,306569
2019/01/05,295100
2019/01/06,290256
2019/01/07,305678
2019/01/08,317925
2019/01/09,322186
2019/01/10,321644
2019/01/11,312878
2019/01/12,280096
2019/01/13,272764
2019/01/14,308545
2019/01/15,311670
2019/01/16,299177
2019/01/17,290635
2019/01/18,290038
2019/01/19,280614
2019/01/20,269771
2019/01/21,276497
2019/01/22,273919
2019/01/23,281307
2019/01/24,281298
2019/01/25,284537
2019/01/26,272511
2019/01/27,276935
2019/01/28,299297
2019/01/29,296683
2019/01/30,290484
2019/01/31,286711
2019/02/01,277581
2019/02/02,258043
2019/02/03,238330
2019/02/04,224519
2019/02/05,219364
2019/02/06,220567
2019/02/07,218111
2019/02/08,228953
2019/02/09,223712
2019/02/10,212654
2019/02/11,221853
2019/02/12,230084
2019/02/13,239852
2019/02/14,244425
2019/02/15,250499
2019/02/16,245301
2019/02/17,239549
2019/02/18,266831
