Date,hashrate7mom
2019/06/23,1554134967554
2019/06/24,4443801604701
2019/06/25,7051917972465
2019/06/26,11473896501731
2019/06/27,10498975508999
2019/06/28,10603296035314
2019/06/29,14849073470073
2019/06/30,12160713213346
2019/07/01,6308870385542
2019/07/02,8159532962812
2019/07/03,-5029520229045
2019/07/04,-3640910657640
2019/07/05,-961616022361
2019/07/06,-307860173141
2019/07/07,-2495635780225
2019/07/08,-1739836549867
2019/07/09,-614483871354
2019/07/10,5802673298959
2019/07/11,10409595622559
2019/07/12,10252602206309
2019/07/13,4377642431944
2019/07/14,10080550733503
2019/07/15,9295236331784
2019/07/16,264848185139
2019/07/17,4435820281098
2019/07/18,433156549171
2019/07/19,-5646758873804
2019/07/20,-888252134990
2019/07/21,-8847235474286
2019/07/22,-7238759255939
2019/07/23,651230472162
2019/07/24,-2756424058203
2019/07/25,-4450059244196
2019/07/26,744734813955
2019/07/27,1514554856973
2019/07/28,3187258159012
2019/07/29,2838677634020
2019/07/30,4830656964975
2019/07/31,-1989898008572
2019/08/01,-2116546744343
2019/08/02,1683800273413
2019/08/03,-955324080813
2019/08/04,4311862184229
2019/08/05,7621375609337
2019/08/06,2506454265185
2019/08/07,9391234692849
2019/08/08,9694100255104
2019/08/09,5041926884797
2019/08/10,7815769044465
2019/08/11,975228707764
2019/08/12,1272439804467
2019/08/13,1147399779300
2019/08/14,-1411401893559
2019/08/15,-97956046002
2019/08/16,1592591536160
2019/08/17,344364307349
2019/08/18,-2160443231498
2019/08/19,-4563728543942
2019/08/20,-5205050882787
2019/08/21,-5337801227946
2019/08/22,-11533561478832
2019/08/23,-5129219558299
2019/08/24,-13484747943379
2019/08/25,-4785371020116
2019/08/26,-2854709307781
2019/08/27,-8340926627142
2019/08/28,-3841103017380
2019/08/29,7925289764071
2019/08/30,2890297919460
2019/08/31,4890907263363
2019/09/01,1931567662685
2019/09/02,1484812467246
2019/09/03,8621157020752
2019/09/04,1371602342893
2019/09/05,-1022202146998
2019/09/06,-7763878434110
2019/09/07,3117106771277
2019/09/08,3757152173500
2019/09/09,-1462030795025
2019/09/10,-648410819710
2019/09/11,3956837951614
2019/09/12,7347769378567
2019/09/13,8707359536106
2019/09/14,3710558401200
2019/09/15,3140951347516
2019/09/16,12179619591246
2019/09/17,13610529436345
2019/09/18,16976554895195
2019/09/19,4948931129947
2019/09/20,12264688726064
2019/09/21,14141446849892
2019/09/22,9113246592218
2019/09/23,10041904843581
2019/09/24,-702227026306
2019/09/25,661176228515
2019/09/26,6807726196766
2019/09/27,943578944695
2019/09/28,-3244962318253
2019/09/29,1744063314059
2019/09/30,-6049281014039
2019/10/01,2808509273083
2019/10/02,-8571472213877
2019/10/03,-10413881928792
2019/10/04,-6395218759453
2019/10/05,-6917281078077
2019/10/06,-4743345785118
2019/10/07,-5763012646677
2019/10/08,-7874488275560
2019/10/09,-2475286517413
2019/10/10,1973253145560
2019/10/11,5585551606216
2019/10/12,-1687570965885
2019/10/13,3182208577221
2019/10/14,1209114550181
2019/10/15,13361949374897
2019/10/16,8353245839268
2019/10/17,4315714962342
2019/10/18,-6802131179540
2019/10/19,6042343922292
2019/10/20,637948422510
2019/10/21,-2731792795240
2019/10/22,-11985925672871
2019/10/23,401460593190
2019/10/24,-3654184979180
2019/10/25,-4098060769240
2019/10/26,-5542980040737
2019/10/27,-11208521982400
2019/10/28,-1299000890384
2019/10/29,-1926878502644
2019/10/30,-5430624029077
2019/10/31,-587162566264
2019/11/01,7526010036261
2019/11/02,-90184211974
2019/11/03,4053054706353
2019/11/04,-1583098314233
2019/11/05,-57321097012
2019/11/06,-795022248366
2019/11/07,-1021670653776
2019/11/08,-4333850288657
2019/11/09,-1881954414709
2019/11/10,-378128311505
2019/11/11,699500492209
2019/11/12,865935778059
2019/11/13,1658417764974
2019/11/14,-2157207427368
2019/11/15,-1773404024196
2019/11/16,-4909403850661
2019/11/17,-312318626340
2019/11/18,2354336042977
2019/11/19,-11155678183055
2019/11/20,-16129814404721
2019/11/21,-2654088855225
2019/11/22,-6266257588861
2019/11/23,-183026624528
2019/11/24,-5243375289886
2019/11/25,-2575165619842
2019/11/26,-6438143273356
2019/11/27,1176945251795
2019/11/28,-8778250532964
2019/11/29,-4060217649535
2019/11/30,-4140817772799
2019/12/01,-8135957746695
2019/12/02,-7725457722262
2019/12/03,9994536510448
2019/12/04,174096080999
2019/12/05,-1593144601097
2019/12/06,-2817043361545
2019/12/07,-110297307614
2019/12/08,-2926919067415
2019/12/09,-3811161447119
2019/12/10,342251630494
2019/12/11,-3159229921506
2019/12/12,1427582771156
2019/12/13,3259710644585
2019/12/14,-319043418012
2019/12/15,5194043624028
2019/12/16,650696016262
2019/12/17,-14235939727019
2019/12/18,-14038482377900
2019/12/19,-16847185179179
2019/12/20,-22277035081872
2019/12/21,-19657738209382
2019/12/22,-20863214969574
2019/12/23,-18263761900483
2019/12/24,-10321248487924
2019/12/25,-7168742858194
2019/12/26,-7260382728569
2019/12/27,-941374258154
2019/12/28,-1842750759071
2019/12/29,1173653221652
2019/12/30,207502225466
2019/12/31,-2053473825825
2020/01/01,-3252331340412
2020/01/02,3435633509760
2020/01/03,6672395528486
2020/01/04,11650387956983
2020/01/05,5953974208760
2020/01/06,8837766168069
2020/01/07,14544241841698
2020/01/08,16384032388081
2020/01/09,6307440301077
2020/01/10,7624191542891
2020/01/11,599518336884
2020/01/12,4340896865131
2020/01/13,1686737259726
2020/01/14,-2214624505207
2020/01/15,3867515682142
2020/01/16,5473614662213
2020/01/17,1571017144133
2020/01/18,-2334964445563
2020/01/19,598813778942
2020/01/20,735140302698
2020/01/21,2486587801527
2020/01/22,-3013309646919
2020/01/23,1341956646003
2020/01/24,1138282381093
2020/01/25,1534303472716
2020/01/26,-1946458423341
2020/01/27,-415174277456
2020/01/28,-5209917988173
2020/01/29,1537586692614
2020/01/30,-4590863648898
2020/01/31,-4294233182757
2020/02/01,-4624709868727
2020/02/02,2543461255161
2020/02/03,458876135053
2020/02/04,6994429187385
2020/02/05,154446997119
2020/02/06,5221766453354
2020/02/07,3010663605394
2020/02/08,8503423051789
2020/02/09,773862429338
2020/02/10,3167825194813
2020/02/11,1783323057301
2020/02/12,5636322704278
2020/02/13,7448170506170
2020/02/14,9243728650311
2020/02/15,6162538856688
2020/02/16,10335762672023
2020/02/17,7926995362401
2020/02/18,7166548500066
2020/02/19,14398193970109
2020/02/20,5038912520142
2020/02/21,698650874745
2020/02/22,5675515536275
2020/02/23,2715494205492
2020/02/24,5326246067113
2020/02/25,-542791751048
2020/02/26,-6403088495134
2020/02/27,6352306287541
2020/02/28,5039520845196
2020/02/29,458652471729
2020/03/01,-195324539772
2020/03/02,-3704614604688
2020/03/03,2798693752216
2020/03/04,2768052377225
2020/03/05,-4982579084493
2020/03/06,-3587915052526
2020/03/07,-800586623584
2020/03/08,5887080163447
2020/03/09,3159123519111
2020/03/10,1812179149825
2020/03/11,-3283948235953
2020/03/12,801729181328
2020/03/13,-2795316886203
2020/03/14,-8574576826382
2020/03/15,-11926317628070
2020/03/16,-6933691371718
2020/03/17,-12243356991881
2020/03/18,-5104482569348
2020/03/19,-6996321842437
2020/03/20,-1519601674337
2020/03/21,7391814479667
2020/03/22,-2775088310772
2020/03/23,287816226631
2020/03/24,7947311619872
2020/03/25,1288329545772
2020/03/26,1200621540546
2020/03/27,2441679601329
2020/03/28,-4350288752436
2020/03/29,8355879538941
2020/03/30,3348227874731
2020/03/31,-4012942982367
2020/04/01,-248371751436
2020/04/02,3303723330216
2020/04/03,418629842355
2020/04/04,-2595161138549
2020/04/05,-4179529007684
2020/04/06,-9358410752028
2020/04/07,1088137733031
2020/04/08,-261985745984
2020/04/09,-3421129878611
2020/04/10,2852895842293
2020/04/11,-267187586089
2020/04/12,3643390947742
2020/04/13,7829489173032
2020/04/14,5280265102160
2020/04/15,4229879161744
2020/04/16,4788611452856
2020/04/17,-2341488695077
2020/04/18,5426033519194
2020/04/19,-4316144739281
2020/04/20,-2656567232952
2020/04/21,-3458058437271
2020/04/22,-2574336558661
2020/04/23,-486421377826
2020/04/24,-159410541990
2020/04/25,-2318020671891
2020/04/26,2313278428567
2020/04/27,-1007931342418
2020/04/28,-3992612834079
2020/04/29,2806228620007
2020/04/30,1736411111220
2020/05/01,9802551247715
2020/05/02,9530639989484
2020/05/03,3671438306526
2020/05/04,14150044771941
2020/05/05,14022768928078
2020/05/06,1268498207893
2020/05/07,-3154539496161
2020/05/08,-4204186461936
2020/05/09,-4090181858417
2020/05/10,-1013729786198
2020/05/11,-7114465924335
2020/05/12,-6857593065361
2020/05/13,-1027882157856
2020/05/14,3935926519239
2020/05/15,2128799079589
2020/05/16,-1413719017061
2020/05/17,6568189859894
2020/05/18,-560441614125
2020/05/19,-2770507637835
2020/05/20,3245863905387
2020/05/21,-4365388259468
2020/05/22,-6701374843282
2020/05/23,3750269314769
2020/05/24,-3463816309561
2020/05/25,-1578315780670
2020/05/26,1980404890757
2020/05/27,-238918700241
2020/05/28,209960467519
2020/05/29,2751635484617
2020/05/30,-320620723108
2020/05/31,3647464131311
2020/06/01,4415933463013
2020/06/02,5857094143845
2020/06/03,3711678341195
2020/06/04,8732434914707
2020/06/05,5046537412856
2020/06/06,2609606709469
2020/06/07,2147985988199
2020/06/08,2369471263423
2020/06/09,-1797190848055
2020/06/10,-7499374795740
2020/06/11,-5914297459473
2020/06/12,-3742412886221
2020/06/13,-3319964514397
2020/06/14,-4946138894095
2020/06/15,-1699343110126
2020/06/16,2909702906694
2020/06/17,2525144009897
2020/06/18,1591484410745
2020/06/19,4732858388804
2020/06/20,5176777834508
2020/06/21,3972331124435
2020/06/22,823926479569
2020/06/23,1453517737541
2020/06/24,7418438963828
2020/06/25,8576095838072
2020/06/26,4439481170966
2020/06/27,-179815506389
2020/06/28,462779571944
2020/06/29,5839409958348
2020/06/30,1551292393811
2020/07/01,-3454602700003
2020/07/02,-4711709796357
2020/07/03,-1104417979853
2020/07/04,2703883067448
2020/07/05,905236455731
2020/07/06,288994908588
2020/07/07,-1093107331810
2020/07/08,8887599296757
2020/07/09,4478003864330
2020/07/10,-1830246398378
2020/07/11,2051650828221
2020/07/12,4652549909261
2020/07/13,4911629100215
2020/07/14,2644289492215
2020/07/15,-4290669540674
2020/07/16,-750390186862
2020/07/17,-1802222462668
2020/07/18,388696330034
2020/07/19,-1784088516075
2020/07/20,-7269018107620
2020/07/21,-8173935716382
2020/07/22,-9458292582251
2020/07/23,-845481915031
2020/07/24,9034471045476
2020/07/25,-5904882374379
2020/07/26,2741390746236
2020/07/27,6734565166408
2020/07/28,17985827424120
2020/07/29,20905073648617
2020/07/30,6662128725423
2020/07/31,-4778095831385
2020/08/01,8192004734395
2020/08/02,6050892445555
2020/08/03,-790500174382
2020/08/04,-5491689520627
2020/08/05,-7206999875792
2020/08/06,797726985216
2020/08/07,9351764474367
2020/08/08,6074837849968
2020/08/09,6024833941417
2020/08/10,10370231147887
2020/08/11,6307133389003
2020/08/12,10607058618491
2020/08/13,7653305184485
2020/08/14,12626528076567
2020/08/15,15006219111118
2020/08/16,4308501721287
2020/08/17,-2315473052037
2020/08/18,-2684330526435
2020/08/19,2163919715115
2020/08/20,6667231782308
2020/08/21,3359342579610
2020/08/22,-3228379032051
2020/08/23,7634426423983
2020/08/24,13712258272733
2020/08/25,17851663672511
2020/08/26,12365315276800
2020/08/27,4042198453868
2020/08/28,4447670229327
2020/08/29,1504973226323
2020/08/30,46075008716
2020/08/31,4157901476804
2020/09/01,11686211171042
2020/09/02,8121409608293
2020/09/03,7376101290230
2020/09/04,13617694597108
2020/09/05,18904878394894
2020/09/06,23061367071319
2020/09/07,21489569979128
2020/09/08,11069264148859
2020/09/09,9851440229389
2020/09/10,11106945083972
2020/09/11,7405901674070
2020/09/12,13190713415032
2020/09/13,4105599903419
2020/09/14,1716149889686
2020/09/15,6981581143899
2020/09/16,3011057131635
2020/09/17,19988855618113
2020/09/18,2807897651438
2020/09/19,2524983575147
2020/09/20,6347181071416
2020/09/21,12537565696186
2020/09/22,3087750832383
2020/09/23,15762517490149
2020/09/24,-5994919202426
2020/09/25,3136855486021
2020/09/26,5052189890187
2020/09/27,374896787684
2020/09/28,-4143198487795
2020/09/29,1520183925335
2020/09/30,-3059412710515
2020/10/01,4908754587035
2020/10/02,6586459112031
2020/10/03,-4747715990290
2020/10/04,-1188648663305
2020/10/05,3584263168298
2020/10/06,14478885702706
2020/10/07,6166798891485
2020/10/08,1592203343750
2020/10/09,3392987283455
2020/10/10,13076624725047
2020/10/11,9410695220009
2020/10/12,4807346303315
2020/10/13,547717036787
2020/10/14,691593010545
2020/10/15,10907671760081
2020/10/16,4655659752502
2020/10/17,1611366972819
2020/10/18,-7010735933965
2020/10/19,7635125794053
2020/10/20,-1595777318683
2020/10/21,2816647723391
2020/10/22,-877893488484
2020/10/23,2855754426899
2020/10/24,6469732561724
2020/10/25,9412998415915
2020/10/26,-12383676512543
2020/10/27,-3041753900222
2020/10/28,1538321952092
2020/10/29,5269429870418
2020/10/30,-2384533609887
2020/10/31,-6251040803432
2020/11/01,5477212094319
2020/11/02,2598453000600
2020/11/03,3130741869778
2020/11/04,-1543498078528
2020/11/05,-8960109696980
2020/11/06,6138314932976
2020/11/07,6457354912159
2020/11/08,-6976377103913
2020/11/09,6749649417753
2020/11/10,763141930657
2020/11/11,5604938981925
2020/11/12,3675192378723
2020/11/13,1694975304210
2020/11/14,-5376820077195
2020/11/15,11674901094285
2020/11/16,-411727945768
2020/11/17,4768404257529
2020/11/18,-1651149326561
2020/11/19,10665877881669
