Date,sentbyaddress3ema
2019/03/19,158974
2019/03/20,163694
2019/03/21,158645
2019/03/22,158560
2019/03/23,153551
2019/03/24,149207
2019/03/25,168137
2019/03/26,174055
2019/03/27,170895
2019/03/28,171257
2019/03/29,171771
2019/03/30,168126
2019/03/31,163347
2019/04/01,182182
2019/04/02,208753
2019/04/03,213261
2019/04/04,202974
2019/04/05,194231
2019/04/06,176804
2019/04/07,172574
2019/04/08,182488
2019/04/09,189565
2019/04/10,183760
2019/04/11,200171
2019/04/12,216797
2019/04/13,201726
2019/04/14,172536
2019/04/15,174668
2019/04/16,173123
2019/04/17,175686
2019/04/18,182377
2019/04/19,194954
2019/04/20,231672
2019/04/21,217246
2019/04/22,208265
2019/04/23,213082
2019/04/24,205930
2019/04/25,197599
2019/04/26,188797
2019/04/27,171792
2019/04/28,164067
2019/04/29,167054
2019/04/30,180516
2019/05/01,188650
2019/05/02,173813
2019/05/03,173793
2019/05/04,165415
2019/05/05,165873
2019/05/06,171126
2019/05/07,172641
2019/05/08,175207
2019/05/09,182187
2019/05/10,188667
2019/05/11,192491
2019/05/12,190544
2019/05/13,201569
2019/05/14,219660
2019/05/15,232952
2019/05/16,248264
2019/05/17,240942
2019/05/18,225776
2019/05/19,216034
2019/05/20,219425
2019/05/21,229133
2019/05/22,224881
2019/05/23,224810
2019/05/24,229949
2019/05/25,223598
2019/05/26,217695
2019/05/27,237062
2019/05/28,238038
2019/05/29,241482
2019/05/30,242726
2019/05/31,253927
2019/06/01,294870
2019/06/02,276650
2019/06/03,257246
2019/06/04,251242
2019/06/05,236099
2019/06/06,260949
2019/06/07,228441
2019/06/08,207486
2019/06/09,223564
2019/06/10,221290
2019/06/11,253279
2019/06/12,316209
2019/06/13,283607
2019/06/14,262403
2019/06/15,247619
2019/06/16,295751
2019/06/17,257653
2019/06/18,244918
2019/06/19,234979
2019/06/20,221415
2019/06/21,242583
2019/06/22,247672
2019/06/23,239579
2019/06/24,240955
2019/06/25,241743
2019/06/26,259685
2019/06/27,250252
2019/06/28,234935
2019/06/29,223791
2019/06/30,205672
2019/07/01,209230
2019/07/02,242809
2019/07/03,247688
2019/07/04,245606
2019/07/05,234667
2019/07/06,219479
2019/07/07,198086
2019/07/08,210761
2019/07/09,227057
2019/07/10,225770
2019/07/11,215243
2019/07/12,221010
2019/07/13,198240
2019/07/14,190195
2019/07/15,206905
2019/07/16,187370
2019/07/17,199951
2019/07/18,201163
2019/07/19,204799
2019/07/20,189912
2019/07/21,174419
2019/07/22,180165
2019/07/23,177913
2019/07/24,170945
2019/07/25,171297
2019/07/26,182575
2019/07/27,183078
2019/07/28,179396
2019/07/29,186835
2019/07/30,209365
2019/07/31,200852
2019/08/01,188630
2019/08/02,195502
2019/08/03,178756
2019/08/04,176895
2019/08/05,203716
2019/08/06,222248
2019/08/07,215785
2019/08/08,214412
2019/08/09,217879
2019/08/10,212092
2019/08/11,197039
2019/08/12,219367
2019/08/13,215059
2019/08/14,217548
2019/08/15,206116
2019/08/16,212997
2019/08/17,196031
2019/08/18,187830
2019/08/19,199060
2019/08/20,208965
2019/08/21,214446
2019/08/22,213690
2019/08/23,220105
2019/08/24,212699
2019/08/25,204755
2019/08/26,213627
2019/08/27,219581
2019/08/28,215857
2019/08/29,215202
2019/08/30,211247
2019/08/31,202686
2019/09/01,197084
2019/09/02,213643
2019/09/03,218527
2019/09/04,219721
2019/09/05,230737
2019/09/06,230709
2019/09/07,219360
2019/09/08,212043
2019/09/09,223254
2019/09/10,216836
2019/09/11,215903
2019/09/12,218586
2019/09/13,205735
2019/09/14,200705
2019/09/15,200524
2019/09/16,215579
2019/09/17,217344
2019/09/18,219137
2019/09/19,218152
2019/09/20,221481
2019/09/21,197864
2019/09/22,179804
2019/09/23,174445
2019/09/24,185006
2019/09/25,183368
2019/09/26,183606
2019/09/27,183219
2019/09/28,180401
2019/09/29,168852
2019/09/30,179379
2019/10/01,188139
2019/10/02,190410
2019/10/03,178740
2019/10/04,171631
2019/10/05,171668
2019/10/06,168827
2019/10/07,173627
2019/10/08,181112
2019/10/09,200854
2019/10/10,205111
2019/10/11,208537
2019/10/12,195279
2019/10/13,179906
2019/10/14,183368
2019/10/15,188941
2019/10/16,189486
2019/10/17,189193
2019/10/18,198852
2019/10/19,193876
2019/10/20,182137
