Date,transactions7rsi
2018/09/16,22.637
2018/09/17,52.333
2018/09/18,41.864
2018/09/19,43.534
2018/09/20,41.649
2018/09/21,53.622
2018/09/22,38.784
2018/09/23,38.503
2018/09/24,41.922
2018/09/25,52.19
2018/09/26,45.934
2018/09/27,48.877
2018/09/28,47.818
2018/09/29,32.88
2018/09/30,46.239
2018/10/01,45.524
2018/10/02,49.683
2018/10/03,65.026
2018/10/04,65.058
2018/10/05,71.318
2018/10/06,71.565
2018/10/07,43.056
2018/10/08,52.993
2018/10/09,51.637
2018/10/10,46.772
2018/10/11,58.792
2018/10/12,56.471
2018/10/13,50.796
2018/10/14,43.291
2018/10/15,55.978
2018/10/16,58.843
2018/10/17,59.958
2018/10/18,54.832
2018/10/19,63.638
2018/10/20,44.451
2018/10/21,39.103
2018/10/22,55.653
2018/10/23,50.757
2018/10/24,45.542
2018/10/25,46.76
2018/10/26,50.771
2018/10/27,38.278
2018/10/28,41.717
2018/10/29,64.395
2018/10/30,62.686
2018/10/31,56.393
2018/11/01,57.143
2018/11/02,46.081
2018/11/03,37.09
2018/11/04,38.956
2018/11/05,57.11
2018/11/06,59.986
2018/11/07,51.183
2018/11/08,48.819
2018/11/09,46.756
2018/11/10,33.786
2018/11/11,45.42
2018/11/12,55.619
2018/11/13,51.104
2018/11/14,57.632
2018/11/15,52.193
2018/11/16,49.08
2018/11/17,37.948
2018/11/18,33.932
2018/11/19,63.717
2018/11/20,64.101
2018/11/21,53.278
2018/11/22,50.968
2018/11/23,48.897
2018/11/24,36.623
2018/11/25,44.835
2018/11/26,51.345
2018/11/27,53.267
2018/11/28,64.303
2018/11/29,48.524
2018/11/30,56.585
2018/12/01,43.241
2018/12/02,38.449
2018/12/03,49.407
2018/12/04,52.441
2018/12/05,57.752
2018/12/06,56.55
2018/12/07,51.899
2018/12/08,47.061
2018/12/09,37.738
2018/12/10,50.008
2018/12/11,45.747
2018/12/12,45.263
2018/12/13,53.931
2018/12/14,54.36
2018/12/15,49.264
2018/12/16,39.402
2018/12/17,55.239
2018/12/18,51.22
2018/12/19,61.161
2018/12/20,62.183
2018/12/21,63.167
2018/12/22,34.658
2018/12/23,46.8
2018/12/24,59.82
2018/12/25,45.322
2018/12/26,49.741
2018/12/27,47.653
2018/12/28,52.414
2018/12/29,46.511
2018/12/30,33.581
2018/12/31,46.431
2019/01/01,36.546
2019/01/02,57.031
2019/01/03,57.775
2019/01/04,50.515
2019/01/05,45.155
2019/01/06,41.921
2019/01/07,52.516
2019/01/08,52.895
2019/01/09,53.874
2019/01/10,58.301
2019/01/11,48.937
2019/01/12,34.772
2019/01/13,41.157
2019/01/14,57.433
2019/01/15,51.021
2019/01/16,45.868
2019/01/17,47.667
2019/01/18,51.989
2019/01/19,52.037
2019/01/20,51.659
2019/01/21,61.893
2019/01/22,66.128
2019/01/23,46.97
2019/01/24,44.124
2019/01/25,40.908
2019/01/26,33.358
2019/01/27,41.016
2019/01/28,58.969
2019/01/29,58.31
2019/01/30,55.278
2019/01/31,45.401
2019/02/01,41.308
2019/02/02,32.259
2019/02/03,28.384
2019/02/04,27.21
2019/02/05,26.952
2019/02/06,33.565
2019/02/07,33.469
2019/02/08,51.547
2019/02/09,36.777
2019/02/10,30.161
2019/02/11,45.404
2019/02/12,47.926
2019/02/13,60.407
2019/02/14,55.571
2019/02/15,53.699
2019/02/16,49.229
2019/02/17,47.188
2019/02/18,64.563
2019/02/19,68.524
2019/02/20,67.143
2019/02/21,70.199
2019/02/22,63.572
2019/02/23,44.445
2019/02/24,60.632
2019/02/25,66.589
2019/02/26,60.298
2019/02/27,55.827
2019/02/28,56.336
2019/03/01,58.123
2019/03/02,50.088
2019/03/03,39.472
2019/03/04,68.399
2019/03/05,62.379
2019/03/06,57.287
2019/03/07,55.561
2019/03/08,52.511
2019/03/09,50.461
2019/03/10,33.659
2019/03/11,48.311
2019/03/12,54.548
2019/03/13,56.518
2019/03/14,56.652
2019/03/15,49.852
2019/03/16,37.527
2019/03/17,35.57
2019/03/18,57.515
2019/03/19,67.608
2019/03/20,65.949
2019/03/21,62.156
2019/03/22,64.233
2019/03/23,45.466
2019/03/24,42.702
2019/03/25,63.173
2019/03/26,58.371
2019/03/27,57.575
2019/03/28,59.352
2019/03/29,60.716
2019/03/30,66.728
2019/03/31,58.506
2019/04/01,67.416
2019/04/02,77.248
2019/04/03,72.829
2019/04/04,52.14
2019/04/05,42.254
2019/04/06,33.281
2019/04/07,36.733
2019/04/08,55.274
2019/04/09,53.149
2019/04/10,56.187
2019/04/11,64.718
2019/04/12,56.69
2019/04/13,42.308
2019/04/14,34.325
2019/04/15,47.341
2019/04/16,52.646
2019/04/17,56.432
2019/04/18,58.811
2019/04/19,57.768
2019/04/20,56.114
2019/04/21,43.424
2019/04/22,60.098
2019/04/23,61.591
2019/04/24,48.709
2019/04/25,51.063
2019/04/26,46.84
2019/04/27,31.81
2019/04/28,38.981
2019/04/29,46.543
2019/04/30,59.527
2019/05/01,58.687
2019/05/02,44.441
2019/05/03,52.225
2019/05/04,44.48
2019/05/05,47.187
2019/05/06,58.664
2019/05/07,49.819
2019/05/08,54.624
2019/05/09,59.534
2019/05/10,62.307
2019/05/11,63.202
2019/05/12,55.845
2019/05/13,63.772
2019/05/14,73.231
2019/05/15,75.027
2019/05/16,80.472
2019/05/17,57.036
2019/05/18,45.268
2019/05/19,48.105
2019/05/20,62.477
2019/05/21,54.706
2019/05/22,61.797
2019/05/23,57.2
2019/05/24,63.932
2019/05/25,53.047
2019/05/26,42.845
2019/05/27,62.436
2019/05/28,58.36
2019/05/29,61.807
2019/05/30,53.969
2019/05/31,51.082
2019/06/01,60.958
2019/06/02,51.65
2019/06/03,51.396
2019/06/04,51.833
2019/06/05,38.795
2019/06/06,43.361
2019/06/07,35.335
2019/06/08,63.302
2019/06/09,39.648
2019/06/10,56.593
2019/06/11,54.181
2019/06/12,49.153
2019/06/13,41.896
2019/06/14,48.001
2019/06/15,56.089
2019/06/16,51.942
2019/06/17,56.116
2019/06/18,47.839
2019/06/19,51.065
2019/06/20,59.157
