Date,activeaddresses30roc
2017/12/24,60.466
2017/12/25,63.793
2017/12/26,80.532
2017/12/27,66.506
2017/12/28,65.787
2017/12/29,83.779
2017/12/30,113.104
2017/12/31,72.675
2018/01/01,65.399
2018/01/02,103.087
2018/01/03,126.195
2018/01/04,165.458
2018/01/05,74.177
2018/01/06,136.882
2018/01/07,86.375
2018/01/08,114.038
2018/01/09,137.66
2018/01/10,80.391
2018/01/11,63.545
2018/01/12,36.917
2018/01/13,31.887
2018/01/14,31.133
2018/01/15,59.077
2018/01/16,69.832
2018/01/17,43.092
2018/01/18,18.155
2018/01/19,-1.579
2018/01/20,-21.795
2018/01/21,-8.423
2018/01/22,9.143
2018/01/23,31.311
2018/01/24,25.543
2018/01/25,-12.371
2018/01/26,6.294
2018/01/27,-13.976
2018/01/28,-25.311
2018/01/29,-25.43
2018/01/30,-4.12
2018/01/31,-3.038
2018/02/01,-15.881
2018/02/02,-27.152
2018/02/03,-50.342
2018/02/04,-47.661
2018/02/05,-36.716
2018/02/06,-27.91
2018/02/07,-40.433
2018/02/08,-56.261
2018/02/09,-43.543
2018/02/10,-39.204
2018/02/11,-41.8
2018/02/12,-35.344
2018/02/13,-39.207
2018/02/14,-46.815
2018/02/15,-48.845
2018/02/16,-55.37
2018/02/17,-51.489
2018/02/18,-37.853
2018/02/19,-18.786
2018/02/20,-24.149
2018/02/21,-26.155
2018/02/22,-27.252
2018/02/23,-30.336
2018/02/24,-22.349
2018/02/25,-41.629
2018/02/26,-16.67
2018/02/27,-26.662
2018/02/28,-29.806
2018/03/01,-31.301
2018/03/02,-29.554
2018/03/03,-47.144
2018/03/04,-50.366
2018/03/05,-20.451
2018/03/06,-18.038
2018/03/07,-11.301
2018/03/08,-32.725
2018/03/09,-27.187
2018/03/10,-15.115
2018/03/11,-36.294
2018/03/12,-31.214
2018/03/13,-19.353
2018/03/14,-23.257
2018/03/15,-15.6
2018/03/16,-23.557
2018/03/17,-32.493
2018/03/18,-12.475
2018/03/19,-5.55
2018/03/20,-16.698
2018/03/21,-21.371
2018/03/22,-33.973
2018/03/23,-13.463
2018/03/24,-17.22
2018/03/25,-30.731
2018/03/26,-0.988
2018/03/27,-9.835
2018/03/28,-30.38
2018/03/29,-18.367
2018/03/30,-18.014
2018/03/31,-23.203
2018/04/01,-29.591
2018/04/02,-8.943
2018/04/03,8.729
2018/04/04,-17.792
2018/04/05,-4.71
2018/04/06,-27.35
2018/04/07,-19.602
2018/04/08,-8.556
2018/04/09,6.99
2018/04/10,6.74
2018/04/11,-6.207
2018/04/12,5.215
2018/04/13,-1.728
2018/04/14,-11.247
2018/04/15,-2.255
2018/04/16,12.506
2018/04/17,6.524
2018/04/18,-7.073
2018/04/19,13.245
2018/04/20,11.604
2018/04/21,22.276
2018/04/22,5.741
2018/04/23,28.224
2018/04/24,67.943
2018/04/25,21.112
2018/04/26,27.931
2018/04/27,28.872
2018/04/28,18.481
2018/04/29,7.101
2018/04/30,37.058
2018/05/01,33.29
2018/05/02,33.463
2018/05/03,32.745
2018/05/04,106.083
2018/05/05,16.975
2018/05/06,19.024
2018/05/07,47.773
2018/05/08,40.065
2018/05/09,35.379
2018/05/10,48.936
2018/05/11,40.289
2018/05/12,27.361
2018/05/13,18.363
2018/05/14,45.913
2018/05/15,38.463
2018/05/16,39.015
2018/05/17,37.067
2018/05/18,40.999
2018/05/19,38.636
2018/05/20,15.375
2018/05/21,10.947
2018/05/22,14.528
2018/05/23,9.171
2018/05/24,5.146
2018/05/25,11.894
2018/05/26,13.254
2018/05/27,25.396
2018/05/28,37.566
2018/05/29,33.763
2018/05/30,19.092
2018/05/31,29.848
2018/06/01,3.545
2018/06/02,0.834
2018/06/03,-26.939
2018/06/04,4.374
2018/06/05,6.675
2018/06/06,-2.045
2018/06/07,-3.178
2018/06/08,-14.967
2018/06/09,-78.623
2018/06/10,-100
2018/06/11,-7.748
2018/06/12,-13.146
2018/06/13,-11.405
2018/06/14,-10.804
2018/06/15,-10.592
2018/06/16,-31.945
