Date,sentbyaddress14mom
2018/06/14,-63562
2018/06/15,19662
2018/06/16,-81699
2018/06/17,-61091
2018/06/18,-49467
2018/06/19,12731
2018/06/20,32495
2018/06/21,1445
2018/06/22,35183
2018/06/23,-58017
2018/06/24,-47095
2018/06/25,108831
2018/06/26,35221
2018/06/27,28532
2018/06/28,18845
2018/06/29,-2104
2018/06/30,-46983
2018/07/01,-108747
2018/07/02,-86176
2018/07/03,-121344
2018/07/04,-146495
2018/07/05,-109187
2018/07/06,-155250
2018/07/07,-91779
2018/07/08,-68171
2018/07/09,-189499
2018/07/10,-76134
2018/07/11,-78168
2018/07/12,-91961
2018/07/13,-123539
2018/07/14,-13425
2018/07/15,28376
2018/07/16,94144
2018/07/17,94591
2018/07/18,163095
2018/07/19,94418
2018/07/20,95352
2018/07/21,52941
2018/07/22,63294
2018/07/23,103890
2018/07/24,113315
2018/07/25,117659
2018/07/26,100311
2018/07/27,146027
2018/07/28,90023
2018/07/29,103478
2018/07/30,33110
2018/07/31,15957
2018/08/01,-35157
2018/08/02,4126
2018/08/03,55035
2018/08/04,58679
2018/08/05,-15044
2018/08/06,-49772
2018/08/07,-87268
2018/08/08,-109532
2018/08/09,-88233
2018/08/10,-81731
2018/08/11,5256
2018/08/12,-5105
2018/08/13,-17172
2018/08/14,-21274
2018/08/15,-37868
2018/08/16,-7443
2018/08/17,-57180
2018/08/18,-31300
2018/08/19,-13973
2018/08/20,-9440
2018/08/21,-28824
2018/08/22,13216
2018/08/23,20826
2018/08/24,10148
2018/08/25,-32889
2018/08/26,-21359
2018/08/27,-8812
2018/08/28,-24587
2018/08/29,-43594
2018/08/30,-65930
2018/08/31,-27653
2018/09/01,7497
2018/09/02,18634
2018/09/03,-1953
2018/09/04,23987
2018/09/05,11516
2018/09/06,2518
2018/09/07,-12927
2018/09/08,-8191
2018/09/09,-19115
2018/09/10,-40121
2018/09/11,-34637
2018/09/12,-7402
2018/09/13,-2089
2018/09/14,-26363
2018/09/15,-82440
