Date,price90smaUSD
2018/04/10,797.785
2018/04/11,788.84
2018/04/12,780.11
2018/04/13,770.657
2018/04/14,761.239
2018/04/15,752.219
2018/04/16,745.299
2018/04/17,740.373
2018/04/18,734.477
2018/04/19,728.852
2018/04/20,722.855
2018/04/21,717.504
2018/04/22,712.993
2018/04/23,709.151
2018/04/24,705.522
2018/04/25,700.773
2018/04/26,696.125
2018/04/27,691.506
2018/04/28,685.819
2018/04/29,680.197
2018/04/30,675.12
2018/05/01,670.21
2018/05/02,665.405
2018/05/03,663.222
2018/05/04,661.287
2018/05/05,660.188
2018/05/06,660.364
2018/05/07,661.072
2018/05/08,660.518
2018/05/09,659.685
2018/05/10,658.814
2018/05/11,656.9
2018/05/12,655.188
2018/05/13,653.48
2018/05/14,652.054
2018/05/15,650.267
2018/05/16,647.63
2018/05/17,645.021
2018/05/18,641.833
2018/05/19,639.082
2018/05/20,636.525
2018/05/21,633.943
2018/05/22,631.854
2018/05/23,629.449
2018/05/24,626.57
2018/05/25,623.795
2018/05/26,621.083
2018/05/27,617.907
2018/05/28,614.117
2018/05/29,610.476
2018/05/30,607.096
2018/05/31,603.86
2018/06/01,600.691
2018/06/02,597.738
2018/06/03,594.948
2018/06/04,592.378
2018/06/05,590.3
2018/06/06,588.81
2018/06/07,587.945
2018/06/08,586.587
2018/06/09,585.497
2018/06/10,583.763
2018/06/11,581.883
2018/06/12,580.33
2018/06/13,578.983
2018/06/14,577.683
2018/06/15,576.748
2018/06/16,576.614
2018/06/17,576.194
2018/06/18,575.729
2018/06/19,575.266
2018/06/20,575.054
2018/06/21,575.164
2018/06/22,574.639
2018/06/23,574.069
2018/06/24,573.528
2018/06/25,573.462
2018/06/26,573.452
2018/06/27,573.673
2018/06/28,574.238
2018/06/29,574.409
2018/06/30,575.159
2018/07/01,575.906
2018/07/02,576.572
2018/07/03,577.476
2018/07/04,578.464
2018/07/05,579.551
2018/07/06,580.468
2018/07/07,581.291
2018/07/08,582.215
2018/07/09,583.089
2018/07/10,583.418
2018/07/11,583.296
2018/07/12,582.509
2018/07/13,581.778
2018/07/14,580.821
2018/07/15,580.06
2018/07/16,579.532
2018/07/17,579.157
2018/07/18,578.617
2018/07/19,577.386
2018/07/20,575.763
2018/07/21,573.952
2018/07/22,571.995
2018/07/23,569.443
2018/07/24,567.484
2018/07/25,565.745
2018/07/26,563.64
2018/07/27,561.289
2018/07/28,558.879
2018/07/29,556.47
2018/07/30,554.266
2018/07/31,551.623
2018/08/01,548.143
2018/08/02,544.063
2018/08/03,539.624
