Date,mediantransactionvalue14stdUSD
2018/12/04,0.065
2018/12/05,0.065
2018/12/06,0.065
2018/12/07,0.074
2018/12/08,0.074
2018/12/09,0.071
2018/12/10,0.071
2018/12/11,0.071
2018/12/12,0.071
2018/12/13,0.071
2018/12/14,0.05
2018/12/15,0.05
2018/12/16,0.049
2018/12/17,0.049
2018/12/18,0.049
2018/12/19,0.049
2018/12/20,0.049
2018/12/21,0.028
2018/12/22,0.019
2018/12/23,0.017
2018/12/24,0.01
2018/12/25,0.01
2018/12/26,0.01
2018/12/27,0.01
2018/12/28,0.01
2018/12/29,0.01
2018/12/30,0.071
2018/12/31,0.071
2019/01/01,0.071
2019/01/02,0.071
2019/01/03,0.071
2019/01/04,0.071
2019/01/05,0.071
2019/01/06,0.071
2019/01/07,0.071
2019/01/08,0.071
2019/01/09,0.071
2019/01/10,0.071
2019/01/11,0.071
2019/01/12,0.071
2019/01/13,0.008
2019/01/14,0.123
2019/01/15,0.142
2019/01/16,0.142
2019/01/17,0.142
2019/01/18,0.142
2019/01/19,0.142
2019/01/20,0.142
2019/01/21,0.142
2019/01/22,0.142
2019/01/23,0.142
2019/01/24,0.142
2019/01/25,0.143
2019/01/26,0.143
2019/01/27,0.143
2019/01/28,0.085
2019/01/29,0.03
2019/01/30,0.03
2019/01/31,0.03
2019/02/01,0.03
2019/02/02,0.03
2019/02/03,0.03
2019/02/04,0.03
2019/02/05,0.03
2019/02/06,0.03
2019/02/07,0.03
2019/02/08,0.03
2019/02/09,0.03
2019/02/10,0.03
2019/02/11,0
2019/02/12,0
2019/02/13,0
2019/02/14,0
2019/02/15,0
2019/02/16,0
2019/02/17,0
2019/02/18,0.005
2019/02/19,0.005
2019/02/20,0.005
2019/02/21,0.005
2019/02/22,0.005
2019/02/23,0.005
2019/02/24,0.005
2019/02/25,0.005
2019/02/26,0.005
2019/02/27,0.005
2019/02/28,0.005
2019/03/01,0.005
2019/03/02,0.005
2019/03/03,0.005
2019/03/04,0
2019/03/05,0
2019/03/06,0
2019/03/07,0
2019/03/08,0
2019/03/09,0
2019/03/10,0
2019/03/11,0
2019/03/12,0
2019/03/13,0
2019/03/14,0
2019/03/15,0
2019/03/16,0
2019/03/17,0
2019/03/18,0
2019/03/19,0
2019/03/20,0
2019/03/21,0
2019/03/22,0
2019/03/23,0
2019/03/24,0
2019/03/25,0
2019/03/26,0
2019/03/27,0
2019/03/28,0
2019/03/29,0
2019/03/30,0
2019/03/31,0
2019/04/01,0
2019/04/02,0
2019/04/03,0
2019/04/04,0
2019/04/05,0
2019/04/06,0
2019/04/07,0.016
2019/04/08,0.027
2019/04/09,0.031
2019/04/10,0.031
2019/04/11,0.031
2019/04/12,0.047
2019/04/13,0.047
2019/04/14,0.047
2019/04/15,0.046
2019/04/16,0.046
2019/04/17,0.046
2019/04/18,0.046
2019/04/19,0.046
2019/04/20,0.046
2019/04/21,0.046
2019/04/22,0.043
2019/04/23,0.041
2019/04/24,0.041
2019/04/25,0.041
2019/04/26,0.011
2019/04/27,0.006
2019/04/28,0.006
2019/04/29,0
2019/04/30,0
2019/05/01,0
2019/05/02,0
2019/05/03,0
2019/05/04,0
2019/05/05,0
2019/05/06,0
2019/05/07,0
2019/05/08,0
2019/05/09,0
2019/05/10,0
2019/05/11,0
2019/05/12,0
2019/05/13,0
2019/05/14,0
2019/05/15,0
2019/05/16,0.036
2019/05/17,0.036
2019/05/18,0.036
2019/05/19,0.036
2019/05/20,0.036
2019/05/21,0.036
2019/05/22,0.036
2019/05/23,0.036
2019/05/24,0.036
2019/05/25,0.036
2019/05/26,0.036
2019/05/27,0.036
2019/05/28,0.036
2019/05/29,0.036
2019/05/30,0
2019/05/31,0
2019/06/01,0
2019/06/02,0
2019/06/03,0
2019/06/04,0
2019/06/05,0
2019/06/06,0
2019/06/07,0
2019/06/08,0
2019/06/09,0
2019/06/10,0
2019/06/11,0
2019/06/12,0.099
2019/06/13,0.099
2019/06/14,0.099
2019/06/15,0.099
2019/06/16,0.132
2019/06/17,0.132
