Date,sentinusd3wmaUSD
2018/11/13,350194673
2018/11/14,480552565
2018/11/15,539574135
2018/11/16,487140981
2018/11/17,349888844
2018/11/18,316452047
2018/11/19,540908787
2018/11/20,709792446
2018/11/21,650006273
2018/11/22,479586134
2018/11/23,391549274
2018/11/24,324053134
2018/11/25,375093086
2018/11/26,386363442
2018/11/27,354747228
2018/11/28,364215053
2018/11/29,399193716
2018/11/30,1213903015
2018/12/01,1644288307
2018/12/02,1019932359
2018/12/03,484250343
2018/12/04,238819355
2018/12/05,281636113
2018/12/06,336257981
2018/12/07,394241470
2018/12/08,331050954
2018/12/09,265907750
2018/12/10,231958760
2018/12/11,230462406
2018/12/12,222080666
2018/12/13,243787149
2018/12/14,241424618
2018/12/15,199587388
2018/12/16,167732201
2018/12/17,233655312
2018/12/18,284404746
2018/12/19,381937218
2018/12/20,443682671
2018/12/21,493985319
2018/12/22,370190771
2018/12/23,357617539
2018/12/24,457464904
2018/12/25,414507215
2018/12/26,342517304
2018/12/27,323563032
2018/12/28,351093470
2018/12/29,446045723
2018/12/30,349838168
2018/12/31,306550039
2019/01/01,247044095
2019/01/02,328790725
2019/01/03,364797714
2019/01/04,487514436
2019/01/05,590478598
2019/01/06,506340750
2019/01/07,439113689
2019/01/08,375141478
2019/01/09,352900960
2019/01/10,386421428
2019/01/11,447284090
2019/01/12,331197798
2019/01/13,253777731
2019/01/14,314838993
2019/01/15,328860655
2019/01/16,334226704
2019/01/17,290592442
2019/01/18,249520831
2019/01/19,205859554
2019/01/20,200492540
2019/01/21,207506226
2019/01/22,215082775
2019/01/23,225288074
2019/01/24,252999972
2019/01/25,246184866
2019/01/26,197988545
2019/01/27,195837464
2019/01/28,270187430
2019/01/29,271623388
2019/01/30,265188768
2019/01/31,252161400
2019/02/01,231506608
2019/02/02,177395647
2019/02/03,148659181
2019/02/04,123733295
2019/02/05,112947142
2019/02/06,144556720
2019/02/07,154025990
2019/02/08,199495146
2019/02/09,173283224
2019/02/10,171465201
2019/02/11,196008565
2019/02/12,198743076
2019/02/13,211211535
2019/02/14,206630103
2019/02/15,201619799
2019/02/16,164869172
2019/02/17,187284323
2019/02/18,308624685
2019/02/19,382959236
2019/02/20,369761012
2019/02/21,333127657
2019/02/22,314360550
2019/02/23,271659296
2019/02/24,351048907
2019/02/25,445044494
2019/02/26,375279897
2019/02/27,371910691
2019/02/28,337571012
2019/03/01,300980158
2019/03/02,237726148
2019/03/03,221563255
2019/03/04,267961347
2019/03/05,297378359
2019/03/06,306979431
2019/03/07,299082851
2019/03/08,313211928
2019/03/09,283795253
2019/03/10,255146043
2019/03/11,284952467
2019/03/12,306900252
2019/03/13,297029213
2019/03/14,294802091
2019/03/15,294086246
2019/03/16,285006228
2019/03/17,261901275
2019/03/18,306627828
2019/03/19,292168391
2019/03/20,347827725
2019/03/21,349085054
2019/03/22,322919664
2019/03/23,327352031
2019/03/24,285956402
2019/03/25,333909374
2019/03/26,340918502
2019/03/27,337134168
2019/03/28,324091056
2019/03/29,342436566
2019/03/30,355515037
2019/03/31,334163968
2019/04/01,336373751
2019/04/02,482302107
2019/04/03,621835807
2019/04/04,574313701
2019/04/05,493374742
2019/04/06,379034929
2019/04/07,379472526
2019/04/08,528675495
2019/04/09,592117099
2019/04/10,567042759
2019/04/11,515934854
2019/04/12,456049313
2019/04/13,347073741
2019/04/14,295298662
2019/04/15,347610112
2019/04/16,368991955
2019/04/17,376871007
2019/04/18,411465561
2019/04/19,412762886
2019/04/20,371950554
2019/04/21,346114316
2019/04/22,373862064
2019/04/23,432485727
2019/04/24,516669296
2019/04/25,530244310
2019/04/26,619663622
2019/04/27,470950229
2019/04/28,401840988
2019/04/29,413101854
2019/04/30,456814103
2019/05/01,447980867
2019/05/02,388345826
2019/05/03,393356580
2019/05/04,359399399
2019/05/05,331132410
2019/05/06,406304624
2019/05/07,516949325
2019/05/08,548738142
2019/05/09,518166500
2019/05/10,496516033
2019/05/11,665770070
2019/05/12,638292098
2019/05/13,708366085
2019/05/14,713401131
2019/05/15,882428216
2019/05/16,1383105877
2019/05/17,1334264784
