Date,hashrate3ema
2017/10/18,1.1291379085441E+14
2017/10/19,1.1545172929308E+14
2017/10/20,116345275221969
2017/10/21,1.1650704741112E+14
2017/10/22,1.177012763903E+14
2017/10/23,1.1772419583761E+14
2017/10/24,1.1968294400828E+14
2017/10/25,1.191782759864E+14
2017/10/26,1.1697574936375E+14
2017/10/27,58487874681876
2017/10/28,29243937340938
2017/10/29,14621968670469
2017/10/30,7310984335234
2017/10/31,3655492167617
2017/11/01,62318562415226
2017/11/02,88939286388276
2017/11/03,1.0142975378173E+14
2017/11/04,1.0668651179955E+14
2017/11/05,1.1187161555443E+14
2017/11/06,1.1322863791959E+14
2017/11/07,1.1357116069774E+14
2017/11/08,1.1484838775074E+14
2017/11/09,1.1448178302773E+14
2017/11/10,1.15122846051E+14
2017/11/11,1.1542021331698E+14
2017/11/12,1.1683761305078E+14
2017/11/13,1.1714881120669E+14
2017/11/14,1.1593442850766E+14
2017/11/15,1.1563983924914E+14
2017/11/16,1.1365716032749E+14
2017/11/17,1.1313255591268E+14
2017/11/18,1.1232542425684E+14
2017/11/19,112651970581366
2017/11/20,1.164232066624E+14
2017/11/21,1.1759761129586E+14
2017/11/22,1.1799315670772E+14
2017/11/23,1.2007129146388E+14
2017/11/24,1.224395590726E+14
2017/11/25,1.2387941975517E+14
2017/11/26,1.2451735197862E+14
2017/11/27,1.2396988531751E+14
2017/11/28,1.2267308599146E+14
2017/11/29,1.2304182702678E+14
2017/11/30,1.2392991889E+14
2017/12/01,1.2471369461805E+14
2017/12/02,1.2515959055426E+14
2017/12/03,123508556514209
2017/12/04,1.2467612626992E+14
2017/12/05,1.2405755651451E+14
2017/12/06,1.2384123616219E+14
2017/12/07,1.2449911039482E+14
2017/12/08,1.2590920117655E+14
2017/12/09,1.2710124585689E+14
2017/12/10,1.2690539121358E+14
2017/12/11,1.2761232216388E+14
2017/12/12,1.2829692858334E+14
2017/12/13,1.3116665504167E+14
2017/12/14,1.3438962618847E+14
2017/12/15,1.3905770039736E+14
2017/12/16,1.4051519788855E+14
2017/12/17,1.417167612621E+14
2017/12/18,1.445448932159E+14
2017/12/19,1.4464318211342E+14
2017/12/20,1.4421182817928E+14
2017/12/21,1.4406615662945E+14
2017/12/22,1.4364433341770E+14
2017/12/23,1.46592274464E+14
2017/12/24,1.4775538949855E+14
2017/12/25,1.4919917028471E+14
2017/12/26,1.5033893694443E+14
2017/12/27,1.5143448324286E+14
2017/12/28,1.5402090886923E+14
2017/12/29,1.5383299227841E+14
2017/12/30,1.5427733237094E+14
2017/12/31,1.5559567664287E+14
2018/01/01,1.5749958440663E+14
2018/01/02,1.5828559199769E+14
2018/01/03,1.5851232922534E+14
2018/01/04,1.6053030123004E+14
2018/01/05,1.634428931716E+14
2018/01/06,1.6326000079469E+14
2018/01/07,1.6610140215385E+14
2018/01/08,1.6740710553674E+14
2018/01/09,1.6909284167117E+14
2018/01/10,1.7168452908308E+14
2018/01/11,1.7569648031799E+14
2018/01/12,1.7802367864877E+14
2018/01/13,1.7954845789276E+14
2018/01/14,1.8245900351528E+14
2018/01/15,1.8200975223723E+14
2018/01/16,1.8457273509504E+14
2018/01/17,1.8777069627166E+14
2018/01/18,1.8857820971682E+14
2018/01/19,1.8869091824482E+14
2018/01/20,1.926605706342E+14
2018/01/21,1.9257168311239E+14
2018/01/22,1.9479557901536E+14
2018/01/23,1.956788296249E+14
2018/01/24,1.9868009607778E+14
2018/01/25,2.0106861198642E+14
2018/01/26,2.022687007225E+14
2018/01/27,2.0215144211953E+14
2018/01/28,2.0345757885385E+14
2018/01/29,2.0825579003868E+14
2018/01/30,2.0934065066197E+14
2018/01/31,2.1261092380627E+14
2018/02/01,2.1677769829598E+14
