Date,sentinusd90rocUSD
2018/03/18,-77.161
2018/03/19,-86.447
2018/03/20,-89.98
2018/03/21,-90.54
2018/03/22,-91.335
2018/03/23,-84.736
2018/03/24,-86.9
2018/03/25,-88.459
2018/03/26,-85.201
2018/03/27,-84.865
2018/03/28,-87.562
2018/03/29,-90.149
2018/03/30,-92.211
2018/03/31,-90.744
2018/04/01,-92.168
2018/04/02,-95.33
2018/04/03,-94.578
2018/04/04,-96.804
2018/04/05,-97.297
2018/04/06,-96.804
2018/04/07,-97.449
2018/04/08,-97.176
2018/04/09,-96.791
2018/04/10,-97.777
2018/04/11,-96.778
2018/04/12,-93.405
2018/04/13,-91.348
2018/04/14,-98.552
2018/04/15,-96.099
2018/04/16,-95.871
2018/04/17,-95.152
2018/04/18,-93.751
2018/04/19,-89.72
2018/04/20,-85.502
2018/04/21,-87.318
2018/04/22,-91.464
2018/04/23,-76.69
2018/04/24,-78.577
2018/04/25,-63.034
2018/04/26,-87.756
2018/04/27,-79.84
2018/04/28,-86.033
2018/04/29,-88.019
2018/04/30,-85.808
2018/05/01,-86.289
2018/05/02,-80.317
2018/05/03,-79.652
2018/05/04,-66.052
2018/05/05,-69.529
2018/05/06,-78.374
2018/05/07,-63.706
2018/05/08,-71.804
2018/05/09,-44.49
2018/05/10,-62.222
2018/05/11,-69.497
2018/05/12,-67.328
2018/05/13,-79.101
2018/05/14,-71.401
2018/05/15,-66.988
2018/05/16,-77.085
2018/05/17,-70.613
2018/05/18,-72.126
2018/05/19,-78.433
2018/05/20,-74.821
2018/05/21,-71.969
2018/05/22,-60.164
2018/05/23,-64.245
2018/05/24,-53.384
2018/05/25,-55.944
2018/05/26,-49.824
2018/05/27,-46.478
2018/05/28,8.19
2018/05/29,-10.951
2018/05/30,-17.142
2018/05/31,-3.331
2018/06/01,59.125
2018/06/02,-16.841
2018/06/03,-49.71
2018/06/04,-24.973
2018/06/05,-20.792
2018/06/06,9.48
2018/06/07,4.823
2018/06/08,69.033
2018/06/09,-5.698
2018/06/10,-6.135
2018/06/11,-39.39
2018/06/12,21.604
2018/06/13,74.161
2018/06/14,137.517
2018/06/15,148.768
2018/06/16,-45.015
2018/06/17,-52.832
2018/06/18,-23.251
2018/06/19,0.868
2018/06/20,29.109
2018/06/21,-6.234
2018/06/22,82.981
2018/06/23,17.084
2018/06/24,-7.949
2018/06/25,-4.179
2018/06/26,-21.327
2018/06/27,-21.28
2018/06/28,-12.338
2018/06/29,49.844
2018/06/30,15.283
2018/07/01,-18.13
2018/07/02,-2.569
2018/07/03,38.582
2018/07/04,47.787
2018/07/05,58.306
2018/07/06,120.248
2018/07/07,6.186
2018/07/08,-1.792
2018/07/09,64.982
2018/07/10,37.806
2018/07/11,-38.722
2018/07/12,-49.478
2018/07/13,11.852
2018/07/14,-33.775
2018/07/15,-50.865
2018/07/16,8.26
2018/07/17,-4.453
2018/07/18,2.608
2018/07/19,-38.228
2018/07/20,-21.064
2018/07/21,-36.23
2018/07/22,-75.698
2018/07/23,-59.895
2018/07/24,-50.215
2018/07/25,-43.394
2018/07/26,-57.811
2018/07/27,-48.025
2018/07/28,-67.228
2018/07/29,-73.931
2018/07/30,-42.203
2018/07/31,-30.886
2018/08/01,-69.668
2018/08/02,-67.062
2018/08/03,-61.371
2018/08/04,-67.354
2018/08/05,-83.447
2018/08/06,-68.35
2018/08/07,-66.285
2018/08/08,-53.295
2018/08/09,-62.285
2018/08/10,-39.55
2018/08/11,-36.625
2018/08/12,-79.117
2018/08/13,-46.047
2018/08/14,-29.4
2018/08/15,-43.953
2018/08/16,-60.409
2018/08/17,-33.908
2018/08/18,-62.713
2018/08/19,-80.073
2018/08/20,-71.858
2018/08/21,-75.736
2018/08/22,-60.73
2018/08/23,-62.943
2018/08/24,-50.051
2018/08/25,-73.454
2018/08/26,-81.787
2018/08/27,-63.291
2018/08/28,-65.767
2018/08/29,-64.851
2018/08/30,-71.718
2018/08/31,-44.772
2018/09/01,-50.434
2018/09/02,-77.918
2018/09/03,-57.768
2018/09/04,-37.932
2018/09/05,-49.817
2018/09/06,-50.8
2018/09/07,-20.576
2018/09/08,-55.279
2018/09/09,-62.548
2018/09/10,-68.778
2018/09/11,-75.941
2018/09/12,-66.846
2018/09/13,-74.319
2018/09/14,-43.15
2018/09/15,-46.93
2018/09/16,-66.755
2018/09/17,-59.502
2018/09/18,-66.283
