Date,transactionvalue14momUSD
2018/04/25,1011
2018/04/26,138.722
2018/04/27,294.977
2018/04/28,772.613
2018/04/29,519.657
2018/04/30,689.467
2018/05/01,738.725
2018/05/02,1021
2018/05/03,1298
2018/05/04,495.147
2018/05/05,404.729
2018/05/06,703.45
2018/05/07,318.831
2018/05/08,-364.547
2018/05/09,-46.916
2018/05/10,283.569
2018/05/11,28.083
2018/05/12,-200.578
2018/05/13,-407.254
2018/05/14,180.619
2018/05/15,97.221
2018/05/16,-845.819
2018/05/17,-1079
2018/05/18,-668.167
2018/05/19,-780.355
2018/05/20,-588.819
2018/05/21,-1320
2018/05/22,-98.12
2018/05/23,34.547
2018/05/24,-360.849
2018/05/25,-509.211
2018/05/26,-326.042
2018/05/27,370.461
2018/05/28,-233.133
2018/05/29,-335.247
2018/05/30,41.798
2018/05/31,133.078
2018/06/01,528.624
2018/06/02,-3.919
2018/06/03,-315.971
2018/06/04,53.901
2018/06/05,-254.247
2018/06/06,-221.216
2018/06/07,151.138
2018/06/08,592.165
2018/06/09,-103.463
2018/06/10,-162.223
2018/06/11,-218.764
2018/06/12,516.714
2018/06/13,976.665
2018/06/14,1060
2018/06/15,471.491
2018/06/16,254.069
2018/06/17,67.757
2018/06/18,-367.887
2018/06/19,-266.43
2018/06/20,-434.862
2018/06/21,-365.23
2018/06/22,-412.362
2018/06/23,-39.805
2018/06/24,34.594
2018/06/25,-176.508
2018/06/26,-820.491
2018/06/27,-1385
2018/06/28,-1569
2018/06/29,-1124
2018/06/30,-367.81
2018/07/01,-184.104
2018/07/02,190.835
2018/07/03,173.394
2018/07/04,257.097
2018/07/05,152.184
2018/07/06,96.279
2018/07/07,185.165
2018/07/08,-357.798
2018/07/09,-26.979
2018/07/10,46.856
2018/07/11,-118.558
2018/07/12,-52.461
2018/07/13,-267.3
2018/07/14,-91.29
2018/07/15,44.643
2018/07/16,-198.831
2018/07/17,-259.451
2018/07/18,-266.165
2018/07/19,-402.847
2018/07/20,-419.672
2018/07/21,-276.547
2018/07/22,-268.356
2018/07/23,-301.186
2018/07/24,-211.185
2018/07/25,-51.263
2018/07/26,-187.733
2018/07/27,-164.12
2018/07/28,-263.575
2018/07/29,-274.959
2018/07/30,-194.667
2018/07/31,454.834
2018/08/01,-513.549
2018/08/02,-214.816
2018/08/03,-486.461
2018/08/04,-258.029
2018/08/05,-195.189
2018/08/06,-274.141
2018/08/07,-155.886
2018/08/08,418.13
2018/08/09,261.938
2018/08/10,260.572
2018/08/11,275.827
2018/08/12,7.538
2018/08/13,163.828
2018/08/14,-479.892
2018/08/15,190.002
2018/08/16,-232.197
2018/08/17,201.274
2018/08/18,-11.515
2018/08/19,-126.714
2018/08/20,-77.436
2018/08/21,-200.081
2018/08/22,-516.153
2018/08/23,-407.547
2018/08/24,-396.98
2018/08/25,-282.003
2018/08/26,-39.587
2018/08/27,-417.723
2018/08/28,-519.76
2018/08/29,-196.321
2018/08/30,58.443
2018/08/31,-189.464
2018/09/01,-18.938
2018/09/02,45.877
2018/09/03,185.389
2018/09/04,754.625
2018/09/05,225.104
2018/09/06,500.111
2018/09/07,319.792
2018/09/08,304.382
2018/09/09,293.247
2018/09/10,171.191
2018/09/11,169.519
2018/09/12,330.414
2018/09/13,150.044
2018/09/14,151.983
2018/09/15,138.174
2018/09/16,143.745
2018/09/17,-76.772
2018/09/18,-690.769
2018/09/19,-407.237
2018/09/20,-368.951
2018/09/21,245.298
2018/09/22,-23.751
2018/09/23,-41.467
2018/09/24,66.841
2018/09/25,-74.801
2018/09/26,-363.37
2018/09/27,-108.512
2018/09/28,-121.016
2018/09/29,88.632
2018/09/30,76.799
2018/10/01,-141.308
2018/10/02,-227.145
2018/10/03,-9.494
2018/10/04,-160.25
2018/10/05,-674.13
2018/10/06,-393.491
2018/10/07,-280.362
2018/10/08,-247.284
2018/10/09,-172.114
2018/10/10,-154.058
2018/10/11,373.039
2018/10/12,-58.742
2018/10/13,-305.645
2018/10/14,-201.923
2018/10/15,642.314
2018/10/16,311.751
2018/10/17,69.01
2018/10/18,223.599
2018/10/19,12.532
2018/10/20,144.667
2018/10/21,364.25
2018/10/22,-114.519
2018/10/23,22.097
2018/10/24,-18.726
2018/10/25,-261.502
2018/10/26,-68.137
2018/10/27,-33.23
2018/10/28,-47.525
2018/10/29,-600.986
2018/10/30,-284.334
2018/10/31,-112.599
2018/11/01,-317.434
2018/11/02,121.316
2018/11/03,-120.743
2018/11/04,-194.092
2018/11/05,278.542
2018/11/06,39.445
2018/11/07,198.096
2018/11/08,-164.918
2018/11/09,2.845
2018/11/10,76.274
2018/11/11,42.55
2018/11/12,44.405
2018/11/13,106.698
2018/11/14,427.997
2018/11/15,459.333
2018/11/16,35.021
2018/11/17,49.405
2018/11/18,84.396
2018/11/19,398.77
2018/11/20,595.804
2018/11/21,58.616
2018/11/22,-50.059
2018/11/23,32.052
2018/11/24,80.092
2018/11/25,379.099
