Date,median_transaction_fee7rsiUSD
2018/03/25,28.755
2018/03/26,39.064
2018/03/27,33.315
2018/03/28,35.823
2018/03/29,31.742
2018/03/30,25.047
2018/03/31,25.618
2018/04/01,25.006
2018/04/02,25.611
2018/04/03,27.85
2018/04/04,26.998
2018/04/05,28.407
2018/04/06,22.224
2018/04/07,23.477
2018/04/08,25.538
2018/04/09,29.139
2018/04/10,31.131
2018/04/11,48.613
2018/04/12,53.791
2018/04/13,63.621
2018/04/14,49.144
2018/04/15,56.385
2018/04/16,62.089
2018/04/17,45.01
2018/04/18,64.312
2018/04/19,57.659
2018/04/20,72.296
2018/04/21,54.247
2018/04/22,56.96
2018/04/23,58.989
2018/04/24,74.171
2018/04/25,77.288
2018/04/26,75.927
2018/04/27,82.125
2018/04/28,82.631
2018/04/29,88.299
2018/04/30,88.65
2018/05/01,57.871
2018/05/02,59.386
2018/05/03,64.756
2018/05/04,51.608
2018/05/05,58.481
2018/05/06,44.315
2018/05/07,41.107
2018/05/08,52.697
2018/05/09,68.302
2018/05/10,81.861
2018/05/11,70.361
2018/05/12,46.983
2018/05/13,57.578
2018/05/14,66.752
2018/05/15,68.488
2018/05/16,63.17
2018/05/17,66.337
2018/05/18,63.613
2018/05/19,52.637
2018/05/20,56.475
2018/05/21,59.467
2018/05/22,65.331
2018/05/23,51.478
2018/05/24,50.288
2018/05/25,45.122
2018/05/26,39.058
2018/05/27,33.567
2018/05/28,51.939
2018/05/29,58.338
2018/05/30,61.495
2018/05/31,70.564
2018/06/01,61.946
2018/06/02,41.91
2018/06/03,43.744
2018/06/04,52.166
2018/06/05,47.001
2018/06/06,50.944
2018/06/07,45.476
2018/06/08,40.005
2018/06/09,29.8
2018/06/10,26.415
2018/06/11,26.561
2018/06/12,30.71
2018/06/13,35.006
2018/06/14,44.398
2018/06/15,53.268
2018/06/16,31.885
2018/06/17,27.597
2018/06/18,35.048
2018/06/19,47.16
2018/06/20,41.185
2018/06/21,40.966
2018/06/22,37.134
2018/06/23,30.207
2018/06/24,32.437
2018/06/25,52.214
2018/06/26,43.326
2018/06/27,42.687
2018/06/28,39.722
2018/06/29,41.139
2018/06/30,79.07
2018/07/01,91.823
2018/07/02,93.104
2018/07/03,94.399
2018/07/04,59.004
2018/07/05,53.713
2018/07/06,65.456
2018/07/07,60.911
2018/07/08,45.022
2018/07/09,40.317
2018/07/10,37.636
2018/07/11,36.707
2018/07/12,44.528
2018/07/13,47.076
2018/07/14,61.59
2018/07/15,49.017
2018/07/16,38.399
2018/07/17,37.359
2018/07/18,37.539
2018/07/19,36.088
2018/07/20,38.975
2018/07/21,39.703
2018/07/22,35.789
2018/07/23,43.177
2018/07/24,39.724
2018/07/25,38.783
2018/07/26,38.339
2018/07/27,36.738
2018/07/28,36.188
2018/07/29,35.355
2018/07/30,37.294
2018/07/31,37.069
2018/08/01,36.813
2018/08/02,36.742
2018/08/03,42.103
2018/08/04,38.219
2018/08/05,38.103
2018/08/06,42.813
2018/08/07,70.223
2018/08/08,90.973
2018/08/09,82.994
2018/08/10,56.624
2018/08/11,41.962
2018/08/12,40.84
2018/08/13,41.061
2018/08/14,41.273
2018/08/15,44.332
2018/08/16,41.411
2018/08/17,59.211
2018/08/18,43.913
2018/08/19,41.638
2018/08/20,41.639
2018/08/21,43.277
2018/08/22,45.236
2018/08/23,43.703
2018/08/24,45.843
2018/08/25,41.877
2018/08/26,42.57
2018/08/27,45.681
2018/08/28,46.267
2018/08/29,50.845
2018/08/30,47.743
2018/08/31,49.496
2018/09/01,45.298
2018/09/02,43.016
2018/09/03,43.265
2018/09/04,50.988
2018/09/05,45.55
2018/09/06,51.004
2018/09/07,51.757
2018/09/08,49.729
2018/09/09,48.379
2018/09/10,45.621
2018/09/11,51.19
2018/09/12,51.802
2018/09/13,61.957
2018/09/14,51.953
2018/09/15,53.929
2018/09/16,47.204
2018/09/17,53.694
2018/09/18,57.165
2018/09/19,73.987
2018/09/20,61.44
2018/09/21,70.378
2018/09/22,50.8
2018/09/23,44.833
2018/09/24,57.228
2018/09/25,55.707
2018/09/26,60.612
2018/09/27,61.767
2018/09/28,66.087
2018/09/29,70.744
2018/09/30,56.231
2018/10/01,62.177
2018/10/02,64.696
2018/10/03,35.416
2018/10/04,35.444
2018/10/05,31.963
2018/10/06,23.257
2018/10/07,35.109
2018/10/08,50.425
2018/10/09,43.613
2018/10/10,52.852
2018/10/11,48.189
2018/10/12,48.552
2018/10/13,36.152
2018/10/14,36.028
2018/10/15,54.024
2018/10/16,44.515
2018/10/17,46.378
2018/10/18,44.994
2018/10/19,52.819
2018/10/20,49.857
2018/10/21,46.32
2018/10/22,44.982
2018/10/23,52.89
2018/10/24,63.782
2018/10/25,65.307
2018/10/26,57.161
2018/10/27,43.285
2018/10/28,40.38
2018/10/29,51.644
2018/10/30,50.596
2018/10/31,47.266
2018/11/01,46.817
2018/11/02,63.021
2018/11/03,52.717
2018/11/04,54.624
2018/11/05,69.228
2018/11/06,70.05
2018/11/07,61.527
2018/11/08,61.679
2018/11/09,48.892
2018/11/10,32.21
2018/11/11,27.878
2018/11/12,44.029
2018/11/13,45.688
2018/11/14,57.172
2018/11/15,59.247
2018/11/16,47.401
2018/11/17,38.379
2018/11/18,39.556
2018/11/19,47.502
2018/11/20,49.834
2018/11/21,38.926
2018/11/22,37.293
2018/11/23,36.733
2018/11/24,32.199
2018/11/25,41.292
2018/11/26,38.416
2018/11/27,33.216
2018/11/28,47.45
2018/11/29,56.638
2018/11/30,69.153
2018/12/01,48.096
2018/12/02,45.352
2018/12/03,47.068
2018/12/04,46.192
2018/12/05,48.332
2018/12/06,44.38
2018/12/07,38.048
2018/12/08,28.788
2018/12/09,28.661
2018/12/10,34.188
2018/12/11,35.98
2018/12/12,35.825
2018/12/13,51.622
2018/12/14,43.149
2018/12/15,36.506
2018/12/16,31.341
2018/12/17,46.952
2018/12/18,55.162
2018/12/19,58.839
2018/12/20,61.127
2018/12/21,62.874
2018/12/22,49.704
2018/12/23,64.005
2018/12/24,70.823
2018/12/25,63.174
2018/12/26,49.378
2018/12/27,46.575
2018/12/28,51.956
2018/12/29,44.156
2018/12/30,57.919
2018/12/31,50.318
2019/01/01,43.24
2019/01/02,53.544
2019/01/03,46.979
2019/01/04,59.922
2019/01/05,46.172
2019/01/06,47.24
2019/01/07,52.116
2019/01/08,51.133
2019/01/09,46.833
2019/01/10,52.328
2019/01/11,43.511
2019/01/12,37.439
2019/01/13,37.892
2019/01/14,66.154
2019/01/15,62.088
2019/01/16,51.534
2019/01/17,47.807
2019/01/18,50.376
2019/01/19,39.97
2019/01/20,49.945
2019/01/21,47.775
2019/01/22,44.809
2019/01/23,48.795
2019/01/24,50.268
2019/01/25,44.907
2019/01/26,39.748
2019/01/27,33.311
2019/01/28,50.166
2019/01/29,42.049
2019/01/30,48.959
2019/01/31,56.521
2019/02/01,47.791
2019/02/02,41.729
2019/02/03,44.982
2019/02/04,44.509
2019/02/05,41.678
2019/02/06,45.118
2019/02/07,50.931
2019/02/08,57.342
2019/02/09,57.531
2019/02/10,62.918
2019/02/11,73.862
2019/02/12,54.756
2019/02/13,62.509
2019/02/14,50.017
2019/02/15,65.186
2019/02/16,54.582
2019/02/17,62.125
2019/02/18,74.193
2019/02/19,75.739
2019/02/20,74.105
2019/02/21,64.401
2019/02/22,67.72
2019/02/23,61.016
2019/02/24,69.674
2019/02/25,58.198
2019/02/26,63.158
2019/02/27,54.1
2019/02/28,62.577
2019/03/01,36.73
2019/03/02,32.359
2019/03/03,32.181
2019/03/04,30.471
2019/03/05,42.614
2019/03/06,42.935
2019/03/07,46.444
2019/03/08,37.57
2019/03/09,31.168
2019/03/10,32.85
2019/03/11,32.677
2019/03/12,29.565
2019/03/13,29.226
2019/03/14,26.656
2019/03/15,35.309
2019/03/16,39.716
2019/03/17,34.185
2019/03/18,42.969
2019/03/19,67.198
2019/03/20,44.343
2019/03/21,54.386
2019/03/22,44.456
2019/03/23,42.312
2019/03/24,43.937
2019/03/25,48.075
2019/03/26,47.045
2019/03/27,53.714
2019/03/28,46.725
2019/03/29,53.658
2019/03/30,47.892
2019/03/31,43.273
2019/04/01,48.621
2019/04/02,70.484
2019/04/03,83.32
2019/04/04,58.748
2019/04/05,47.954
2019/04/06,44.737
2019/04/07,45.218
2019/04/08,53.983
2019/04/09,50.246
2019/04/10,50.892
2019/04/11,56.742
2019/04/12,57.306
2019/04/13,44.542
2019/04/14,37.242
2019/04/15,44.33
2019/04/16,47.534
2019/04/17,48.629
2019/04/18,56.034
2019/04/19,50.246
2019/04/20,33.087
2019/04/21,43.524
2019/04/22,50.059
2019/04/23,53.484
2019/04/24,56.332
2019/04/25,48.276
2019/04/26,53.998
2019/04/27,36.196
2019/04/28,40.04
2019/04/29,40.355
2019/04/30,41.33
2019/05/01,44.507
2019/05/02,59.135
2019/05/03,57.857
2019/05/04,56.655
2019/05/05,53.613
2019/05/06,57.876
2019/05/07,79.265
2019/05/08,53.84
2019/05/09,54.623
2019/05/10,57.276
2019/05/11,57.418
2019/05/12,60.968
2019/05/13,69.844
2019/05/14,81.903
2019/05/15,90.448
2019/05/16,94.821
2019/05/17,73.229
2019/05/18,58.497
2019/05/19,59.416
2019/05/20,63.82
2019/05/21,42.722
2019/05/22,61.668
2019/05/23,51.724
2019/05/24,55.654
2019/05/25,42.636
2019/05/26,40.544
2019/05/27,57.112
2019/05/28,59.208
2019/05/29,55.425
2019/05/30,61.742
2019/05/31,54.549
2019/06/01,47.616
2019/06/02,38.338
2019/06/03,47.665
2019/06/04,49.359
2019/06/05,53.058
2019/06/06,45.025
2019/06/07,47.893
2019/06/08,71.398
2019/06/09,41.549
2019/06/10,62.361
2019/06/11,49.715
2019/06/12,41.895
2019/06/13,44.952
2019/06/14,49.385
2019/06/15,55.22
2019/06/16,44.549
2019/06/17,60.897
