Date,transactionvalue3rsiUSD
2019/01/30,49.177
2019/01/31,56.119
2019/02/01,38.754
2019/02/02,21.608
2019/02/03,35.237
2019/02/04,24.624
2019/02/05,23.082
2019/02/06,70.598
2019/02/07,50.923
2019/02/08,73.945
2019/02/09,40.809
2019/02/10,59.742
2019/02/11,70.22
2019/02/12,46.543
2019/02/13,52.062
2019/02/14,46.223
2019/02/15,41.091
2019/02/16,18.109
2019/02/17,65.916
2019/02/18,86.096
2019/02/19,73.562
2019/02/20,48.534
2019/02/21,42.93
2019/02/22,45.83
2019/02/23,27.916
2019/02/24,75.566
2019/02/25,80.176
2019/02/26,31.299
2019/02/27,56.453
2019/02/28,43.814
2019/03/01,33.459
2019/03/02,27.239
2019/03/03,42.531
2019/03/04,52.599
2019/03/05,52.268
2019/03/06,55.634
2019/03/07,50.374
2019/03/08,74.941
2019/03/09,31.387
2019/03/10,43.434
2019/03/11,72.5
2019/03/12,54.403
2019/03/13,35.532
2019/03/14,50.929
2019/03/15,53.638
2019/03/16,56.12
2019/03/17,33.143
2019/03/18,75.639
2019/03/19,30.109
2019/03/20,63.897
2019/03/21,50.722
2019/03/22,35.974
2019/03/23,62.878
2019/03/24,37.932
2019/03/25,58.872
2019/03/26,49.856
2019/03/27,43.268
2019/03/28,44.107
2019/03/29,61.959
2019/03/30,50.441
2019/03/31,30.558
2019/04/01,46.081
2019/04/02,87.73
2019/04/03,91.345
2019/04/04,46.576
2019/04/05,48.612
2019/04/06,29.623
2019/04/07,55.842
2019/04/08,79.244
2019/04/09,60.776
2019/04/10,42.712
2019/04/11,34.232
2019/04/12,26.21
2019/04/13,14.873
2019/04/14,37.447
2019/04/15,62.07
2019/04/16,42.716
2019/04/17,41.574
2019/04/18,63.017
2019/04/19,45.223
2019/04/20,29.076
2019/04/21,47.56
2019/04/22,55.605
2019/04/23,72.668
2019/04/24,88.933
2019/04/25,61.231
2019/04/26,83.419
2019/04/27,33.602
2019/04/28,41.98
2019/04/29,55.941
2019/04/30,44.801
2019/05/01,37.359
2019/05/02,30.455
2019/05/03,50.421
2019/05/04,33.19
2019/05/05,27.276
2019/05/06,69.685
2019/05/07,82.771
2019/05/08,57.55
2019/05/09,42.79
2019/05/10,42.67
2019/05/11,84.08
2019/05/12,45.41
2019/05/13,62.688
2019/05/14,49.701
2019/05/15,71.32
2019/05/16,89.087
2019/05/17,50.707
2019/05/18,31.773
2019/05/19,35.464
2019/05/20,43.566
2019/05/21,41.396
2019/05/22,37.26
2019/05/23,44.401
2019/05/24,24.296
2019/05/25,16.731
2019/05/26,56.213
2019/05/27,68.008
2019/05/28,44.098
2019/05/29,72.238
2019/05/30,74.462
2019/05/31,57.293
2019/06/01,20.048
2019/06/02,18.449
2019/06/03,58.855
2019/06/04,62.758
2019/06/05,73.132
2019/06/06,31.847
2019/06/07,39.628
2019/06/08,20.748
2019/06/09,49.626
2019/06/10,51.409
2019/06/11,45.826
2019/06/12,64.094
2019/06/13,80.492
2019/06/14,62.558
2019/06/15,76.916
2019/06/16,53.617
2019/06/17,30.985
2019/06/18,59.007
