Date,fee_to_reward30rocUSD
2018/04/30,93.495
2018/05/01,69.093
2018/05/02,46.636
2018/05/03,64.177
2018/05/04,82.875
2018/05/05,-12.518
2018/05/06,14.237
2018/05/07,72.931
2018/05/08,60.993
2018/05/09,63.566
2018/05/10,141.626
2018/05/11,107.614
2018/05/12,27.628
2018/05/13,20.041
2018/05/14,104.111
2018/05/15,119.843
2018/05/16,108.08
2018/05/17,109.279
2018/05/18,69.146
2018/05/19,44.738
2018/05/20,31.488
2018/05/21,89.9
2018/05/22,105.914
2018/05/23,88.933
2018/05/24,48.188
2018/05/25,46.391
2018/05/26,28.862
2018/05/27,11.869
2018/05/28,77.653
2018/05/29,48.054
2018/05/30,49.399
2018/05/31,129.03
2018/06/01,83.579
2018/06/02,5.515
2018/06/03,7.72
2018/06/04,66.661
2018/06/05,64.369
2018/06/06,75.002
2018/06/07,29.583
2018/06/08,3.452
2018/06/09,-40.88
2018/06/10,-37.456
2018/06/11,-7.358
2018/06/12,-12.253
2018/06/13,-26.785
2018/06/14,-21.319
2018/06/15,-15.665
2018/06/16,-49.648
2018/06/17,-56.673
2018/06/18,-47.568
2018/06/19,-21.112
2018/06/20,-34.454
2018/06/21,-43.883
2018/06/22,-16.576
2018/06/23,-51.074
2018/06/24,-41.42
2018/06/25,-13.168
2018/06/26,-29.047
2018/06/27,-52.792
2018/06/28,-53.042
2018/06/29,-52.537
2018/06/30,58.039
2018/07/01,211.735
2018/07/02,611.721
2018/07/03,469.735
2018/07/04,261.58
2018/07/05,262.674
2018/07/06,278.295
2018/07/07,331.577
2018/07/08,142.303
2018/07/09,146.36
2018/07/10,66.529
2018/07/11,77.282
2018/07/12,182.128
2018/07/13,203.417
2018/07/14,394.622
2018/07/15,382.383
2018/07/16,53.372
2018/07/17,54.577
2018/07/18,43.562
2018/07/19,-6.454
2018/07/20,29.547
2018/07/21,38.189
2018/07/22,-41.35
2018/07/23,60.392
2018/07/24,21.313
2018/07/25,-13.92
2018/07/26,2.714
2018/07/27,-5.373
2018/07/28,17.093
2018/07/29,-23.356
2018/07/30,-78.262
2018/07/31,-86.575
2018/08/01,-91.943
2018/08/02,-89.843
2018/08/03,-86.421
2018/08/04,-85.751
2018/08/05,-90.823
2018/08/06,-83.827
2018/08/07,-4.729
2018/08/08,141.996
2018/08/09,206.023
2018/08/10,74.71
2018/08/11,-61.516
2018/08/12,-75.123
2018/08/13,-80.605
2018/08/14,-79.437
2018/08/15,0.626
2018/08/16,2.177
2018/08/17,237.783
2018/08/18,-2.745
2018/08/19,-33.533
2018/08/20,-31.778
2018/08/21,5.481
2018/08/22,17.939
2018/08/23,0.538
2018/08/24,69.082
2018/08/25,-14.753
2018/08/26,35.091
2018/08/27,-14.706
2018/08/28,27.451
2018/08/29,30.207
2018/08/30,22.154
2018/08/31,33.118
2018/09/01,9.91
2018/09/02,-2.569
2018/09/03,16.627
2018/09/04,73.506
2018/09/05,-12.109
2018/09/06,-59.329
2018/09/07,-80.402
2018/09/08,-81.325
2018/09/09,-68.941
2018/09/10,-9.23
2018/09/11,43.076
2018/09/12,4.331
2018/09/13,-10.65
2018/09/14,-31.832
2018/09/15,-20.751
2018/09/16,-76.848
2018/09/17,4.301
2018/09/18,21.54
2018/09/19,72.718
2018/09/20,31.609
2018/09/21,-5.09
2018/09/22,-8.646
2018/09/23,-48.149
2018/09/24,59.257
2018/09/25,4.544
2018/09/26,45.946
2018/09/27,50.092
2018/09/28,39.44
2018/09/29,48.68
2018/09/30,19.083
2018/10/01,71.292
2018/10/02,94.04
2018/10/03,21.329
